Source,Interaction,Target
reactome:Protein24961,abstraction:ControlsTransportOf,reactome:Protein24960
reactome:Protein15058,abstraction:ControlsTransportOf,reactome:Protein14068
reactome:Protein5017,abstraction:ControlsTransportOf,reactome:Protein3906
reactome:Protein10863,abstraction:ControlsTransportOf,reactome:Protein10871
reactome:Protein21126,abstraction:ControlsTransportOf,reactome:Protein21069
reactome:Protein10936,abstraction:ControlsTransportOf,reactome:Protein4491
reactome:Protein25000,abstraction:ControlsTransportOf,reactome:Protein21786
reactome:Protein11025,abstraction:ControlsTransportOf,reactome:Protein11106
reactome:Protein3859,abstraction:ControlsTransportOf,reactome:Protein38
reactome:Protein15288,abstraction:ControlsTransportOf,reactome:Protein15317
reactome:Protein20925,abstraction:ControlsTransportOf,reactome:Protein20966
reactome:Protein2418,abstraction:ControlsTransportOf,reactome:Protein10870
reactome:Protein5002,abstraction:ControlsTransportOf,reactome:Protein4140
reactome:Protein25099,abstraction:ControlsTransportOf,reactome:Protein12522
reactome:Protein10864,abstraction:ControlsTransportOf,reactome:Protein4479
reactome:Protein620,abstraction:ControlsTransportOf,reactome:Protein24960
reactome:Protein9845,abstraction:ControlsTransportOf,reactome:Protein39
reactome:Protein20928,abstraction:ControlsTransportOf,reactome:Protein20972
reactome:Protein24963,abstraction:ControlsTransportOf,reactome:Protein24130
reactome:Protein22200,abstraction:ControlsTransportOf,reactome:Protein22201
reactome:Protein10851,abstraction:ControlsTransportOf,reactome:Protein10879
reactome:Protein4026,abstraction:ControlsTransportOf,reactome:Protein8114
reactome:Protein630,abstraction:ControlsTransportOf,reactome:Protein24977
reactome:Protein4478,abstraction:ControlsTransportOf,reactome:Protein10878
reactome:Protein78,abstraction:ControlsTransportOf,reactome:Protein76
reactome:Protein24798,abstraction:ControlsTransportOf,reactome:Protein24798
reactome:Protein74,abstraction:ControlsTransportOf,reactome:Protein4747
reactome:Protein2209,abstraction:ControlsTransportOf,reactome:Protein12554
reactome:Protein175,abstraction:ControlsTransportOf,reactome:Protein139
reactome:Protein10836,abstraction:ControlsTransportOf,reactome:Protein15097
reactome:Protein15318,abstraction:ControlsTransportOf,reactome:Protein15316
reactome:Protein4313,abstraction:ControlsTransportOf,reactome:Protein22175
reactome:Protein4748,abstraction:ControlsTransportOf,reactome:Protein24951
reactome:Protein9570,abstraction:ControlsTransportOf,reactome:Protein15288
reactome:Protein710,abstraction:ControlsTransportOf,reactome:Protein7547
reactome:Protein24133,abstraction:ControlsTransportOf,reactome:Protein6429
reactome:Protein10868,abstraction:ControlsTransportOf,reactome:Protein2417
reactome:Protein323,abstraction:ControlsTransportOf,reactome:Protein24491
reactome:Protein14068,abstraction:ControlsTransportOf,reactome:Protein21777
