Source,Interaction,Target
reactome:SmallMolecule3204,abstraction:ConsumptionControlledBy,reactome:Protein25747
reactome:SmallMolecule15,abstraction:ConsumptionControlledBy,reactome:Protein11983
reactome:SmallMolecule161,abstraction:ConsumptionControlledBy,reactome:Protein14044
reactome:SmallMolecule159,abstraction:ConsumptionControlledBy,reactome:Protein13450
reactome:SmallMolecule2987,abstraction:ConsumptionControlledBy,reactome:Protein1701
reactome:SmallMolecule158,abstraction:ConsumptionControlledBy,reactome:Protein24063
reactome:SmallMolecule5,abstraction:ConsumptionControlledBy,reactome:Protein16038
reactome:SmallMolecule2276,abstraction:ConsumptionControlledBy,reactome:Protein3270
reactome:SmallMolecule672,abstraction:ConsumptionControlledBy,reactome:Protein1952
reactome:SmallMolecule161,abstraction:ConsumptionControlledBy,reactome:Protein4058
reactome:SmallMolecule159,abstraction:ConsumptionControlledBy,reactome:Protein20379
reactome:SmallMolecule3725,abstraction:ConsumptionControlledBy,reactome:Protein31998
reactome:SmallMolecule233,abstraction:ConsumptionControlledBy,reactome:Protein2488
reactome:SmallMolecule5,abstraction:ConsumptionControlledBy,reactome:Protein3414
reactome:SmallMolecule161,abstraction:ConsumptionControlledBy,reactome:Protein14487
reactome:SmallMolecule1226,abstraction:ConsumptionControlledBy,reactome:Protein3391
reactome:SmallMolecule1220,abstraction:ConsumptionControlledBy,reactome:Protein2448
reactome:SmallMolecule158,abstraction:ConsumptionControlledBy,reactome:Protein28660
reactome:SmallMolecule5220,abstraction:ConsumptionControlledBy,reactome:Protein9409
reactome:SmallMolecule158,abstraction:ConsumptionControlledBy,reactome:Protein30582
reactome:SmallMolecule15,abstraction:ConsumptionControlledBy,reactome:Protein25697
reactome:SmallMolecule159,abstraction:ConsumptionControlledBy,reactome:Protein8525
reactome:SmallMolecule159,abstraction:ConsumptionControlledBy,reactome:Protein16107
reactome:SmallMolecule721,abstraction:ConsumptionControlledBy,reactome:Protein1889
reactome:SmallMolecule6,abstraction:ConsumptionControlledBy,reactome:Protein28066
reactome:SmallMolecule674,abstraction:ConsumptionControlledBy,reactome:Protein1878
