Source,Interaction,Target
reactome:Protein8212,abstraction:ControlsProductionOf,reactome:SmallMolecule2875
reactome:Protein3026,abstraction:ControlsProductionOf,reactome:SmallMolecule1963
reactome:Protein31546,abstraction:ControlsProductionOf,reactome:SmallMolecule3
reactome:Protein4931,abstraction:ControlsProductionOf,reactome:SmallMolecule7
reactome:Protein2929,abstraction:ControlsProductionOf,reactome:SmallMolecule65
reactome:Protein5541,abstraction:ControlsProductionOf,reactome:SmallMolecule26
reactome:Protein3649,abstraction:ControlsProductionOf,reactome:SmallMolecule2612
reactome:Protein4749,abstraction:ControlsProductionOf,reactome:SmallMolecule9
reactome:Protein10019,abstraction:ControlsProductionOf,reactome:SmallMolecule3647
reactome:Protein3305,abstraction:ControlsProductionOf,reactome:SmallMolecule741
reactome:Protein10197,abstraction:ControlsProductionOf,reactome:SmallMolecule473
reactome:Protein15328,abstraction:ControlsProductionOf,reactome:SmallMolecule7
reactome:Protein4263,abstraction:ControlsProductionOf,reactome:SmallMolecule188
reactome:Protein29352,abstraction:ControlsProductionOf,reactome:SmallMolecule7
reactome:Protein24030,abstraction:ControlsProductionOf,reactome:SmallMolecule158
reactome:Protein9455,abstraction:ControlsProductionOf,reactome:SmallMolecule169
reactome:Protein12800,abstraction:ControlsProductionOf,reactome:SmallMolecule3374
reactome:Protein1631,abstraction:ControlsProductionOf,reactome:SmallMolecule3106
reactome:Protein3023,abstraction:ControlsProductionOf,reactome:SmallMolecule1958
reactome:Protein2001,abstraction:ControlsProductionOf,reactome:SmallMolecule842
reactome:Protein1723,abstraction:ControlsProductionOf,reactome:SmallMolecule235
reactome:Protein14152,abstraction:ControlsProductionOf,reactome:SmallMolecule7
reactome:Protein2074,abstraction:ControlsProductionOf,reactome:SmallMolecule503
reactome:Protein10199,abstraction:ControlsProductionOf,reactome:SmallMolecule473
reactome:Protein25448,abstraction:ControlsProductionOf,reactome:SmallMolecule3112
reactome:Protein1862,abstraction:ControlsProductionOf,reactome:SmallMolecule643
reactome:Protein3375,abstraction:ControlsProductionOf,reactome:SmallMolecule2423
reactome:Protein15529,abstraction:ControlsProductionOf,reactome:SmallMolecule7
reactome:Protein7965,abstraction:ControlsProductionOf,reactome:SmallMolecule157
reactome:Protein25160,abstraction:ControlsProductionOf,reactome:SmallMolecule157
reactome:Protein21242,abstraction:ControlsProductionOf,reactome:SmallMolecule7
reactome:Protein21077,abstraction:ControlsProductionOf,reactome:SmallMolecule9
reactome:Protein8698,abstraction:ControlsProductionOf,reactome:SmallMolecule9
reactome:Protein27836,abstraction:ControlsProductionOf,reactome:SmallMolecule228
reactome:Protein744,abstraction:ControlsProductionOf,reactome:SmallMolecule9
reactome:Protein3332,abstraction:ControlsProductionOf,reactome:SmallMolecule2345
reactome:Protein28058,abstraction:ControlsProductionOf,reactome:SmallMolecule37
reactome:Protein21259,abstraction:ControlsProductionOf,reactome:SmallMolecule3956
reactome:Protein1969,abstraction:ControlsProductionOf,reactome:SmallMolecule862
reactome:Protein28738,abstraction:ControlsProductionOf,reactome:SmallMolecule26
reactome:Protein3349,abstraction:ControlsProductionOf,reactome:SmallMolecule2356
reactome:Protein8781,abstraction:ControlsProductionOf,reactome:SmallMolecule7
reactome:Protein619,abstraction:ControlsProductionOf,reactome:SmallMolecule976
reactome:Protein2971,abstraction:ControlsProductionOf,reactome:SmallMolecule7
reactome:Protein114,abstraction:ControlsProductionOf,reactome:SmallMolecule3
reactome:Protein22420,abstraction:ControlsProductionOf,reactome:SmallMolecule157
reactome:Protein13419,abstraction:ControlsProductionOf,reactome:SmallMolecule160
reactome:Protein3859,abstraction:ControlsProductionOf,reactome:SmallMolecule9
reactome:Protein2951,abstraction:ControlsProductionOf,reactome:SmallMolecule60
reactome:Protein10146,abstraction:ControlsProductionOf,reactome:SmallMolecule157
reactome:Protein2969,abstraction:ControlsProductionOf,reactome:SmallMolecule1787
reactome:Protein5843,abstraction:ControlsProductionOf,reactome:SmallMolecule7
reactome:Protein8586,abstraction:ControlsProductionOf,reactome:SmallMolecule3106
reactome:Protein28782,abstraction:ControlsProductionOf,reactome:SmallMolecule7
reactome:Protein11976,abstraction:ControlsProductionOf,reactome:SmallMolecule3388
reactome:Protein3171,abstraction:ControlsProductionOf,reactome:SmallMolecule1761
reactome:Protein5416,abstraction:ControlsProductionOf,reactome:SmallMolecule162
reactome:Protein3183,abstraction:ControlsProductionOf,reactome:SmallMolecule64
reactome:Protein624,abstraction:ControlsProductionOf,reactome:SmallMolecule976
reactome:Protein25779,abstraction:ControlsProductionOf,reactome:SmallMolecule3205
reactome:Protein14516,abstraction:ControlsProductionOf,reactome:SmallMolecule162
reactome:Protein8591,abstraction:ControlsProductionOf,reactome:SmallMolecule3113
reactome:Protein4942,abstraction:ControlsProductionOf,reactome:SmallMolecule7
reactome:Protein3670,abstraction:ControlsProductionOf,reactome:SmallMolecule219
reactome:Protein5541,abstraction:ControlsProductionOf,reactome:SmallMolecule3
reactome:Protein1851,abstraction:ControlsProductionOf,reactome:SmallMolecule629
reactome:Protein2883,abstraction:ControlsProductionOf,reactome:SmallMolecule1737
reactome:Protein4345,abstraction:ControlsProductionOf,reactome:SmallMolecule188
reactome:Protein3227,abstraction:ControlsProductionOf,reactome:SmallMolecule7
reactome:Protein3670,abstraction:ControlsProductionOf,reactome:SmallMolecule639
reactome:Protein14214,abstraction:ControlsProductionOf,reactome:SmallMolecule157
reactome:Protein3474,abstraction:ControlsProductionOf,reactome:SmallMolecule9
reactome:Protein23755,abstraction:ControlsProductionOf,reactome:SmallMolecule4248
reactome:Protein7952,abstraction:ControlsProductionOf,reactome:SmallMolecule7
reactome:Protein12263,abstraction:ControlsProductionOf,reactome:SmallMolecule3106
reactome:Protein1913,abstraction:ControlsProductionOf,reactome:SmallMolecule197
reactome:Protein3076,abstraction:ControlsProductionOf,reactome:SmallMolecule1669
reactome:Protein13624,abstraction:ControlsProductionOf,reactome:SmallMolecule7
reactome:Protein24415,abstraction:ControlsProductionOf,reactome:SmallMolecule3112
reactome:Protein3649,abstraction:ControlsProductionOf,reactome:SmallMolecule219
reactome:Protein4262,abstraction:ControlsProductionOf,reactome:SmallMolecule163
reactome:Protein31567,abstraction:ControlsProductionOf,reactome:SmallMolecule7
reactome:Protein23994,abstraction:ControlsProductionOf,reactome:SmallMolecule7
reactome:Protein3335,abstraction:ControlsProductionOf,reactome:SmallMolecule1404
reactome:Protein13568,abstraction:ControlsProductionOf,reactome:SmallMolecule160
reactome:Protein3649,abstraction:ControlsProductionOf,reactome:SmallMolecule639
reactome:Protein13335,abstraction:ControlsProductionOf,reactome:SmallMolecule196
reactome:Protein8639,abstraction:ControlsProductionOf,reactome:SmallMolecule3725
reactome:Protein20484,abstraction:ControlsProductionOf,reactome:SmallMolecule7
reactome:Protein1844,abstraction:ControlsProductionOf,reactome:SmallMolecule604
reactome:Protein7381,abstraction:ControlsProductionOf,reactome:SmallMolecule3689
reactome:Protein1778,abstraction:ControlsProductionOf,reactome:SmallMolecule47
reactome:Protein2035,abstraction:ControlsProductionOf,reactome:SmallMolecule943
reactome:Protein8580,abstraction:ControlsProductionOf,reactome:SmallMolecule3112
reactome:Protein24419,abstraction:ControlsProductionOf,reactome:SmallMolecule3112
reactome:Protein11667,abstraction:ControlsProductionOf,reactome:SmallMolecule1849
reactome:Protein27746,abstraction:ControlsProductionOf,reactome:SmallMolecule9
reactome:Protein4253,abstraction:ControlsProductionOf,reactome:SmallMolecule188
reactome:Protein25848,abstraction:ControlsProductionOf,reactome:SmallMolecule1034
reactome:Protein12482,abstraction:ControlsProductionOf,reactome:SmallMolecule163
reactome:Protein8202,abstraction:ControlsProductionOf,reactome:SmallMolecule162
reactome:Protein15136,abstraction:ControlsProductionOf,reactome:SmallMolecule7
reactome:Protein3333,abstraction:ControlsProductionOf,reactome:SmallMolecule6
reactome:Protein27769,abstraction:ControlsProductionOf,reactome:SmallMolecule4
reactome:Protein480,abstraction:ControlsProductionOf,reactome:SmallMolecule4
reactome:Protein5586,abstraction:ControlsProductionOf,reactome:SmallMolecule3782
reactome:Protein5693,abstraction:ControlsProductionOf,reactome:SmallMolecule157
reactome:Protein18943,abstraction:ControlsProductionOf,reactome:SmallMolecule4
reactome:Protein13483,abstraction:ControlsProductionOf,reactome:SmallMolecule160
reactome:Protein27751,abstraction:ControlsProductionOf,reactome:SmallMolecule4863
reactome:Protein4398,abstraction:ControlsProductionOf,reactome:SmallMolecule163
reactome:Protein24370,abstraction:ControlsProductionOf,reactome:SmallMolecule7
reactome:Protein20365,abstraction:ControlsProductionOf,reactome:SmallMolecule160
reactome:Protein57,abstraction:ControlsProductionOf,reactome:SmallMolecule32
reactome:Protein2247,abstraction:ControlsProductionOf,reactome:SmallMolecule1009
reactome:Protein1843,abstraction:ControlsProductionOf,reactome:SmallMolecule604
reactome:Protein14104,abstraction:ControlsProductionOf,reactome:SmallMolecule7
reactome:Protein4868,abstraction:ControlsProductionOf,reactome:SmallMolecule157
reactome:Protein29346,abstraction:ControlsProductionOf,reactome:SmallMolecule4540
reactome:Protein5323,abstraction:ControlsProductionOf,reactome:SmallMolecule7
reactome:Protein24789,abstraction:ControlsProductionOf,reactome:SmallMolecule9
reactome:Protein15521,abstraction:ControlsProductionOf,reactome:SmallMolecule162
reactome:Protein21777,abstraction:ControlsProductionOf,reactome:SmallMolecule976
reactome:Protein12587,abstraction:ControlsProductionOf,reactome:SmallMolecule4237
reactome:Protein22137,abstraction:ControlsProductionOf,reactome:SmallMolecule7
reactome:Protein4777,abstraction:ControlsProductionOf,reactome:SmallMolecule157
reactome:Protein1875,abstraction:ControlsProductionOf,reactome:SmallMolecule799
reactome:Protein2649,abstraction:ControlsProductionOf,reactome:SmallMolecule6
reactome:Protein4961,abstraction:ControlsProductionOf,reactome:SmallMolecule162
reactome:Protein31951,abstraction:ControlsProductionOf,reactome:SmallMolecule3113
reactome:Protein9106,abstraction:ControlsProductionOf,reactome:SmallMolecule160
reactome:Protein4116,abstraction:ControlsProductionOf,reactome:SmallMolecule381
reactome:Protein27959,abstraction:ControlsProductionOf,reactome:SmallMolecule15
reactome:Protein13537,abstraction:ControlsProductionOf,reactome:SmallMolecule167
reactome:Protein3019,abstraction:ControlsProductionOf,reactome:SmallMolecule7
reactome:Protein21240,abstraction:ControlsProductionOf,reactome:SmallMolecule24
reactome:Protein3353,abstraction:ControlsProductionOf,reactome:SmallMolecule2359
reactome:Protein2536,abstraction:ControlsProductionOf,reactome:SmallMolecule1407
reactome:Protein11051,abstraction:ControlsProductionOf,reactome:SmallMolecule7
reactome:Protein30547,abstraction:ControlsProductionOf,reactome:SmallMolecule83
reactome:Protein3176,abstraction:ControlsProductionOf,reactome:SmallMolecule196
reactome:Protein30300,abstraction:ControlsProductionOf,reactome:SmallMolecule3111
