Source,Interaction,Target
reactome:Protein5686,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule5
reactome:Protein15820,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule158
reactome:Protein12465,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule158
reactome:Protein4486,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule157
reactome:Protein27753,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule15
reactome:Protein20301,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule14
reactome:Protein3656,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule585
reactome:Protein2501,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule6
reactome:Protein27886,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule1652
reactome:Protein1581,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule381
reactome:Protein16100,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule5
reactome:Protein16767,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule5
reactome:Protein3144,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule15
reactome:Protein13406,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule159
reactome:Protein3673,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule637
reactome:Protein1794,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule6
reactome:Protein9112,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule159
reactome:Protein22414,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule923
reactome:Protein1868,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule637
reactome:Protein23055,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule158
reactome:Protein2064,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule15
reactome:Protein3147,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule193
reactome:Protein10182,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule1683
reactome:Protein3673,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule541
reactome:Protein1867,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule6
reactome:Protein15741,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule5
reactome:Protein11857,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule159
reactome:Protein4121,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule5
reactome:Protein2189,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule981
reactome:Protein1868,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule541
reactome:Protein10191,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule2340
reactome:Protein23745,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule2176
reactome:Protein2520,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule6
reactome:Protein4319,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule5
reactome:Protein20218,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule5
reactome:Protein4528,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule14
reactome:Protein820,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule2727
reactome:Protein31567,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule3
reactome:Protein31486,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule15
reactome:Protein2782,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule1712
reactome:Protein3676,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule637
reactome:Protein2538,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule65
reactome:Protein25113,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule158
reactome:Protein203,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule2
reactome:Protein14455,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule5
reactome:Protein15469,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule15
reactome:Protein2481,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule497
reactome:Protein15660,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule158
reactome:Protein4987,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule162
reactome:Protein3479,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule15
reactome:Protein31493,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule24
reactome:Protein5014,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule161
reactome:Protein3676,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule541
reactome:Protein25940,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule1033
reactome:Protein1610,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule15
reactome:Protein13188,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule5
reactome:Protein3102,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule2064
reactome:Protein1966,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule831
reactome:Protein10770,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule3248
reactome:Protein4744,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule5
reactome:Protein1935,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule1292
reactome:Protein14334,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule161
reactome:Protein15641,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule5
reactome:Protein31553,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule4
reactome:Protein24613,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule158
reactome:Protein3542,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule24
reactome:Protein3623,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule2563
reactome:Protein27862,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule24
reactome:Protein1869,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule476
