Source,Interaction,Target
reactome:SmallMolecule2695,abstraction:ChemicalAffects,reactome:Protein22900
reactome:SmallMolecule4129,abstraction:ChemicalAffects,reactome:Protein22452
reactome:SmallMolecule4210,abstraction:ChemicalAffects,reactome:Protein22479
reactome:SmallMolecule4127,abstraction:ChemicalAffects,reactome:Protein343
reactome:SmallMolecule4310,abstraction:ChemicalAffects,reactome:Protein24992
reactome:SmallMolecule158,abstraction:ChemicalAffects,reactome:Protein24997
reactome:SmallMolecule23,abstraction:ChemicalAffects,reactome:Protein7963
reactome:SmallMolecule4183,abstraction:ChemicalAffects,reactome:Protein22418
reactome:SmallMolecule4137,abstraction:ChemicalAffects,reactome:Protein7870
reactome:SmallMolecule4218,abstraction:ChemicalAffects,reactome:Protein22488
reactome:SmallMolecule4128,abstraction:ChemicalAffects,reactome:Protein345
reactome:SmallMolecule4176,abstraction:ChemicalAffects,reactome:Protein350
reactome:SmallMolecule4194,abstraction:ChemicalAffects,reactome:Protein356
reactome:SmallMolecule4160,abstraction:ChemicalAffects,reactome:Protein22904
reactome:SmallMolecule34,abstraction:ChemicalAffects,reactome:Protein22884
reactome:SmallMolecule4194,abstraction:ChemicalAffects,reactome:Protein22790
reactome:SmallMolecule4312,abstraction:ChemicalAffects,reactome:Protein24238
reactome:SmallMolecule604,abstraction:ChemicalAffects,reactome:Protein377
reactome:SmallMolecule161,abstraction:ChemicalAffects,reactome:Protein15375
reactome:SmallMolecule4202,abstraction:ChemicalAffects,reactome:Protein22626
reactome:SmallMolecule1007,abstraction:ChemicalAffects,reactome:Protein25882
reactome:SmallMolecule4213,abstraction:ChemicalAffects,reactome:Protein22895
reactome:SmallMolecule3641,abstraction:ChemicalAffects,reactome:Protein22488
reactome:SmallMolecule4207,abstraction:ChemicalAffects,reactome:Protein22460
reactome:SmallMolecule4133,abstraction:ChemicalAffects,reactome:Protein22487
reactome:SmallMolecule1032,abstraction:ChemicalAffects,reactome:Protein360
reactome:SmallMolecule257,abstraction:ChemicalAffects,reactome:Protein4206
reactome:SmallMolecule4213,abstraction:ChemicalAffects,reactome:Protein22188
reactome:SmallMolecule4182,abstraction:ChemicalAffects,reactome:Protein2551
reactome:SmallMolecule169,abstraction:ChemicalAffects,reactome:Protein352
reactome:SmallMolecule603,abstraction:ChemicalAffects,reactome:Protein22888
reactome:SmallMolecule1909,abstraction:ChemicalAffects,reactome:Protein22450
reactome:SmallMolecule5216,abstraction:ChemicalAffects,reactome:Protein8525
