Source,Interaction,Target
reactome:SmallMolecule15,abstraction:reactsWith,reactome:SmallMolecule6
reactome:SmallMolecule1083,abstraction:reactsWith,reactome:SmallMolecule318
reactome:SmallMolecule2637,abstraction:reactsWith,reactome:SmallMolecule637
reactome:SmallMolecule35,abstraction:reactsWith,reactome:SmallMolecule4517
reactome:SmallMolecule15,abstraction:reactsWith,reactome:SmallMolecule464
reactome:SmallMolecule675,abstraction:reactsWith,reactome:SmallMolecule786
reactome:SmallMolecule2132,abstraction:reactsWith,reactome:SmallMolecule3052
reactome:SmallMolecule1763,abstraction:reactsWith,reactome:SmallMolecule47
reactome:SmallMolecule1838,abstraction:reactsWith,reactome:SmallMolecule1839
reactome:SmallMolecule403,abstraction:reactsWith,reactome:SmallMolecule5
reactome:SmallMolecule1485,abstraction:reactsWith,reactome:SmallMolecule15
reactome:SmallMolecule65,abstraction:reactsWith,reactome:SmallMolecule744
reactome:SmallMolecule2619,abstraction:reactsWith,reactome:SmallMolecule637
reactome:SmallMolecule1462,abstraction:reactsWith,reactome:SmallMolecule15
reactome:SmallMolecule2637,abstraction:reactsWith,reactome:SmallMolecule541
reactome:SmallMolecule1742,abstraction:reactsWith,reactome:SmallMolecule1764
reactome:SmallMolecule746,abstraction:reactsWith,reactome:SmallMolecule939
reactome:SmallMolecule780,abstraction:reactsWith,reactome:SmallMolecule784
reactome:SmallMolecule3363,abstraction:reactsWith,reactome:SmallMolecule344
reactome:SmallMolecule181,abstraction:reactsWith,reactome:SmallMolecule217
reactome:SmallMolecule1296,abstraction:reactsWith,reactome:SmallMolecule6
reactome:SmallMolecule2836,abstraction:reactsWith,reactome:SmallMolecule470
reactome:SmallMolecule2314,abstraction:reactsWith,reactome:SmallMolecule63
reactome:SmallMolecule1712,abstraction:reactsWith,reactome:SmallMolecule1776
reactome:SmallMolecule2,abstraction:reactsWith,reactome:SmallMolecule4
reactome:SmallMolecule15,abstraction:reactsWith,reactome:SmallMolecule595
reactome:SmallMolecule2619,abstraction:reactsWith,reactome:SmallMolecule541
reactome:SmallMolecule1749,abstraction:reactsWith,reactome:SmallMolecule1750
reactome:SmallMolecule212,abstraction:reactsWith,reactome:SmallMolecule264
reactome:SmallMolecule2402,abstraction:reactsWith,reactome:SmallMolecule2404
reactome:SmallMolecule15,abstraction:reactsWith,reactome:SmallMolecule978
reactome:SmallMolecule3014,abstraction:reactsWith,reactome:SmallMolecule3701
reactome:SmallMolecule2331,abstraction:reactsWith,reactome:SmallMolecule60
reactome:SmallMolecule1168,abstraction:reactsWith,reactome:SmallMolecule233
reactome:SmallMolecule255,abstraction:reactsWith,reactome:SmallMolecule256
reactome:SmallMolecule1688,abstraction:reactsWith,reactome:SmallMolecule4984
