Source,Interaction,Target
reactome:SmallMolecule1157,abstraction:usedToProduce,reactome:SmallMolecule466
reactome:SmallMolecule1179,abstraction:usedToProduce,reactome:SmallMolecule1186
reactome:SmallMolecule1898,abstraction:usedToProduce,reactome:SmallMolecule1888
reactome:SmallMolecule65,abstraction:usedToProduce,reactome:SmallMolecule2403
reactome:SmallMolecule2051,abstraction:usedToProduce,reactome:SmallMolecule2059
reactome:SmallMolecule7,abstraction:usedToProduce,reactome:SmallMolecule1786
reactome:SmallMolecule14,abstraction:usedToProduce,reactome:SmallMolecule1571
reactome:SmallMolecule803,abstraction:usedToProduce,reactome:SmallMolecule804
reactome:SmallMolecule885,abstraction:usedToProduce,reactome:SmallMolecule886
reactome:SmallMolecule271,abstraction:usedToProduce,reactome:SmallMolecule274
reactome:SmallMolecule1970,abstraction:usedToProduce,reactome:SmallMolecule47
reactome:SmallMolecule3015,abstraction:usedToProduce,reactome:SmallMolecule3028
reactome:SmallMolecule166,abstraction:usedToProduce,reactome:SmallMolecule167
reactome:SmallMolecule5,abstraction:usedToProduce,reactome:SmallMolecule4882
reactome:SmallMolecule15,abstraction:usedToProduce,reactome:SmallMolecule1152
reactome:SmallMolecule61,abstraction:usedToProduce,reactome:SmallMolecule64
reactome:SmallMolecule3612,abstraction:usedToProduce,reactome:SmallMolecule4538
reactome:SmallMolecule668,abstraction:usedToProduce,reactome:SmallMolecule2453
reactome:SmallMolecule979,abstraction:usedToProduce,reactome:SmallMolecule161
reactome:SmallMolecule905,abstraction:usedToProduce,reactome:SmallMolecule43
reactome:SmallMolecule29,abstraction:usedToProduce,reactome:SmallMolecule2469
reactome:SmallMolecule2679,abstraction:usedToProduce,reactome:SmallMolecule19
reactome:SmallMolecule2509,abstraction:usedToProduce,reactome:SmallMolecule2514
reactome:SmallMolecule497,abstraction:usedToProduce,reactome:SmallMolecule1294
reactome:SmallMolecule4561,abstraction:usedToProduce,reactome:SmallMolecule4565
reactome:SmallMolecule1626,abstraction:usedToProduce,reactome:SmallMolecule1627
reactome:SmallMolecule2336,abstraction:usedToProduce,reactome:SmallMolecule1742
reactome:SmallMolecule259,abstraction:usedToProduce,reactome:SmallMolecule2045
reactome:SmallMolecule26,abstraction:usedToProduce,reactome:SmallMolecule7
reactome:SmallMolecule1670,abstraction:usedToProduce,reactome:SmallMolecule163
reactome:SmallMolecule1577,abstraction:usedToProduce,reactome:SmallMolecule1578
reactome:SmallMolecule65,abstraction:usedToProduce,reactome:SmallMolecule1702
reactome:SmallMolecule15,abstraction:usedToProduce,reactome:SmallMolecule2443
reactome:SmallMolecule15,abstraction:usedToProduce,reactome:SmallMolecule848
reactome:SmallMolecule1452,abstraction:usedToProduce,reactome:SmallMolecule1501
reactome:SmallMolecule1823,abstraction:usedToProduce,reactome:SmallMolecule4637
reactome:SmallMolecule733,abstraction:usedToProduce,reactome:SmallMolecule703
reactome:SmallMolecule2419,abstraction:usedToProduce,reactome:SmallMolecule2422
