Source,Interaction,Target
reactome:Protein2220,abstraction:ControlsTransportOf,reactome:Protein2193
reactome:Protein15427,abstraction:ControlsTransportOf,reactome:Protein26267
reactome:Protein1858,abstraction:ControlsTransportOf,reactome:Protein10525
reactome:Protein15441,abstraction:ControlsTransportOf,reactome:Protein26275
reactome:Protein1867,abstraction:ControlsTransportOf,reactome:Protein9074
reactome:Protein656,abstraction:ControlsTransportOf,reactome:Protein3010
reactome:Protein2943,abstraction:ControlsTransportOf,reactome:Protein2982
reactome:Protein2980,abstraction:ControlsTransportOf,reactome:Protein3045
reactome:Protein2386,abstraction:ControlsTransportOf,reactome:Protein2363
reactome:Protein3065,abstraction:ControlsTransportOf,reactome:Protein3009
reactome:Protein3112,abstraction:ControlsTransportOf,reactome:Protein2911
reactome:Protein2775,abstraction:ControlsTransportOf,reactome:Protein2757
reactome:Protein656,abstraction:ControlsTransportOf,reactome:Protein9385
reactome:Protein3022,abstraction:ControlsTransportOf,reactome:Protein3021
reactome:Protein3095,abstraction:ControlsTransportOf,reactome:Protein3012
reactome:Protein13094,abstraction:ControlsTransportOf,reactome:Protein656
reactome:Protein2177,abstraction:ControlsTransportOf,reactome:Protein2223
reactome:Protein2179,abstraction:ControlsTransportOf,reactome:Protein2181
reactome:Protein3044,abstraction:ControlsTransportOf,reactome:Protein3051
reactome:Protein2983,abstraction:ControlsTransportOf,reactome:Protein2975
reactome:Protein6664,abstraction:ControlsTransportOf,reactome:Protein26269
reactome:Protein5953,abstraction:ControlsTransportOf,reactome:Protein5947
reactome:Protein9003,abstraction:ControlsTransportOf,reactome:Protein26255
reactome:Protein2804,abstraction:ControlsTransportOf,reactome:Protein2799
reactome:Protein2416,abstraction:ControlsTransportOf,reactome:Protein2395
reactome:Protein3194,abstraction:ControlsTransportOf,reactome:Protein13029
reactome:Protein3104,abstraction:ControlsTransportOf,reactome:Protein3039
reactome:Protein2977,abstraction:ControlsTransportOf,reactome:Protein14352
reactome:Protein2994,abstraction:ControlsTransportOf,reactome:Protein2984
reactome:Protein1879,abstraction:ControlsTransportOf,reactome:Protein31467
reactome:Protein2804,abstraction:ControlsTransportOf,reactome:Protein2757
reactome:Protein9849,abstraction:ControlsTransportOf,reactome:Protein15431
reactome:Protein3029,abstraction:ControlsTransportOf,reactome:Protein3047
reactome:Protein2306,abstraction:ControlsTransportOf,reactome:Protein2363
reactome:Protein2911,abstraction:ControlsTransportOf,reactome:Protein3069
reactome:Protein31810,abstraction:ControlsTransportOf,reactome:Protein31811
reactome:Protein651,abstraction:ControlsTransportOf,reactome:Protein3072
reactome:Protein651,abstraction:ControlsTransportOf,reactome:Protein3016
reactome:Protein26246,abstraction:ControlsTransportOf,reactome:Protein26260
reactome:Protein3131,abstraction:ControlsTransportOf,reactome:Protein3010
reactome:Protein9339,abstraction:ControlsTransportOf,reactome:Protein7335
reactome:Protein2195,abstraction:ControlsTransportOf,reactome:Protein2179
reactome:Protein2240,abstraction:ControlsTransportOf,reactome:Protein2242
reactome:Protein9847,abstraction:ControlsTransportOf,reactome:Protein26262
reactome:Protein656,abstraction:ControlsTransportOf,reactome:Protein3049
reactome:Protein4544,abstraction:ControlsTransportOf,reactome:Protein4524
reactome:Protein13331,abstraction:ControlsTransportOf,reactome:Protein15437
reactome:Protein3010,abstraction:ControlsTransportOf,reactome:Protein3018
reactome:Protein1883,abstraction:ControlsTransportOf,reactome:Protein5548
reactome:Protein634,abstraction:ControlsTransportOf,reactome:Protein17689
reactome:Protein12242,abstraction:ControlsTransportOf,reactome:Protein26097
reactome:Protein2316,abstraction:ControlsTransportOf,reactome:Protein2360
reactome:Protein5428,abstraction:ControlsTransportOf,reactome:Protein5314
reactome:Protein2808,abstraction:ControlsTransportOf,reactome:Protein3049
reactome:Protein3112,abstraction:ControlsTransportOf,reactome:Protein3013
reactome:Protein3003,abstraction:ControlsTransportOf,reactome:Protein2983
reactome:Protein3039,abstraction:ControlsTransportOf,reactome:Protein2995
reactome:Protein26271,abstraction:ControlsTransportOf,reactome:Protein26279
reactome:Protein633,abstraction:ControlsTransportOf,reactome:Protein18224
reactome:Protein2981,abstraction:ControlsTransportOf,reactome:Protein2976
reactome:Protein2489,abstraction:ControlsTransportOf,reactome:Protein2386
reactome:Protein22484,abstraction:ControlsTransportOf,reactome:Protein16623
reactome:Protein2999,abstraction:ControlsTransportOf,reactome:Protein3015
reactome:Protein3063,abstraction:ControlsTransportOf,reactome:Protein2975
reactome:Protein2395,abstraction:ControlsTransportOf,reactome:Protein2388
reactome:Protein5873,abstraction:ControlsTransportOf,reactome:Protein5887
reactome:Protein2399,abstraction:ControlsTransportOf,reactome:Protein2391
reactome:Protein650,abstraction:ControlsTransportOf,reactome:Protein2991
reactome:Protein1471,abstraction:ControlsTransportOf,reactome:Protein26245
reactome:Protein1881,abstraction:ControlsTransportOf,reactome:Protein831
