Source,Interaction,Target
reactome:SmallMolecule22,abstraction:ConsumptionControlledBy,reactome:Protein20650
reactome:SmallMolecule2362,abstraction:ConsumptionControlledBy,reactome:Protein2172
reactome:SmallMolecule134,abstraction:ConsumptionControlledBy,reactome:Protein19983
reactome:SmallMolecule11,abstraction:ConsumptionControlledBy,reactome:Protein9239
reactome:SmallMolecule11,abstraction:ConsumptionControlledBy,reactome:Protein7142
reactome:SmallMolecule1620,abstraction:ConsumptionControlledBy,reactome:Protein22325
reactome:SmallMolecule6,abstraction:ConsumptionControlledBy,reactome:Protein3032
reactome:SmallMolecule4740,abstraction:ConsumptionControlledBy,reactome:Protein23244
reactome:SmallMolecule26,abstraction:ConsumptionControlledBy,reactome:Protein11543
reactome:SmallMolecule48,abstraction:ConsumptionControlledBy,reactome:Protein19737
reactome:SmallMolecule9,abstraction:ConsumptionControlledBy,reactome:Protein994
reactome:SmallMolecule852,abstraction:ConsumptionControlledBy,reactome:Protein12411
reactome:SmallMolecule3396,abstraction:ConsumptionControlledBy,reactome:Protein9380
reactome:SmallMolecule308,abstraction:ConsumptionControlledBy,reactome:Protein12614
reactome:SmallMolecule11,abstraction:ConsumptionControlledBy,reactome:Protein3495
reactome:SmallMolecule4431,abstraction:ConsumptionControlledBy,reactome:Protein21080
reactome:SmallMolecule19,abstraction:ConsumptionControlledBy,reactome:Protein21153
reactome:SmallMolecule309,abstraction:ConsumptionControlledBy,reactome:Protein11053
reactome:SmallMolecule31,abstraction:ConsumptionControlledBy,reactome:Protein11505
reactome:SmallMolecule11,abstraction:ConsumptionControlledBy,reactome:Protein25250
reactome:SmallMolecule11,abstraction:ConsumptionControlledBy,reactome:Protein6151
reactome:SmallMolecule133,abstraction:ConsumptionControlledBy,reactome:Protein25493
reactome:SmallMolecule4334,abstraction:ConsumptionControlledBy,reactome:Protein21004
reactome:SmallMolecule5373,abstraction:ConsumptionControlledBy,reactome:Protein20629
reactome:SmallMolecule29,abstraction:ConsumptionControlledBy,reactome:Protein20776
reactome:SmallMolecule309,abstraction:ConsumptionControlledBy,reactome:Protein11247
reactome:SmallMolecule26,abstraction:ConsumptionControlledBy,reactome:Protein2290
reactome:SmallMolecule11,abstraction:ConsumptionControlledBy,reactome:Protein31962
reactome:SmallMolecule4227,abstraction:ConsumptionControlledBy,reactome:Protein20951
reactome:SmallMolecule26,abstraction:ConsumptionControlledBy,reactome:Protein2280
reactome:SmallMolecule133,abstraction:ConsumptionControlledBy,reactome:Protein25290
reactome:SmallMolecule11,abstraction:ConsumptionControlledBy,reactome:Protein25311
reactome:SmallMolecule6,abstraction:ConsumptionControlledBy,reactome:Protein4373
reactome:SmallMolecule52,abstraction:ConsumptionControlledBy,reactome:Protein12051
reactome:SmallMolecule11,abstraction:ConsumptionControlledBy,reactome:Protein9663
reactome:SmallMolecule2355,abstraction:ConsumptionControlledBy,reactome:Protein16772
reactome:SmallMolecule1280,abstraction:ConsumptionControlledBy,reactome:Protein12262
reactome:SmallMolecule1100,abstraction:ConsumptionControlledBy,reactome:Protein20477
reactome:SmallMolecule1617,abstraction:ConsumptionControlledBy,reactome:Protein19365
reactome:SmallMolecule133,abstraction:ConsumptionControlledBy,reactome:Protein3523
reactome:SmallMolecule2583,abstraction:ConsumptionControlledBy,reactome:Protein21143
reactome:SmallMolecule133,abstraction:ConsumptionControlledBy,reactome:Protein25518
reactome:SmallMolecule1411,abstraction:ConsumptionControlledBy,reactome:Protein12348
reactome:SmallMolecule6,abstraction:ConsumptionControlledBy,reactome:Protein12497
reactome:SmallMolecule1044,abstraction:ConsumptionControlledBy,reactome:Protein20267
reactome:SmallMolecule360,abstraction:ConsumptionControlledBy,reactome:Protein4313
reactome:SmallMolecule19,abstraction:ConsumptionControlledBy,reactome:Protein21002
reactome:SmallMolecule84,abstraction:ConsumptionControlledBy,reactome:Protein16
reactome:SmallMolecule4397,abstraction:ConsumptionControlledBy,reactome:Protein19637
reactome:SmallMolecule9,abstraction:ConsumptionControlledBy,reactome:Protein16565
reactome:SmallMolecule26,abstraction:ConsumptionControlledBy,reactome:Protein11532
reactome:SmallMolecule101,abstraction:ConsumptionControlledBy,reactome:Protein9777
reactome:SmallMolecule1,abstraction:ConsumptionControlledBy,reactome:Protein23
reactome:SmallMolecule6,abstraction:ConsumptionControlledBy,reactome:Protein15395
reactome:SmallMolecule11,abstraction:ConsumptionControlledBy,reactome:Protein5616
reactome:SmallMolecule412,abstraction:ConsumptionControlledBy,reactome:Protein12250
reactome:SmallMolecule3780,abstraction:ConsumptionControlledBy,reactome:Protein20605
reactome:SmallMolecule26,abstraction:ConsumptionControlledBy,reactome:Protein15788
reactome:SmallMolecule4751,abstraction:ConsumptionControlledBy,reactome:Protein22961
reactome:SmallMolecule133,abstraction:ConsumptionControlledBy,reactome:Protein25610
reactome:SmallMolecule11,abstraction:ConsumptionControlledBy,reactome:Protein13197
reactome:SmallMolecule26,abstraction:ConsumptionControlledBy,reactome:Protein9863
reactome:SmallMolecule26,abstraction:ConsumptionControlledBy,reactome:Protein5648
reactome:SmallMolecule133,abstraction:ConsumptionControlledBy,reactome:Protein5900
reactome:SmallMolecule309,abstraction:ConsumptionControlledBy,reactome:Protein11036
reactome:SmallMolecule1612,abstraction:ConsumptionControlledBy,reactome:Protein19330
reactome:SmallMolecule11,abstraction:ConsumptionControlledBy,reactome:Protein15443
reactome:SmallMolecule6,abstraction:ConsumptionControlledBy,reactome:Protein20135
reactome:SmallMolecule5071,abstraction:ConsumptionControlledBy,reactome:Protein31806
reactome:SmallMolecule1716,abstraction:ConsumptionControlledBy,reactome:Protein8210
reactome:SmallMolecule26,abstraction:ConsumptionControlledBy,reactome:Protein3555
reactome:SmallMolecule52,abstraction:ConsumptionControlledBy,reactome:Protein1166
reactome:SmallMolecule26,abstraction:ConsumptionControlledBy,reactome:Protein25492
reactome:SmallMolecule11,abstraction:ConsumptionControlledBy,reactome:Protein3241
reactome:SmallMolecule11,abstraction:ConsumptionControlledBy,reactome:Protein6720
reactome:SmallMolecule2819,abstraction:ConsumptionControlledBy,reactome:Protein19960
reactome:SmallMolecule3281,abstraction:ConsumptionControlledBy,reactome:Protein19640
reactome:SmallMolecule1811,abstraction:ConsumptionControlledBy,reactome:Protein19928
reactome:SmallMolecule1,abstraction:ConsumptionControlledBy,reactome:Protein981
reactome:SmallMolecule11,abstraction:ConsumptionControlledBy,reactome:Protein9881
