Source,Interaction,Target
reactome:Protein19899,abstraction:ControlsProductionOf,reactome:SmallMolecule2966
reactome:Protein25403,abstraction:ControlsProductionOf,reactome:SmallMolecule50
reactome:Protein4411,abstraction:ControlsProductionOf,reactome:SmallMolecule101
reactome:Protein5881,abstraction:ControlsProductionOf,reactome:SmallMolecule12
reactome:Protein20091,abstraction:ControlsProductionOf,reactome:SmallMolecule1889
reactome:Protein20132,abstraction:ControlsProductionOf,reactome:SmallMolecule3124
reactome:Protein12616,abstraction:ControlsProductionOf,reactome:SmallMolecule309
reactome:Protein654,abstraction:ControlsProductionOf,reactome:SmallMolecule14
reactome:Protein26266,abstraction:ControlsProductionOf,reactome:SmallMolecule12
reactome:Protein16481,abstraction:ControlsProductionOf,reactome:SmallMolecule85
reactome:Protein20863,abstraction:ControlsProductionOf,reactome:SmallMolecule4116
reactome:Protein20805,abstraction:ControlsProductionOf,reactome:SmallMolecule4056
reactome:Protein2615,abstraction:ControlsProductionOf,reactome:SmallMolecule4717
reactome:Protein19876,abstraction:ControlsProductionOf,reactome:SmallMolecule2975
reactome:Protein31818,abstraction:ControlsProductionOf,reactome:SmallMolecule12
reactome:Protein14552,abstraction:ControlsProductionOf,reactome:SmallMolecule73
reactome:Protein6168,abstraction:ControlsProductionOf,reactome:SmallMolecule403
reactome:Protein26662,abstraction:ControlsProductionOf,reactome:SmallMolecule12
reactome:Protein19780,abstraction:ControlsProductionOf,reactome:SmallMolecule605
reactome:Protein19589,abstraction:ControlsProductionOf,reactome:SmallMolecule12
reactome:Protein18816,abstraction:ControlsProductionOf,reactome:SmallMolecule18
reactome:Protein11277,abstraction:ControlsProductionOf,reactome:SmallMolecule308
reactome:Protein5241,abstraction:ControlsProductionOf,reactome:SmallMolecule14
reactome:Protein12519,abstraction:ControlsProductionOf,reactome:SmallMolecule12
reactome:Protein10476,abstraction:ControlsProductionOf,reactome:SmallMolecule516
reactome:Protein3512,abstraction:ControlsProductionOf,reactome:SmallMolecule50
reactome:Protein20899,abstraction:ControlsProductionOf,reactome:SmallMolecule4156
reactome:Protein20700,abstraction:ControlsProductionOf,reactome:SmallMolecule25
reactome:Protein20589,abstraction:ControlsProductionOf,reactome:SmallMolecule3751
reactome:Protein5515,abstraction:ControlsProductionOf,reactome:SmallMolecule592
reactome:Protein20495,abstraction:ControlsProductionOf,reactome:SmallMolecule3632
reactome:Protein903,abstraction:ControlsProductionOf,reactome:SmallMolecule569
reactome:Protein4974,abstraction:ControlsProductionOf,reactome:SmallMolecule10
reactome:Protein27710,abstraction:ControlsProductionOf,reactome:SmallMolecule12
reactome:Protein12475,abstraction:ControlsProductionOf,reactome:SmallMolecule1641
reactome:Protein3178,abstraction:ControlsProductionOf,reactome:SmallMolecule14
reactome:Protein15259,abstraction:ControlsProductionOf,reactome:SmallMolecule4376
reactome:Protein19775,abstraction:ControlsProductionOf,reactome:SmallMolecule1100
reactome:Protein10504,abstraction:ControlsProductionOf,reactome:SmallMolecule8
reactome:Protein12856,abstraction:ControlsProductionOf,reactome:SmallMolecule1879
reactome:Protein6337,abstraction:ControlsProductionOf,reactome:SmallMolecule632
reactome:Protein18879,abstraction:ControlsProductionOf,reactome:SmallMolecule3103
reactome:Protein13569,abstraction:ControlsProductionOf,reactome:SmallMolecule12
reactome:Protein12468,abstraction:ControlsProductionOf,reactome:SmallMolecule1617
reactome:Protein4937,abstraction:ControlsProductionOf,reactome:SmallMolecule10
reactome:Protein19319,abstraction:ControlsProductionOf,reactome:SmallMolecule2460
reactome:Protein6222,abstraction:ControlsProductionOf,reactome:SmallMolecule12
reactome:Protein23439,abstraction:ControlsProductionOf,reactome:SmallMolecule105
reactome:Protein5789,abstraction:ControlsProductionOf,reactome:SmallMolecule50
reactome:Protein6728,abstraction:ControlsProductionOf,reactome:SmallMolecule12
reactome:Protein26087,abstraction:ControlsProductionOf,reactome:SmallMolecule12
reactome:Protein19818,abstraction:ControlsProductionOf,reactome:SmallMolecule12
reactome:Protein3511,abstraction:ControlsProductionOf,reactome:SmallMolecule27
reactome:Protein20039,abstraction:ControlsProductionOf,reactome:SmallMolecule3040
reactome:Protein12290,abstraction:ControlsProductionOf,reactome:SmallMolecule1208
reactome:Protein31915,abstraction:ControlsProductionOf,reactome:SmallMolecule403
reactome:Protein15251,abstraction:ControlsProductionOf,reactome:SmallMolecule856
reactome:Protein16753,abstraction:ControlsProductionOf,reactome:SmallMolecule2357
reactome:Protein8910,abstraction:ControlsProductionOf,reactome:SmallMolecule760
reactome:Protein21004,abstraction:ControlsProductionOf,reactome:SmallMolecule4342
reactome:Protein25323,abstraction:ControlsProductionOf,reactome:SmallMolecule50
reactome:Protein11483,abstraction:ControlsProductionOf,reactome:SmallMolecule1096
reactome:Protein19559,abstraction:ControlsProductionOf,reactome:SmallMolecule2506
reactome:Protein19316,abstraction:ControlsProductionOf,reactome:SmallMolecule2463
reactome:Protein4938,abstraction:ControlsProductionOf,reactome:SmallMolecule2
reactome:Protein993,abstraction:ControlsProductionOf,reactome:SmallMolecule10
reactome:Protein1245,abstraction:ControlsProductionOf,reactome:SmallMolecule53
reactome:Protein21577,abstraction:ControlsProductionOf,reactome:SmallMolecule4597
reactome:Protein20875,abstraction:ControlsProductionOf,reactome:SmallMolecule6
reactome:Protein25488,abstraction:ControlsProductionOf,reactome:SmallMolecule12
reactome:Protein9712,abstraction:ControlsProductionOf,reactome:SmallMolecule27
reactome:Protein14877,abstraction:ControlsProductionOf,reactome:SmallMolecule53
reactome:Protein5449,abstraction:ControlsProductionOf,reactome:SmallMolecule4
reactome:Protein19795,abstraction:ControlsProductionOf,reactome:SmallMolecule528
reactome:Protein20836,abstraction:ControlsProductionOf,reactome:SmallMolecule2367
reactome:Protein6296,abstraction:ControlsProductionOf,reactome:SmallMolecule12
reactome:Protein20205,abstraction:ControlsProductionOf,reactome:SmallMolecule3274
reactome:Protein19858,abstraction:ControlsProductionOf,reactome:SmallMolecule2980
reactome:Protein21188,abstraction:ControlsProductionOf,reactome:SmallMolecule14
reactome:Protein5656,abstraction:ControlsProductionOf,reactome:SmallMolecule618
reactome:Protein13300,abstraction:ControlsProductionOf,reactome:SmallMolecule12
reactome:Protein12282,abstraction:ControlsProductionOf,reactome:SmallMolecule103
reactome:Protein20238,abstraction:ControlsProductionOf,reactome:SmallMolecule938
reactome:Protein20571,abstraction:ControlsProductionOf,reactome:SmallMolecule5295
reactome:Protein2305,abstraction:ControlsProductionOf,reactome:SmallMolecule403
reactome:Protein10942,abstraction:ControlsProductionOf,reactome:SmallMolecule1063
reactome:Protein19757,abstraction:ControlsProductionOf,reactome:SmallMolecule4327
reactome:Protein15636,abstraction:ControlsProductionOf,reactome:SmallMolecule14
reactome:Protein31901,abstraction:ControlsProductionOf,reactome:SmallMolecule403
reactome:Protein1660,abstraction:ControlsProductionOf,reactome:SmallMolecule2
reactome:Protein22568,abstraction:ControlsProductionOf,reactome:SmallMolecule4750
reactome:Protein20711,abstraction:ControlsProductionOf,reactome:SmallMolecule3953
reactome:Protein8902,abstraction:ControlsProductionOf,reactome:SmallMolecule17
reactome:Protein21145,abstraction:ControlsProductionOf,reactome:SmallMolecule4530
reactome:Protein21010,abstraction:ControlsProductionOf,reactome:SmallMolecule2722
reactome:Protein8925,abstraction:ControlsProductionOf,reactome:SmallMolecule26
reactome:Protein15513,abstraction:ControlsProductionOf,reactome:SmallMolecule10
reactome:Protein3484,abstraction:ControlsProductionOf,reactome:SmallMolecule50
reactome:Protein12528,abstraction:ControlsProductionOf,reactome:SmallMolecule12
reactome:Protein21024,abstraction:ControlsProductionOf,reactome:SmallMolecule4355
reactome:Protein15428,abstraction:ControlsProductionOf,reactome:SmallMolecule12
reactome:Protein19639,abstraction:ControlsProductionOf,reactome:SmallMolecule2689
reactome:Protein26123,abstraction:ControlsProductionOf,reactome:SmallMolecule12
reactome:Protein11052,abstraction:ControlsProductionOf,reactome:SmallMolecule307
reactome:Protein19873,abstraction:ControlsProductionOf,reactome:SmallMolecule2937
reactome:Protein20918,abstraction:ControlsProductionOf,reactome:SmallMolecule14
reactome:Protein20080,abstraction:ControlsProductionOf,reactome:SmallMolecule1286
reactome:Protein13578,abstraction:ControlsProductionOf,reactome:SmallMolecule12
reactome:Protein5260,abstraction:ControlsProductionOf,reactome:SmallMolecule14
reactome:Protein19318,abstraction:ControlsProductionOf,reactome:SmallMolecule2427
reactome:Protein20286,abstraction:ControlsProductionOf,reactome:SmallMolecule5365
reactome:Protein5243,abstraction:ControlsProductionOf,reactome:SmallMolecule14
reactome:Protein20913,abstraction:ControlsProductionOf,reactome:SmallMolecule25
reactome:Protein6170,abstraction:ControlsProductionOf,reactome:SmallMolecule25
reactome:Protein5216,abstraction:ControlsProductionOf,reactome:SmallMolecule14
reactome:Protein10040,abstraction:ControlsProductionOf,reactome:SmallMolecule12
reactome:Protein21141,abstraction:ControlsProductionOf,reactome:SmallMolecule914
reactome:Protein5632,abstraction:ControlsProductionOf,reactome:SmallMolecule12
reactome:Protein25570,abstraction:ControlsProductionOf,reactome:SmallMolecule27
reactome:Protein10950,abstraction:ControlsProductionOf,reactome:SmallMolecule305
reactome:Protein25549,abstraction:ControlsProductionOf,reactome:SmallMolecule27
reactome:Protein1227,abstraction:ControlsProductionOf,reactome:SmallMolecule53
reactome:Protein5124,abstraction:ControlsProductionOf,reactome:SmallMolecule574
reactome:Protein25234,abstraction:ControlsProductionOf,reactome:SmallMolecule27
reactome:Protein7343,abstraction:ControlsProductionOf,reactome:SmallMolecule12
reactome:Protein768,abstraction:ControlsProductionOf,reactome:SmallMolecule528
reactome:Protein5507,abstraction:ControlsProductionOf,reactome:SmallMolecule82
reactome:Protein2027,abstraction:ControlsProductionOf,reactome:SmallMolecule2519
reactome:Protein21030,abstraction:ControlsProductionOf,reactome:SmallMolecule4368
reactome:Protein2739,abstraction:ControlsProductionOf,reactome:SmallMolecule27
reactome:Protein2466,abstraction:ControlsProductionOf,reactome:SmallMolecule14
reactome:Protein19662,abstraction:ControlsProductionOf,reactome:SmallMolecule6
