Source,Interaction,Target
reactome:Protein20041,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule1330
reactome:Protein25014,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule1
reactome:Protein3052,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule6
reactome:Protein21762,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule4632
reactome:Protein23720,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule1
reactome:Protein5124,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule6
reactome:Protein12735,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule1775
reactome:Protein19886,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule6
reactome:Protein15272,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule4095
reactome:Protein20381,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule1096
reactome:Protein5870,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule133
reactome:Protein10788,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule26
reactome:Protein23199,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule4740
reactome:Protein24968,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule11
reactome:Protein19853,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule1811
reactome:Protein5330,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule52
reactome:Protein754,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule11
reactome:Protein20775,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule3297
reactome:Protein26832,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule11
reactome:Protein4343,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule397
reactome:Protein5427,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule26
reactome:Protein10976,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule100
reactome:Protein9194,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule11
reactome:Protein26143,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule11
reactome:Protein25519,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule11
reactome:Protein3102,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule2953
reactome:Protein12421,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule1504
reactome:Protein3059,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule11
reactome:Protein16187,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule11
reactome:Protein10786,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule27
reactome:Protein5231,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule6
reactome:Protein26893,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule11
reactome:Protein655,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule134
reactome:Protein9381,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule6
reactome:Protein13634,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule6
reactome:Protein1010,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule9
reactome:Protein16897,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule2362
reactome:Protein18802,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule2383
reactome:Protein12556,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule101
reactome:Protein26682,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule11
reactome:Protein2106,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule1
reactome:Protein19676,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule117
reactome:Protein20775,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule4027
reactome:Protein26324,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule11
reactome:Protein10942,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule48
reactome:Protein3529,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule50
reactome:Protein24813,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule83
reactome:Protein5170,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule6
reactome:Protein26097,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule11
reactome:Protein26574,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule11
reactome:Protein1056,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule1
reactome:Protein10451,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule11
reactome:Protein7120,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule11
reactome:Protein20683,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule3929
reactome:Protein23972,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule11
reactome:Protein9241,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule26
reactome:Protein19581,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule6
reactome:Protein2465,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule6
reactome:Protein19579,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule516
reactome:Protein4452,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule103
reactome:Protein23242,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule4740
reactome:Protein21789,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule2291
reactome:Protein25477,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule26
reactome:Protein9573,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule26
reactome:Protein25430,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule11
reactome:Protein20271,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule3358
reactome:Protein19732,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule4365
reactome:Protein31954,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule11
reactome:Protein23821,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule306
reactome:Protein13789,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule6
reactome:Protein12761,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule1227
reactome:Protein24655,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule1
reactome:Protein31769,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule3745
reactome:Protein11172,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule11
reactome:Protein15947,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule11
reactome:Protein3541,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule133
reactome:Protein20554,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule6
reactome:Protein13938,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule26
reactome:Protein11463,abstraction:ControlsTransportOfChemical,reactome:SmallMolecule31
