Source,Interaction,Target
reactome:SmallMolecule732,abstraction:ChemicalAffects,reactome:Protein16544
reactome:SmallMolecule1065,abstraction:ChemicalAffects,reactome:Protein14140
reactome:SmallMolecule97,abstraction:ChemicalAffects,reactome:Protein2001
reactome:SmallMolecule2137,abstraction:ChemicalAffects,reactome:Protein14037
reactome:SmallMolecule2166,abstraction:ChemicalAffects,reactome:Protein6995
reactome:SmallMolecule2174,abstraction:ChemicalAffects,reactome:Protein13903
reactome:SmallMolecule438,abstraction:ChemicalAffects,reactome:Protein13915
reactome:SmallMolecule419,abstraction:ChemicalAffects,reactome:Protein14236
reactome:SmallMolecule1466,abstraction:ChemicalAffects,reactome:Protein8034
reactome:SmallMolecule132,abstraction:ChemicalAffects,reactome:Protein4484
reactome:SmallMolecule136,abstraction:ChemicalAffects,reactome:Protein3062
reactome:SmallMolecule2136,abstraction:ChemicalAffects,reactome:Protein14202
reactome:SmallMolecule478,abstraction:ChemicalAffects,reactome:Protein13884
reactome:SmallMolecule420,abstraction:ChemicalAffects,reactome:Protein14056
reactome:SmallMolecule461,abstraction:ChemicalAffects,reactome:Protein14375
reactome:SmallMolecule886,abstraction:ChemicalAffects,reactome:Protein13944
reactome:SmallMolecule705,abstraction:ChemicalAffects,reactome:Protein6970
reactome:SmallMolecule476,abstraction:ChemicalAffects,reactome:Protein14145
reactome:SmallMolecule1960,abstraction:ChemicalAffects,reactome:Protein13940
reactome:SmallMolecule866,abstraction:ChemicalAffects,reactome:Protein6825
reactome:SmallMolecule472,abstraction:ChemicalAffects,reactome:Protein14103
reactome:SmallMolecule423,abstraction:ChemicalAffects,reactome:Protein14105
reactome:SmallMolecule132,abstraction:ChemicalAffects,reactome:Protein14146
reactome:SmallMolecule26,abstraction:ChemicalAffects,reactome:Protein26264
reactome:SmallMolecule434,abstraction:ChemicalAffects,reactome:Protein13956
reactome:SmallMolecule527,abstraction:ChemicalAffects,reactome:Protein11513
reactome:SmallMolecule425,abstraction:ChemicalAffects,reactome:Protein14210
reactome:SmallMolecule133,abstraction:ChemicalAffects,reactome:Protein26163
reactome:SmallMolecule410,abstraction:ChemicalAffects,reactome:Protein13884
reactome:SmallMolecule433,abstraction:ChemicalAffects,reactome:Protein13903
reactome:SmallMolecule455,abstraction:ChemicalAffects,reactome:Protein9862
reactome:SmallMolecule138,abstraction:ChemicalAffects,reactome:Protein3141
reactome:SmallMolecule130,abstraction:ChemicalAffects,reactome:Protein14107
reactome:SmallMolecule455,abstraction:ChemicalAffects,reactome:Protein13943
reactome:SmallMolecule2110,abstraction:ChemicalAffects,reactome:Protein4477
reactome:SmallMolecule480,abstraction:ChemicalAffects,reactome:Protein4478
reactome:SmallMolecule1960,abstraction:ChemicalAffects,reactome:Protein1540
reactome:SmallMolecule2174,abstraction:ChemicalAffects,reactome:Protein14367
reactome:SmallMolecule476,abstraction:ChemicalAffects,reactome:Protein14103
reactome:SmallMolecule460,abstraction:ChemicalAffects,reactome:Protein9470
reactome:SmallMolecule131,abstraction:ChemicalAffects,reactome:Protein14223
reactome:SmallMolecule11,abstraction:ChemicalAffects,reactome:Protein2988
reactome:SmallMolecule2361,abstraction:ChemicalAffects,reactome:Protein16761
reactome:SmallMolecule2135,abstraction:ChemicalAffects,reactome:Protein4481
reactome:SmallMolecule501,abstraction:ChemicalAffects,reactome:Protein14101
reactome:SmallMolecule130,abstraction:ChemicalAffects,reactome:Protein8220
reactome:SmallMolecule2111,abstraction:ChemicalAffects,reactome:Protein14262
reactome:SmallMolecule100,abstraction:ChemicalAffects,reactome:Protein13954
reactome:SmallMolecule2141,abstraction:ChemicalAffects,reactome:Protein14201
reactome:SmallMolecule2136,abstraction:ChemicalAffects,reactome:Protein9328
reactome:SmallMolecule453,abstraction:ChemicalAffects,reactome:Protein9721
reactome:SmallMolecule27,abstraction:ChemicalAffects,reactome:Protein9724
reactome:SmallMolecule499,abstraction:ChemicalAffects,reactome:Protein14366
reactome:SmallMolecule2135,abstraction:ChemicalAffects,reactome:Protein13924
reactome:SmallMolecule253,abstraction:ChemicalAffects,reactome:Protein4482
reactome:SmallMolecule484,abstraction:ChemicalAffects,reactome:Protein14209
reactome:SmallMolecule133,abstraction:ChemicalAffects,reactome:Protein26323
reactome:SmallMolecule68,abstraction:ChemicalAffects,reactome:Protein11
reactome:SmallMolecule907,abstraction:ChemicalAffects,reactome:Protein25269
reactome:SmallMolecule504,abstraction:ChemicalAffects,reactome:Protein6999
reactome:SmallMolecule50,abstraction:ChemicalAffects,reactome:Protein7317
reactome:SmallMolecule427,abstraction:ChemicalAffects,reactome:Protein11640
reactome:SmallMolecule505,abstraction:ChemicalAffects,reactome:Protein4474
reactome:SmallMolecule471,abstraction:ChemicalAffects,reactome:Protein13910
reactome:SmallMolecule2453,abstraction:ChemicalAffects,reactome:Protein19326
reactome:SmallMolecule1560,abstraction:ChemicalAffects,reactome:Protein14235
reactome:SmallMolecule1507,abstraction:ChemicalAffects,reactome:Protein4464
reactome:SmallMolecule1560,abstraction:ChemicalAffects,reactome:Protein14060
reactome:SmallMolecule421,abstraction:ChemicalAffects,reactome:Protein14142
reactome:SmallMolecule422,abstraction:ChemicalAffects,reactome:Protein9716
reactome:SmallMolecule456,abstraction:ChemicalAffects,reactome:Protein9714
reactome:SmallMolecule133,abstraction:ChemicalAffects,reactome:Protein15430
reactome:SmallMolecule433,abstraction:ChemicalAffects,reactome:Protein14367
reactome:SmallMolecule50,abstraction:ChemicalAffects,reactome:Protein11191
reactome:SmallMolecule439,abstraction:ChemicalAffects,reactome:Protein14088
reactome:SmallMolecule124,abstraction:ChemicalAffects,reactome:Protein662
reactome:SmallMolecule436,abstraction:ChemicalAffects,reactome:Protein13885
reactome:SmallMolecule132,abstraction:ChemicalAffects,reactome:Protein14080
reactome:SmallMolecule420,abstraction:ChemicalAffects,reactome:Protein14362
reactome:SmallMolecule2111,abstraction:ChemicalAffects,reactome:Protein14197
reactome:SmallMolecule434,abstraction:ChemicalAffects,reactome:Protein13926
reactome:SmallMolecule485,abstraction:ChemicalAffects,reactome:Protein13974
reactome:SmallMolecule458,abstraction:ChemicalAffects,reactome:Protein4480
reactome:SmallMolecule2113,abstraction:ChemicalAffects,reactome:Protein14099
reactome:SmallMolecule420,abstraction:ChemicalAffects,reactome:Protein14145
reactome:SmallMolecule2130,abstraction:ChemicalAffects,reactome:Protein13966
reactome:SmallMolecule436,abstraction:ChemicalAffects,reactome:Protein14109
reactome:SmallMolecule2110,abstraction:ChemicalAffects,reactome:Protein14107
reactome:SmallMolecule451,abstraction:ChemicalAffects,reactome:Protein14225
reactome:SmallMolecule457,abstraction:ChemicalAffects,reactome:Protein14029
reactome:SmallMolecule479,abstraction:ChemicalAffects,reactome:Protein14212
reactome:SmallMolecule2189,abstraction:ChemicalAffects,reactome:Protein9478
reactome:SmallMolecule2188,abstraction:ChemicalAffects,reactome:Protein13882
reactome:SmallMolecule451,abstraction:ChemicalAffects,reactome:Protein14222
reactome:SmallMolecule139,abstraction:ChemicalAffects,reactome:Protein3069
reactome:SmallMolecule290,abstraction:ChemicalAffects,reactome:Protein14262
reactome:SmallMolecule427,abstraction:ChemicalAffects,reactome:Protein14106
reactome:SmallMolecule1560,abstraction:ChemicalAffects,reactome:Protein7929
reactome:SmallMolecule2125,abstraction:ChemicalAffects,reactome:Protein14143
reactome:SmallMolecule2110,abstraction:ChemicalAffects,reactome:Protein8220
reactome:SmallMolecule450,abstraction:ChemicalAffects,reactome:Protein9712
reactome:SmallMolecule478,abstraction:ChemicalAffects,reactome:Protein13901
reactome:SmallMolecule128,abstraction:ChemicalAffects,reactome:Protein3105
reactome:SmallMolecule71,abstraction:ChemicalAffects,reactome:Protein24862
reactome:SmallMolecule435,abstraction:ChemicalAffects,reactome:Protein14202
reactome:SmallMolecule64,abstraction:ChemicalAffects,reactome:Protein20
reactome:SmallMolecule1098,abstraction:ChemicalAffects,reactome:Protein20407
reactome:SmallMolecule647,abstraction:ChemicalAffects,reactome:Protein6301
reactome:SmallMolecule26,abstraction:ChemicalAffects,reactome:Protein26379
reactome:SmallMolecule461,abstraction:ChemicalAffects,reactome:Protein14265
reactome:SmallMolecule11,abstraction:ChemicalAffects,reactome:Protein23802
reactome:SmallMolecule2135,abstraction:ChemicalAffects,reactome:Protein14213
reactome:SmallMolecule456,abstraction:ChemicalAffects,reactome:Protein7050
reactome:SmallMolecule2112,abstraction:ChemicalAffects,reactome:Protein13915
reactome:SmallMolecule1079,abstraction:ChemicalAffects,reactome:Protein9466
reactome:SmallMolecule472,abstraction:ChemicalAffects,reactome:Protein9715
reactome:SmallMolecule1560,abstraction:ChemicalAffects,reactome:Protein4470
reactome:SmallMolecule477,abstraction:ChemicalAffects,reactome:Protein13957
reactome:SmallMolecule497,abstraction:ChemicalAffects,reactome:Protein13913
reactome:SmallMolecule92,abstraction:ChemicalAffects,reactome:Protein103
reactome:SmallMolecule419,abstraction:ChemicalAffects,reactome:Protein13933
reactome:SmallMolecule506,abstraction:ChemicalAffects,reactome:Protein14371
reactome:SmallMolecule1541,abstraction:ChemicalAffects,reactome:Protein9719
reactome:SmallMolecule420,abstraction:ChemicalAffects,reactome:Protein14233
reactome:SmallMolecule2135,abstraction:ChemicalAffects,reactome:Protein4479
reactome:SmallMolecule858,abstraction:ChemicalAffects,reactome:Protein3045
reactome:SmallMolecule436,abstraction:ChemicalAffects,reactome:Protein4475
reactome:SmallMolecule852,abstraction:ChemicalAffects,reactome:Protein7109
reactome:SmallMolecule130,abstraction:ChemicalAffects,reactome:Protein658
reactome:SmallMolecule2189,abstraction:ChemicalAffects,reactome:Protein13909
reactome:SmallMolecule100,abstraction:ChemicalAffects,reactome:Protein26329
reactome:SmallMolecule2166,abstraction:ChemicalAffects,reactome:Protein14226
reactome:SmallMolecule1086,abstraction:ChemicalAffects,reactome:Protein14099
reactome:SmallMolecule476,abstraction:ChemicalAffects,reactome:Protein9715
reactome:SmallMolecule126,abstraction:ChemicalAffects,reactome:Protein3162
reactome:SmallMolecule127,abstraction:ChemicalAffects,reactome:Protein3049
reactome:SmallMolecule130,abstraction:ChemicalAffects,reactome:Protein14263
reactome:SmallMolecule485,abstraction:ChemicalAffects,reactome:Protein14024
reactome:SmallMolecule2142,abstraction:ChemicalAffects,reactome:Protein14363
reactome:SmallMolecule1541,abstraction:ChemicalAffects,reactome:Protein13896
reactome:SmallMolecule435,abstraction:ChemicalAffects,reactome:Protein9328
reactome:SmallMolecule100,abstraction:ChemicalAffects,reactome:Protein6971
reactome:SmallMolecule497,abstraction:ChemicalAffects,reactome:Protein9471
reactome:SmallMolecule4978,abstraction:ChemicalAffects,reactome:Protein30933
reactome:SmallMolecule1959,abstraction:ChemicalAffects,reactome:Protein14202
reactome:SmallMolecule413,abstraction:ChemicalAffects,reactome:Protein13952
reactome:SmallMolecule2112,abstraction:ChemicalAffects,reactome:Protein14086
reactome:SmallMolecule432,abstraction:ChemicalAffects,reactome:Protein14375
reactome:SmallMolecule2131,abstraction:ChemicalAffects,reactome:Protein10009
reactome:SmallMolecule422,abstraction:ChemicalAffects,reactome:Protein13971
reactome:SmallMolecule460,abstraction:ChemicalAffects,reactome:Protein9376
reactome:SmallMolecule500,abstraction:ChemicalAffects,reactome:Protein14026
reactome:SmallMolecule2141,abstraction:ChemicalAffects,reactome:Protein13943
reactome:SmallMolecule2141,abstraction:ChemicalAffects,reactome:Protein9862
reactome:SmallMolecule50,abstraction:ChemicalAffects,reactome:Protein5771
reactome:SmallMolecule2132,abstraction:ChemicalAffects,reactome:Protein13913
reactome:SmallMolecule132,abstraction:ChemicalAffects,reactome:Protein3022
reactome:SmallMolecule456,abstraction:ChemicalAffects,reactome:Protein9718
reactome:SmallMolecule504,abstraction:ChemicalAffects,reactome:Protein14145
reactome:SmallMolecule628,abstraction:ChemicalAffects,reactome:Protein1909
reactome:SmallMolecule64,abstraction:ChemicalAffects,reactome:Protein9
reactome:SmallMolecule440,abstraction:ChemicalAffects,reactome:Protein13925
reactome:SmallMolecule2359,abstraction:ChemicalAffects,reactome:Protein16682
reactome:SmallMolecule1541,abstraction:ChemicalAffects,reactome:Protein13902
reactome:SmallMolecule253,abstraction:ChemicalAffects,reactome:Protein13914
reactome:SmallMolecule2361,abstraction:ChemicalAffects,reactome:Protein16860
reactome:SmallMolecule2131,abstraction:ChemicalAffects,reactome:Protein9716
reactome:SmallMolecule450,abstraction:ChemicalAffects,reactome:Protein4486
reactome:SmallMolecule2127,abstraction:ChemicalAffects,reactome:Protein14409
reactome:SmallMolecule134,abstraction:ChemicalAffects,reactome:Protein657
reactome:SmallMolecule107,abstraction:ChemicalAffects,reactome:Protein2185
reactome:SmallMolecule2110,abstraction:ChemicalAffects,reactome:Protein4484
reactome:SmallMolecule507,abstraction:ChemicalAffects,reactome:Protein2088
