Source,Interaction,Target
reactome:SmallMolecule1046,abstraction:reactsWith,reactome:SmallMolecule2783
reactome:SmallMolecule360,abstraction:reactsWith,reactome:SmallMolecule5353
reactome:SmallMolecule2977,abstraction:reactsWith,reactome:SmallMolecule30
reactome:SmallMolecule2355,abstraction:reactsWith,reactome:SmallMolecule4324
reactome:SmallMolecule1059,abstraction:reactsWith,reactome:SmallMolecule2793
reactome:SmallMolecule311,abstraction:reactsWith,reactome:SmallMolecule4307
reactome:SmallMolecule1096,abstraction:reactsWith,reactome:SmallMolecule29
reactome:SmallMolecule1743,abstraction:reactsWith,reactome:SmallMolecule29
reactome:SmallMolecule100,abstraction:reactsWith,reactome:SmallMolecule700
reactome:SmallMolecule2215,abstraction:reactsWith,reactome:SmallMolecule2758
reactome:SmallMolecule4243,abstraction:reactsWith,reactome:SmallMolecule4249
reactome:SmallMolecule18,abstraction:reactsWith,reactome:SmallMolecule334
reactome:SmallMolecule2892,abstraction:reactsWith,reactome:SmallMolecule48
reactome:SmallMolecule18,abstraction:reactsWith,reactome:SmallMolecule5364
reactome:SmallMolecule18,abstraction:reactsWith,reactome:SmallMolecule3975
reactome:SmallMolecule394,abstraction:reactsWith,reactome:SmallMolecule6
reactome:SmallMolecule2595,abstraction:reactsWith,reactome:SmallMolecule48
reactome:SmallMolecule1701,abstraction:reactsWith,reactome:SmallMolecule4317
reactome:SmallMolecule3201,abstraction:reactsWith,reactome:SmallMolecule48
reactome:SmallMolecule2579,abstraction:reactsWith,reactome:SmallMolecule2586
reactome:SmallMolecule1789,abstraction:reactsWith,reactome:SmallMolecule6
reactome:SmallMolecule19,abstraction:reactsWith,reactome:SmallMolecule4605
reactome:SmallMolecule2721,abstraction:reactsWith,reactome:SmallMolecule4354
reactome:SmallMolecule309,abstraction:reactsWith,reactome:SmallMolecule886
reactome:SmallMolecule150,abstraction:reactsWith,reactome:SmallMolecule19
reactome:SmallMolecule1034,abstraction:reactsWith,reactome:SmallMolecule4290
reactome:SmallMolecule1306,abstraction:reactsWith,reactome:SmallMolecule306
reactome:SmallMolecule19,abstraction:reactsWith,reactome:SmallMolecule643
reactome:SmallMolecule1319,abstraction:reactsWith,reactome:SmallMolecule48
reactome:SmallMolecule2606,abstraction:reactsWith,reactome:SmallMolecule2607
reactome:SmallMolecule124,abstraction:reactsWith,reactome:SmallMolecule5021
reactome:SmallMolecule2355,abstraction:reactsWith,reactome:SmallMolecule4328
reactome:SmallMolecule1225,abstraction:reactsWith,reactome:SmallMolecule6
reactome:SmallMolecule11,abstraction:reactsWith,reactome:SmallMolecule1229
reactome:SmallMolecule1059,abstraction:reactsWith,reactome:SmallMolecule3628
reactome:SmallMolecule11,abstraction:reactsWith,reactome:SmallMolecule4000
reactome:SmallMolecule4310,abstraction:reactsWith,reactome:SmallMolecule4311
reactome:SmallMolecule3984,abstraction:reactsWith,reactome:SmallMolecule527
reactome:SmallMolecule22,abstraction:reactsWith,reactome:SmallMolecule4184
reactome:SmallMolecule1611,abstraction:reactsWith,reactome:SmallMolecule2486
reactome:SmallMolecule29,abstraction:reactsWith,reactome:SmallMolecule4373
reactome:SmallMolecule11,abstraction:reactsWith,reactome:SmallMolecule1329
reactome:SmallMolecule384,abstraction:reactsWith,reactome:SmallMolecule6
reactome:SmallMolecule1613,abstraction:reactsWith,reactome:SmallMolecule1880
reactome:SmallMolecule4560,abstraction:reactsWith,reactome:SmallMolecule6
reactome:SmallMolecule2561,abstraction:reactsWith,reactome:SmallMolecule6
reactome:SmallMolecule11,abstraction:reactsWith,reactome:SmallMolecule3711
reactome:SmallMolecule1059,abstraction:reactsWith,reactome:SmallMolecule2781
reactome:SmallMolecule11,abstraction:reactsWith,reactome:SmallMolecule25
reactome:SmallMolecule30,abstraction:reactsWith,reactome:SmallMolecule4051
reactome:SmallMolecule19,abstraction:reactsWith,reactome:SmallMolecule3248
reactome:SmallMolecule1626,abstraction:reactsWith,reactome:SmallMolecule4591
reactome:SmallMolecule728,abstraction:reactsWith,reactome:SmallMolecule870
reactome:SmallMolecule121,abstraction:reactsWith,reactome:SmallMolecule122
reactome:SmallMolecule1813,abstraction:reactsWith,reactome:SmallMolecule6
reactome:SmallMolecule2839,abstraction:reactsWith,reactome:SmallMolecule2857
reactome:SmallMolecule18,abstraction:reactsWith,reactome:SmallMolecule2585
reactome:SmallMolecule11,abstraction:reactsWith,reactome:SmallMolecule5287
reactome:SmallMolecule22,abstraction:reactsWith,reactome:SmallMolecule5279
reactome:SmallMolecule1216,abstraction:reactsWith,reactome:SmallMolecule6
reactome:SmallMolecule31,abstraction:reactsWith,reactome:SmallMolecule3617
reactome:SmallMolecule1077,abstraction:reactsWith,reactome:SmallMolecule412
reactome:SmallMolecule18,abstraction:reactsWith,reactome:SmallMolecule3197
reactome:SmallMolecule2538,abstraction:reactsWith,reactome:SmallMolecule6
reactome:SmallMolecule3127,abstraction:reactsWith,reactome:SmallMolecule6
reactome:SmallMolecule2558,abstraction:reactsWith,reactome:SmallMolecule6
reactome:SmallMolecule1622,abstraction:reactsWith,reactome:SmallMolecule2505
reactome:SmallMolecule2640,abstraction:reactsWith,reactome:SmallMolecule2645
reactome:SmallMolecule1514,abstraction:reactsWith,reactome:SmallMolecule360
reactome:SmallMolecule2675,abstraction:reactsWith,reactome:SmallMolecule2764
reactome:SmallMolecule1603,abstraction:reactsWith,reactome:SmallMolecule1604
reactome:SmallMolecule1348,abstraction:reactsWith,reactome:SmallMolecule18
reactome:SmallMolecule360,abstraction:reactsWith,reactome:SmallMolecule4604
reactome:SmallMolecule18,abstraction:reactsWith,reactome:SmallMolecule3278
reactome:SmallMolecule2687,abstraction:reactsWith,reactome:SmallMolecule48
reactome:SmallMolecule6,abstraction:reactsWith,reactome:SmallMolecule657
reactome:SmallMolecule1042,abstraction:reactsWith,reactome:SmallMolecule29
reactome:SmallMolecule1605,abstraction:reactsWith,reactome:SmallMolecule3072
reactome:SmallMolecule100,abstraction:reactsWith,reactome:SmallMolecule102
reactome:SmallMolecule306,abstraction:reactsWith,reactome:SmallMolecule410
reactome:SmallMolecule18,abstraction:reactsWith,reactome:SmallMolecule3275
reactome:SmallMolecule2755,abstraction:reactsWith,reactome:SmallMolecule530
reactome:SmallMolecule44,abstraction:reactsWith,reactome:SmallMolecule6
reactome:SmallMolecule11,abstraction:reactsWith,reactome:SmallMolecule15
reactome:SmallMolecule1397,abstraction:reactsWith,reactome:SmallMolecule30
reactome:SmallMolecule29,abstraction:reactsWith,reactome:SmallMolecule3987
reactome:SmallMolecule19,abstraction:reactsWith,reactome:SmallMolecule3254
reactome:SmallMolecule1362,abstraction:reactsWith,reactome:SmallMolecule306
reactome:SmallMolecule34,abstraction:reactsWith,reactome:SmallMolecule617
reactome:SmallMolecule11,abstraction:reactsWith,reactome:SmallMolecule1406
reactome:SmallMolecule1701,abstraction:reactsWith,reactome:SmallMolecule4337
reactome:SmallMolecule18,abstraction:reactsWith,reactome:SmallMolecule931
