Source,Interaction,Target
reactome:SmallMolecule1880,abstraction:UsedToProduce,reactome:SmallMolecule2973
reactome:SmallMolecule2547,abstraction:UsedToProduce,reactome:SmallMolecule14
reactome:SmallMolecule2741,abstraction:UsedToProduce,reactome:SmallMolecule2761
reactome:SmallMolecule2232,abstraction:UsedToProduce,reactome:SmallMolecule528
reactome:SmallMolecule17,abstraction:UsedToProduce,reactome:SmallMolecule2688
reactome:SmallMolecule2419,abstraction:UsedToProduce,reactome:SmallMolecule403
reactome:SmallMolecule4193,abstraction:UsedToProduce,reactome:SmallMolecule4194
reactome:SmallMolecule2380,abstraction:UsedToProduce,reactome:SmallMolecule2381
reactome:SmallMolecule3048,abstraction:UsedToProduce,reactome:SmallMolecule3050
reactome:SmallMolecule4177,abstraction:UsedToProduce,reactome:SmallMolecule82
reactome:SmallMolecule3188,abstraction:UsedToProduce,reactome:SmallMolecule18
reactome:SmallMolecule42,abstraction:UsedToProduce,reactome:SmallMolecule4094
reactome:SmallMolecule4623,abstraction:UsedToProduce,reactome:SmallMolecule4624
reactome:SmallMolecule18,abstraction:UsedToProduce,reactome:SmallMolecule14
reactome:SmallMolecule4618,abstraction:UsedToProduce,reactome:SmallMolecule1613
reactome:SmallMolecule11,abstraction:UsedToProduce,reactome:SmallMolecule2927
reactome:SmallMolecule6,abstraction:UsedToProduce,reactome:SmallMolecule3846
reactome:SmallMolecule578,abstraction:UsedToProduce,reactome:SmallMolecule4132
reactome:SmallMolecule2817,abstraction:UsedToProduce,reactome:SmallMolecule915
reactome:SmallMolecule3386,abstraction:UsedToProduce,reactome:SmallMolecule3527
reactome:SmallMolecule4135,abstraction:UsedToProduce,reactome:SmallMolecule3176
reactome:SmallMolecule29,abstraction:UsedToProduce,reactome:SmallMolecule608
reactome:SmallMolecule3067,abstraction:UsedToProduce,reactome:SmallMolecule3068
reactome:SmallMolecule931,abstraction:UsedToProduce,reactome:SmallMolecule6
reactome:SmallMolecule16,abstraction:UsedToProduce,reactome:SmallMolecule2379
reactome:SmallMolecule30,abstraction:UsedToProduce,reactome:SmallMolecule1099
reactome:SmallMolecule18,abstraction:UsedToProduce,reactome:SmallMolecule2429
reactome:SmallMolecule81,abstraction:UsedToProduce,reactome:SmallMolecule1136
reactome:SmallMolecule11,abstraction:UsedToProduce,reactome:SmallMolecule23
reactome:SmallMolecule4344,abstraction:UsedToProduce,reactome:SmallMolecule2722
