Source,Interaction,Target
reactome:Pathway52,abstraction:IsAChildOf,reactome:Pathway48
reactome:Pathway133,abstraction:IsAChildOf,reactome:Pathway132
reactome:Pathway1378,abstraction:IsAChildOf,reactome:Pathway1375
reactome:Pathway806,abstraction:IsAChildOf,reactome:Pathway805
reactome:Pathway1473,abstraction:IsAChildOf,reactome:Pathway1472
reactome:Pathway1662,abstraction:IsAChildOf,reactome:Pathway960
reactome:Pathway1978,abstraction:IsAChildOf,reactome:Pathway1977
reactome:Pathway1212,abstraction:IsAChildOf,reactome:Pathway1211
reactome:Pathway1057,abstraction:IsAChildOf,reactome:Pathway1056
reactome:Pathway2620,abstraction:IsAChildOf,reactome:Pathway2619
reactome:Pathway1882,abstraction:IsAChildOf,reactome:Pathway1881
reactome:Pathway2239,abstraction:IsAChildOf,reactome:Pathway2237
reactome:Pathway2704,abstraction:IsAChildOf,reactome:Pathway2703
reactome:Pathway972,abstraction:IsAChildOf,reactome:Pathway971
reactome:Pathway1857,abstraction:IsAChildOf,reactome:Pathway1846
reactome:Pathway487,abstraction:IsAChildOf,reactome:Pathway486
reactome:Pathway1244,abstraction:IsAChildOf,reactome:Pathway1211
reactome:Pathway2362,abstraction:IsAChildOf,reactome:Pathway2292
reactome:Pathway2599,abstraction:IsAChildOf,reactome:Pathway2591
reactome:Pathway1724,abstraction:IsAChildOf,reactome:Pathway1723
reactome:Pathway359,abstraction:IsAChildOf,reactome:Pathway329
reactome:Pathway908,abstraction:IsAChildOf,reactome:Pathway907
reactome:Pathway287,abstraction:IsAChildOf,reactome:Pathway273
reactome:Pathway756,abstraction:IsAChildOf,reactome:Pathway747
reactome:Pathway1275,abstraction:IsAChildOf,reactome:Pathway1211
reactome:Pathway375,abstraction:IsAChildOf,reactome:Pathway373
reactome:Pathway2730,abstraction:IsAChildOf,reactome:Pathway2715
reactome:Pathway1562,abstraction:IsAChildOf,reactome:Pathway1545
reactome:Pathway1646,abstraction:IsAChildOf,reactome:Pathway1643
reactome:Pathway2697,abstraction:IsAChildOf,reactome:Pathway2693
reactome:Pathway669,abstraction:IsAChildOf,reactome:Pathway667
reactome:Pathway68,abstraction:IsAChildOf,reactome:Pathway58
reactome:Pathway2453,abstraction:IsAChildOf,reactome:Pathway2442
reactome:Pathway239,abstraction:IsAChildOf,reactome:Pathway238
reactome:Pathway1414,abstraction:IsAChildOf,reactome:Pathway1408
reactome:Pathway325,abstraction:IsAChildOf,reactome:Pathway304
reactome:Pathway2729,abstraction:IsAChildOf,reactome:Pathway2719
reactome:Pathway2633,abstraction:IsAChildOf,reactome:Pathway2624
reactome:Pathway750,abstraction:IsAChildOf,reactome:Pathway748
