pathway,nbCompo
reactome:Pathway1716,5
reactome:Pathway1607,5
reactome:Pathway2250,41
reactome:Pathway2274,2
reactome:Pathway79,334
reactome:Pathway641,1
reactome:Pathway2719,10
reactome:Pathway1162,31
reactome:Pathway31,3
reactome:Pathway750,1
reactome:Pathway992,8
reactome:Pathway883,2
reactome:Pathway55,2
reactome:Pathway1186,4
reactome:Pathway338,2
reactome:Pathway1606,9
reactome:Pathway1824,1
reactome:Pathway1715,151
reactome:Pathway2299,2
reactome:Pathway2251,35
reactome:Pathway1052,2
reactome:Pathway54,3
reactome:Pathway204,2
reactome:Pathway579,5
reactome:Pathway555,1
reactome:Pathway422,2
reactome:Pathway664,2
reactome:Pathway1912,30
reactome:Pathway2470,12
reactome:Pathway2252,4
reactome:Pathway2010,12
reactome:Pathway118,12
reactome:Pathway421,7
reactome:Pathway1031,20
reactome:Pathway530,3
reactome:Pathway1491,1
reactome:Pathway772,2
reactome:Pathway227,2
reactome:Pathway336,1
reactome:Pathway1297,9
reactome:Pathway312,3
reactome:Pathway1055,16
reactome:Pathway1935,4
reactome:Pathway1826,10
reactome:Pathway2011,10
reactome:Pathway2144,2
reactome:Pathway2362,3
reactome:Pathway2253,2
reactome:Pathway2580,5
reactome:Pathway2168,1
reactome:Pathway2035,6
reactome:Pathway2277,6
reactome:Pathway2120,30
reactome:Pathway1163,5
reactome:Pathway32,1
reactome:Pathway202,5
reactome:Pathway662,11
reactome:Pathway795,1
reactome:Pathway1078,7
reactome:Pathway1805,8
reactome:Pathway2121,5
reactome:Pathway2012,6
reactome:Pathway2278,3
reactome:Pathway2036,40
reactome:Pathway2230,1
reactome:Pathway35,12
reactome:Pathway685,1
reactome:Pathway770,1
reactome:Pathway661,1
reactome:Pathway249,3
reactome:Pathway1057,2
reactome:Pathway467,1
reactome:Pathway1142,9
reactome:Pathway2037,35
reactome:Pathway1913,1
reactome:Pathway1804,10
reactome:Pathway58,16
reactome:Pathway333,1
reactome:Pathway660,16
reactome:Pathway1056,4
reactome:Pathway466,16
reactome:Pathway1032,2
reactome:Pathway599,9
reactome:Pathway357,1
reactome:Pathway1916,14
reactome:Pathway2038,21
reactome:Pathway2147,5
reactome:Pathway2232,15
reactome:Pathway2583,1
reactome:Pathway1807,5
reactome:Pathway6,9
reactome:Pathway792,7
reactome:Pathway114,3
reactome:Pathway683,3
reactome:Pathway138,8
reactome:Pathway1144,2
reactome:Pathway1495,49
reactome:Pathway1035,2
reactome:Pathway247,5
reactome:Pathway1011,1
reactome:Pathway1915,15
reactome:Pathway2257,19
reactome:Pathway2560,2
reactome:Pathway2124,2
reactome:Pathway2233,3
reactome:Pathway909,10
reactome:Pathway2366,5
reactome:Pathway2693,7
reactome:Pathway791,9
reactome:Pathway573,3
reactome:Pathway12,3
reactome:Pathway1494,138
reactome:Pathway1143,8
reactome:Pathway379,1
reactome:Pathway1756,1
reactome:Pathway1514,1
reactome:Pathway1623,9
reactome:Pathway1865,6
reactome:Pathway1998,4
reactome:Pathway2711,2
reactome:Pathway2181,2
reactome:Pathway2626,6
reactome:Pathway2602,1
reactome:Pathway136,1
reactome:Pathway378,9
reactome:Pathway269,3
reactome:Pathway1537,6
reactome:Pathway907,52
reactome:Pathway2627,2
reactome:Pathway571,10
reactome:Pathway1092,4
reactome:Pathway244,2
reactome:Pathway486,1
reactome:Pathway377,17
reactome:Pathway462,1
reactome:Pathway2409,20
reactome:Pathway94,1
reactome:Pathway1864,16
reactome:Pathway220,5
reactome:Pathway135,30
reactome:Pathway1734,1
reactome:Pathway1758,1
reactome:Pathway1625,4
reactome:Pathway1649,12
reactome:Pathway1843,8
reactome:Pathway1976,5
reactome:Pathway2074,2
reactome:Pathway2292,101
reactome:Pathway2737,3
reactome:Pathway461,4
reactome:Pathway570,42
reactome:Pathway376,33
reactome:Pathway97,2
reactome:Pathway594,1
reactome:Pathway485,16
reactome:Pathway1952,3
reactome:Pathway1648,13
reactome:Pathway1757,9
reactome:Pathway1539,4
reactome:Pathway2099,14
reactome:Pathway1866,1
reactome:Pathway2184,31
reactome:Pathway2293,5
reactome:Pathway2160,19
reactome:Pathway2605,2
reactome:Pathway593,5
reactome:Pathway484,17
reactome:Pathway242,1
reactome:Pathway1842,9
reactome:Pathway96,15
reactome:Pathway1600,2
reactome:Pathway1736,11
reactome:Pathway1869,2
reactome:Pathway1603,2
reactome:Pathway1845,6
reactome:Pathway819,8
reactome:Pathway2161,5
reactome:Pathway2185,11
reactome:Pathway2270,3
reactome:Pathway350,6
reactome:Pathway2715,15
reactome:Pathway483,13
reactome:Pathway398,1
reactome:Pathway75,3
reactome:Pathway1097,20
reactome:Pathway1182,11
reactome:Pathway132,1
reactome:Pathway1711,2
reactome:Pathway927,2
reactome:Pathway818,74
reactome:Pathway2077,10
reactome:Pathway709,3
reactome:Pathway1977,3
reactome:Pathway1408,9
reactome:Pathway1953,1
reactome:Pathway2162,1
reactome:Pathway2271,1
reactome:Pathway2053,2
reactome:Pathway373,2
reactome:Pathway1072,13
reactome:Pathway2716,2
reactome:Pathway1820,2
reactome:Pathway131,122
reactome:Pathway2490,9
reactome:Pathway1714,413
reactome:Pathway1738,2
reactome:Pathway1956,3
reactome:Pathway2078,9
reactome:Pathway2381,8
reactome:Pathway1932,1
reactome:Pathway481,22
reactome:Pathway2608,8
reactome:Pathway53,4
reactome:Pathway396,1
reactome:Pathway287,2
reactome:Pathway1160,1
reactome:Pathway925,1
reactome:Pathway707,5
reactome:Pathway1846,12
reactome:Pathway1931,4
reactome:Pathway2140,1
reactome:Pathway2031,1
reactome:Pathway2164,2
reactome:Pathway262,1
reactome:Pathway395,13
reactome:Pathway480,17
reactome:Pathway2609,1
reactome:Pathway1098,1
reactome:Pathway1009,1
reactome:Pathway1118,11
reactome:Pathway2424,2
reactome:Pathway273,17
reactome:Pathway491,16
reactome:Pathway1881,61
reactome:Pathway1663,11
reactome:Pathway1578,2
reactome:Pathway1445,4
reactome:Pathway1687,7
reactome:Pathway1990,3
reactome:Pathway608,3
reactome:Pathway717,4
reactome:Pathway1008,10
reactome:Pathway296,2
reactome:Pathway2316,1
reactome:Pathway381,2
reactome:Pathway2558,4
reactome:Pathway2449,3
reactome:Pathway1662,12
reactome:Pathway1795,1
reactome:Pathway1444,12
reactome:Pathway802,1
reactome:Pathway716,16
reactome:Pathway958,1
reactome:Pathway849,1
reactome:Pathway2402,2
reactome:Pathway2644,3
reactome:Pathway2620,2
reactome:Pathway1883,24
reactome:Pathway1774,1
reactome:Pathway162,3
reactome:Pathway1532,2
reactome:Pathway910,2
reactome:Pathway1798,5
reactome:Pathway2208,2
reactome:Pathway1119,1
reactome:Pathway2091,22
reactome:Pathway2318,40
reactome:Pathway2669,12
reactome:Pathway1640,1
reactome:Pathway1664,9
reactome:Pathway1773,6
reactome:Pathway1882,29
reactome:Pathway715,17
reactome:Pathway292,2
reactome:Pathway2731,9
reactome:Pathway2319,38
reactome:Pathway2646,1
reactome:Pathway1643,4
reactome:Pathway956,1
reactome:Pathway1557,4
reactome:Pathway519,10
reactome:Pathway628,1
reactome:Pathway291,12
reactome:Pathway2732,4
reactome:Pathway2093,4
reactome:Pathway2538,2
reactome:Pathway2514,4
reactome:Pathway1884,6
reactome:Pathway1642,5
reactome:Pathway1751,4
reactome:Pathway713,1
reactome:Pathway1860,2
reactome:Pathway604,3
reactome:Pathway737,4
reactome:Pathway409,1
reactome:Pathway1318,12
reactome:Pathway2648,3
reactome:Pathway2515,2
reactome:Pathway2624,10
reactome:Pathway1996,1
reactome:Pathway930,5
reactome:Pathway845,3
reactome:Pathway1512,4
reactome:Pathway1777,2
reactome:Pathway1559,1
reactome:Pathway1317,16
reactome:Pathway2180,69
reactome:Pathway2625,7
reactome:Pathway1995,14
reactome:Pathway820,3
reactome:Pathway977,4
reactome:Pathway844,10
reactome:Pathway626,1
reactome:Pathway735,6
reactome:Pathway759,3
reactome:Pathway2137,1
reactome:Pathway2222,3
reactome:Pathway2682,63
reactome:Pathway2379,10
