pathway,nbEntities
reactome:Pathway1849,13
reactome:Pathway1716,88
reactome:Pathway1801,12
reactome:Pathway2298,10
reactome:Pathway2383,34
reactome:Pathway2165,10
reactome:Pathway1934,32
reactome:Pathway2250,392
reactome:Pathway2032,19
reactome:Pathway79,4253
reactome:Pathway641,8
reactome:Pathway1053,14
reactome:Pathway31,35
reactome:Pathway1271,3
reactome:Pathway205,58
reactome:Pathway992,16
reactome:Pathway689,12
reactome:Pathway774,27
reactome:Pathway556,32
reactome:Pathway1186,10
reactome:Pathway423,21
reactome:Pathway338,43
reactome:Pathway1848,20
reactome:Pathway2033,10
reactome:Pathway1933,17
reactome:Pathway2166,25
reactome:Pathway2384,26
reactome:Pathway1715,1149
reactome:Pathway2299,67
reactome:Pathway1800,7
reactome:Pathway2251,297
reactome:Pathway119,21
reactome:Pathway1052,16
reactome:Pathway1185,4
reactome:Pathway991,39
reactome:Pathway640,7
reactome:Pathway78,21
reactome:Pathway204,154
reactome:Pathway1270,3
reactome:Pathway773,7
reactome:Pathway337,11
reactome:Pathway688,7
reactome:Pathway555,87
reactome:Pathway30,5
reactome:Pathway422,48
reactome:Pathway1803,10
reactome:Pathway1936,12
reactome:Pathway2034,32
reactome:Pathway1718,9
reactome:Pathway2167,7
reactome:Pathway2470,219
reactome:Pathway2385,7
reactome:Pathway2252,44
reactome:Pathway118,88
reactome:Pathway203,67
reactome:Pathway1273,3
reactome:Pathway421,81
reactome:Pathway1140,2
reactome:Pathway990,22
reactome:Pathway1491,6
reactome:Pathway772,36
reactome:Pathway33,15
reactome:Pathway336,49
reactome:Pathway469,9
reactome:Pathway1188,1
reactome:Pathway687,22
reactome:Pathway554,20
reactome:Pathway1055,70
reactome:Pathway1935,30
reactome:Pathway2471,39
reactome:Pathway2253,23
reactome:Pathway1802,14
reactome:Pathway2168,41
reactome:Pathway2035,60
reactome:Pathway1717,7
reactome:Pathway2120,571
reactome:Pathway2386,10
reactome:Pathway420,53
reactome:Pathway1490,21
reactome:Pathway32,28
reactome:Pathway553,13
reactome:Pathway1272,3
reactome:Pathway771,11
reactome:Pathway202,240
reactome:Pathway117,32
reactome:Pathway468,7
reactome:Pathway1187,2
reactome:Pathway1054,2
reactome:Pathway686,7
reactome:Pathway335,29
reactome:Pathway1805,45
reactome:Pathway1938,6
reactome:Pathway2169,28
reactome:Pathway2254,8
reactome:Pathway2121,132
reactome:Pathway2472,31
reactome:Pathway2690,39
reactome:Pathway2036,409
reactome:Pathway2387,16
reactome:Pathway35,139
reactome:Pathway685,9
reactome:Pathway770,26
reactome:Pathway552,15
reactome:Pathway8,21
reactome:Pathway1360,4
reactome:Pathway1493,8
reactome:Pathway116,4
reactome:Pathway249,36
reactome:Pathway1057,2
reactome:Pathway1275,4
reactome:Pathway201,9
reactome:Pathway334,11
reactome:Pathway467,26
reactome:Pathway1142,5
reactome:Pathway1937,6
reactome:Pathway2037,395
reactome:Pathway1804,59
reactome:Pathway2122,57
reactome:Pathway2691,5
reactome:Pathway2340,11
reactome:Pathway2255,13
reactome:Pathway2388,36
reactome:Pathway1719,12
reactome:Pathway2473,13
reactome:Pathway1141,2
reactome:Pathway115,23
reactome:Pathway333,58
reactome:Pathway684,7
reactome:Pathway551,13
reactome:Pathway1492,6
reactome:Pathway34,9
reactome:Pathway9,32
reactome:Pathway1056,22
reactome:Pathway248,8
reactome:Pathway1189,3
reactome:Pathway466,152
reactome:Pathway599,77
reactome:Pathway200,19
reactome:Pathway1274,4
reactome:Pathway2038,169
reactome:Pathway2692,5
reactome:Pathway2256,21
reactome:Pathway2123,30
reactome:Pathway2341,10
reactome:Pathway2474,55
reactome:Pathway2389,34
reactome:Pathway1807,26
reactome:Pathway6,113
reactome:Pathway37,14
reactome:Pathway332,10
reactome:Pathway114,51
reactome:Pathway465,13
reactome:Pathway683,15
reactome:Pathway550,23
reactome:Pathway1580,20
reactome:Pathway1277,3
reactome:Pathway1362,3
reactome:Pathway1144,4
reactome:Pathway1495,273
reactome:Pathway247,41
reactome:Pathway598,41
reactome:Pathway1011,17
reactome:Pathway1059,1
reactome:Pathway1806,8
reactome:Pathway2257,107
reactome:Pathway2039,15
reactome:Pathway2560,122
reactome:Pathway2124,56
reactome:Pathway909,185
reactome:Pathway2475,29
reactome:Pathway2342,7
reactome:Pathway2693,71
reactome:Pathway1939,11
reactome:Pathway36,49
reactome:Pathway7,28
reactome:Pathway597,34
reactome:Pathway464,9
reactome:Pathway682,33
reactome:Pathway1361,3
reactome:Pathway331,49
reactome:Pathway1494,1535
reactome:Pathway1276,3
reactome:Pathway1143,5
reactome:Pathway1010,8
reactome:Pathway113,14
reactome:Pathway246,20
reactome:Pathway379,63
reactome:Pathway1058,1
reactome:Pathway1756,30
reactome:Pathway1623,192
reactome:Pathway1405,3
reactome:Pathway1538,15
reactome:Pathway908,26
reactome:Pathway1889,9
reactome:Pathway2290,5
reactome:Pathway2072,32
reactome:Pathway681,28
reactome:Pathway2517,4
reactome:Pathway1093,2
reactome:Pathway2735,15
reactome:Pathway2602,63
reactome:Pathway596,23
reactome:Pathway245,12
reactome:Pathway330,35
reactome:Pathway463,7
reactome:Pathway1841,12
reactome:Pathway1974,13
reactome:Pathway71,3
reactome:Pathway378,184
reactome:Pathway112,21
reactome:Pathway1404,2
reactome:Pathway1755,14
reactome:Pathway1537,39
reactome:Pathway1319,2
reactome:Pathway907,718
reactome:Pathway1888,12
reactome:Pathway2073,8
reactome:Pathway2291,45
reactome:Pathway1092,7
reactome:Pathway680,9
reactome:Pathway2736,7
reactome:Pathway2603,8
reactome:Pathway244,28
reactome:Pathway159,18
reactome:Pathway377,319
reactome:Pathway595,73
reactome:Pathway462,20
reactome:Pathway2518,61
reactome:Pathway1973,13
reactome:Pathway111,26
reactome:Pathway1840,56
reactome:Pathway1622,104
reactome:Pathway70,3
reactome:Pathway906,44
reactome:Pathway1758,11
reactome:Pathway1625,109
reactome:Pathway1407,3
reactome:Pathway1843,38
reactome:Pathway1976,110
reactome:Pathway2074,13
reactome:Pathway2292,1804
reactome:Pathway2737,48
reactome:Pathway461,35
reactome:Pathway2604,93
reactome:Pathway1180,5
reactome:Pathway376,548
reactome:Pathway158,17
reactome:Pathway2519,54
reactome:Pathway243,21
reactome:Pathway594,103
reactome:Pathway1095,2
reactome:Pathway110,13
reactome:Pathway73,3
reactome:Pathway1710,25
reactome:Pathway1624,28
reactome:Pathway905,75
reactome:Pathway1757,72
reactome:Pathway1406,4
reactome:Pathway1539,26
reactome:Pathway1975,5
reactome:Pathway2293,123
reactome:Pathway2075,9
reactome:Pathway2160,718
reactome:Pathway2605,61
reactome:Pathway593,177
reactome:Pathway460,19
reactome:Pathway1094,2
reactome:Pathway242,31
reactome:Pathway375,51
reactome:Pathway2738,21
reactome:Pathway72,3
reactome:Pathway1842,42
reactome:Pathway157,17
reactome:Pathway1712,7
reactome:Pathway904,72
reactome:Pathway1845,33
reactome:Pathway819,141
reactome:Pathway1978,19
reactome:Pathway1627,12
reactome:Pathway1409,3
reactome:Pathway2294,21
reactome:Pathway2161,175
reactome:Pathway2076,9
reactome:Pathway592,26
reactome:Pathway241,18
reactome:Pathway75,73
reactome:Pathway1097,95
reactome:Pathway289,5
reactome:Pathway2739,18
reactome:Pathway374,60
reactome:Pathway1182,18
reactome:Pathway2606,32
reactome:Pathway1930,28
reactome:Pathway156,20
reactome:Pathway1711,19
reactome:Pathway903,18
reactome:Pathway2380,91
reactome:Pathway1626,22
reactome:Pathway818,1405
reactome:Pathway2077,94
reactome:Pathway1977,52
reactome:Pathway1759,8
reactome:Pathway1408,22
