pathway,NbDirectPathwayStepProcess
http://www.reactome.org/biopax/91/48887#Pathway1849,7
http://www.reactome.org/biopax/91/48887#Pathway1716,13
http://www.reactome.org/biopax/91/48887#Pathway1801,6
http://www.reactome.org/biopax/91/48887#Pathway2298,6
http://www.reactome.org/biopax/91/48887#Pathway2383,31
http://www.reactome.org/biopax/91/48887#Pathway2165,5
http://www.reactome.org/biopax/91/48887#Pathway1934,20
http://www.reactome.org/biopax/91/48887#Pathway2032,11
http://www.reactome.org/biopax/91/48887#Pathway641,1
http://www.reactome.org/biopax/91/48887#Pathway1053,10
http://www.reactome.org/biopax/91/48887#Pathway1271,2
http://www.reactome.org/biopax/91/48887#Pathway205,30
http://www.reactome.org/biopax/91/48887#Pathway689,10
http://www.reactome.org/biopax/91/48887#Pathway774,12
http://www.reactome.org/biopax/91/48887#Pathway556,19
http://www.reactome.org/biopax/91/48887#Pathway423,16
http://www.reactome.org/biopax/91/48887#Pathway1848,16
http://www.reactome.org/biopax/91/48887#Pathway2033,7
http://www.reactome.org/biopax/91/48887#Pathway1933,10
http://www.reactome.org/biopax/91/48887#Pathway2166,17
http://www.reactome.org/biopax/91/48887#Pathway2384,23
http://www.reactome.org/biopax/91/48887#Pathway2299,24
http://www.reactome.org/biopax/91/48887#Pathway1800,4
http://www.reactome.org/biopax/91/48887#Pathway119,24
http://www.reactome.org/biopax/91/48887#Pathway1185,1
http://www.reactome.org/biopax/91/48887#Pathway991,26
http://www.reactome.org/biopax/91/48887#Pathway640,4
http://www.reactome.org/biopax/91/48887#Pathway78,8
http://www.reactome.org/biopax/91/48887#Pathway1270,2
http://www.reactome.org/biopax/91/48887#Pathway773,4
http://www.reactome.org/biopax/91/48887#Pathway337,6
http://www.reactome.org/biopax/91/48887#Pathway688,3
http://www.reactome.org/biopax/91/48887#Pathway555,36
http://www.reactome.org/biopax/91/48887#Pathway30,3
http://www.reactome.org/biopax/91/48887#Pathway422,7
http://www.reactome.org/biopax/91/48887#Pathway1803,6
http://www.reactome.org/biopax/91/48887#Pathway1936,5
http://www.reactome.org/biopax/91/48887#Pathway2034,23
http://www.reactome.org/biopax/91/48887#Pathway1718,4
http://www.reactome.org/biopax/91/48887#Pathway2167,4
http://www.reactome.org/biopax/91/48887#Pathway2385,6
http://www.reactome.org/biopax/91/48887#Pathway203,41
http://www.reactome.org/biopax/91/48887#Pathway1273,2
http://www.reactome.org/biopax/91/48887#Pathway1140,1
http://www.reactome.org/biopax/91/48887#Pathway990,14
http://www.reactome.org/biopax/91/48887#Pathway772,2
http://www.reactome.org/biopax/91/48887#Pathway33,7
http://www.reactome.org/biopax/91/48887#Pathway336,23
http://www.reactome.org/biopax/91/48887#Pathway469,5
http://www.reactome.org/biopax/91/48887#Pathway1188,1
http://www.reactome.org/biopax/91/48887#Pathway687,13
