Pathway	IC
reactome:Pathway170	5.02934800302841
reactome:Pathway439	6.533425399804684
reactome:Pathway2530	6.533425399804684
reactome:Pathway661	7.919719760924575
reactome:Pathway505	7.226572580364629
reactome:Pathway2147	6.310281848490474
reactome:Pathway2252	7.226572580364629
reactome:Pathway214	7.226572580364629
reactome:Pathway2259	6.310281848490474
reactome:Pathway2270	7.226572580364629
reactome:Pathway1460	5.8402782192447384
reactome:Pathway2390	7.226572580364629
reactome:Pathway152	5.973809611869261
reactome:Pathway138	5.8402782192447384
reactome:Pathway2379	7.226572580364629
reactome:Pathway1760	6.533425399804684
reactome:Pathway1523	7.226572580364629
reactome:Pathway291	6.533425399804684
reactome:Pathway1186	6.533425399804684
reactome:Pathway992	5.8402782192447384
reactome:Pathway2292	5.0865064168683585
reactome:Pathway1163	6.310281848490474
reactome:Pathway715	7.919719760924575
reactome:Pathway1960	6.533425399804684
reactome:Pathway2501	6.310281848490474
reactome:Pathway2160	5.7224951835883555
reactome:Pathway2012	6.310281848490474
reactome:Pathway747	5.973809611869261
reactome:Pathway2237	6.533425399804684
reactome:Pathway2665	6.821107472256465
reactome:Pathway1162	6.821107472256465
reactome:Pathway1333	4.485732556439428
reactome:Pathway376	6.821107472256465
reactome:Pathway2120	5.8402782192447384
reactome:Pathway2101	6.821107472256465
reactome:Pathway1766	6.533425399804684
reactome:Pathway834	5.973809611869261
reactome:Pathway1649	5.434813111136574
reactome:Pathway415	5.8402782192447384
reactome:Pathway950	6.533425399804684
reactome:Pathway1437	6.821107472256465
reactome:Pathway1817	6.821107472256465
reactome:Pathway1715	5.280662431309316
reactome:Pathway1375	5.211669559822364
reactome:Pathway1918	6.821107472256465
reactome:Pathway1195	5.211669559822364
reactome:Pathway2725	7.226572580364629
reactome:Pathway2613	7.919719760924575
reactome:Pathway519	6.310281848490474
reactome:Pathway1283	5.521824488126204
reactome:Pathway135	6.127960291696519
reactome:Pathway2024	6.533425399804684
reactome:Pathway2442	6.310281848490474
reactome:Pathway1837	6.533425399804684
reactome:Pathway2591	5.7224951835883555
reactome:Pathway483	6.533425399804684
reactome:Pathway2624	6.821107472256465
