pathway	NbDirectPathwayStepProcess
reactome:Pathway1849	7
reactome:Pathway1716	13
reactome:Pathway1801	6
reactome:Pathway2298	6
reactome:Pathway2383	31
reactome:Pathway2165	5
reactome:Pathway1934	20
reactome:Pathway2032	11
reactome:Pathway641	1
reactome:Pathway1053	10
reactome:Pathway1271	2
reactome:Pathway205	30
reactome:Pathway689	10
reactome:Pathway774	12
reactome:Pathway556	19
reactome:Pathway423	16
reactome:Pathway1848	16
reactome:Pathway2033	7
reactome:Pathway1933	10
reactome:Pathway2166	17
reactome:Pathway2384	23
reactome:Pathway2299	24
reactome:Pathway1800	4
reactome:Pathway119	24
reactome:Pathway1185	1
reactome:Pathway991	26
reactome:Pathway640	4
reactome:Pathway78	8
reactome:Pathway1270	2
reactome:Pathway773	4
reactome:Pathway337	6
reactome:Pathway688	3
reactome:Pathway555	36
reactome:Pathway30	3
reactome:Pathway422	7
reactome:Pathway1803	6
reactome:Pathway1936	5
reactome:Pathway2034	23
reactome:Pathway1718	4
reactome:Pathway2167	4
reactome:Pathway2385	6
reactome:Pathway203	41
reactome:Pathway1273	2
reactome:Pathway1140	1
reactome:Pathway990	14
reactome:Pathway772	2
reactome:Pathway33	7
reactome:Pathway336	23
reactome:Pathway469	5
reactome:Pathway1188	1
reactome:Pathway687	13
reactome:Pathway554	10
reactome:Pathway2471	31
reactome:Pathway2253	5
reactome:Pathway1802	8
reactome:Pathway2168	9
reactome:Pathway2035	10
reactome:Pathway1717	4
reactome:Pathway2386	9
reactome:Pathway420	38
reactome:Pathway1490	14
reactome:Pathway32	2
reactome:Pathway553	4
reactome:Pathway1272	2
reactome:Pathway771	6
reactome:Pathway117	25
reactome:Pathway468	3
reactome:Pathway1187	1
reactome:Pathway1054	2
reactome:Pathway686	3
reactome:Pathway335	16
reactome:Pathway1805	9
reactome:Pathway1938	3
reactome:Pathway2169	10
reactome:Pathway2254	6
reactome:Pathway2472	24
reactome:Pathway2690	40
reactome:Pathway2387	15
reactome:Pathway685	1
reactome:Pathway770	8
reactome:Pathway552	5
reactome:Pathway8	7
reactome:Pathway1360	2
reactome:Pathway1493	6
reactome:Pathway116	2
reactome:Pathway249	2
reactome:Pathway1275	2
reactome:Pathway201	5
reactome:Pathway334	6
reactome:Pathway467	15
reactome:Pathway1937	3
reactome:Pathway1804	4
reactome:Pathway2122	27
reactome:Pathway2691	4
reactome:Pathway2340	5
reactome:Pathway2255	6
reactome:Pathway2388	24
reactome:Pathway1719	6
reactome:Pathway2473	11
reactome:Pathway1141	1
reactome:Pathway115	13
reactome:Pathway333	44
reactome:Pathway684	4
reactome:Pathway551	5
reactome:Pathway1492	2
reactome:Pathway34	8
reactome:Pathway9	17
reactome:Pathway248	5
reactome:Pathway1189	1
reactome:Pathway466	3
reactome:Pathway599	4
reactome:Pathway200	14
reactome:Pathway1274	2
reactome:Pathway2692	2
reactome:Pathway2256	12
