pathway,pathwayID,Disease
reactome:Pathway457,R-HSA-5083627,Yes
reactome:Pathway79,R-HSA-4839748,Yes
reactome:Pathway315,R-HSA-5619089,Yes
reactome:Pathway312,R-HSA-5660686,Yes
reactome:Pathway693,R-HSA-5603037,Yes
reactome:Pathway125,R-HSA-9669924,Yes
reactome:Pathway744,R-HSA-9845622,Yes
reactome:Pathway572,R-HSA-180897,Yes
reactome:Pathway667,R-HSA-9820965,Yes
reactome:Pathway625,R-HSA-9682708,Yes
reactome:Pathway140,R-HSA-9702518,Yes
reactome:Pathway486,R-HSA-9865118,Yes
reactome:Pathway175,R-HSA-9661070,Yes
reactome:Pathway196,R-HSA-9710421,Yes
reactome:Pathway540,R-HSA-173107,Yes
reactome:Pathway634,R-HSA-9692913,Yes
reactome:Pathway105,R-HSA-6802955,Yes
reactome:Pathway101,R-HSA-9649948,Yes
reactome:Pathway644,R-HSA-9694271,Yes
reactome:Pathway606,R-HSA-168333,Yes
reactome:Pathway488,R-HSA-9865125,Yes
reactome:Pathway298,R-HSA-5619050,Yes
reactome:Pathway341,R-HSA-3274531,Yes
reactome:Pathway375,R-HSA-5579007,Yes
reactome:Pathway490,R-HSA-9907570,Yes
reactome:Pathway80,R-HSA-5467343,Yes
reactome:Pathway649,R-HSA-9694635,Yes
reactome:Pathway37,R-HSA-9665247,Yes
reactome:Pathway611,R-HSA-168302,Yes
reactome:Pathway247,R-HSA-5683177,Yes
reactome:Pathway57,R-HSA-2894862,Yes
reactome:Pathway453,R-HSA-5083635,Yes
reactome:Pathway743,R-HSA-9823587,Yes
reactome:Pathway630,R-HSA-9683683,Yes
reactome:Pathway170,R-HSA-9717329,Yes
reactome:Pathway527,R-HSA-9636569,Yes
reactome:Pathway734,R-HSA-9672391,Yes
reactome:Pathway497,R-HSA-9916720,Yes
reactome:Pathway359,R-HSA-3296469,Yes
reactome:Pathway177,R-HSA-9687136,Yes
reactome:Pathway585,R-HSA-182218,Yes
reactome:Pathway437,R-HSA-4570571,Yes
reactome:Pathway591,R-HSA-168336,Yes
reactome:Pathway689,R-HSA-9664535,Yes
reactome:Pathway409,R-HSA-5687868,Yes
reactome:Pathway426,R-HSA-3656237,Yes
reactome:Pathway335,R-HSA-2206285,Yes
reactome:Pathway579,R-HSA-164952,Yes
reactome:Pathway223,R-HSA-9675136,Yes
reactome:Pathway566,R-HSA-174495,Yes
reactome:Pathway318,R-HSA-5619092,Yes
reactome:Pathway520,R-HSA-9635644,Yes
reactome:Pathway724,R-HSA-9022538,Yes
reactome:Pathway31,R-HSA-9634285,Yes
