pathway,pathwayName
reactome:Pathway296,Nucleotide salvage
reactome:Pathway1457,Infectious disease
reactome:Pathway1760,Downstream signaling of activated FGFR4
reactome:Pathway2554,Negative epigenetic regulation of rRNA expression
reactome:Pathway1452,3-Methylcrotonyl-CoA carboxylase deficiency
reactome:Pathway2580,Cellular Senescence
reactome:Pathway668,Unwinding of DNA
reactome:Pathway2311,Formation of the anterior neural plate
reactome:Pathway2584,Formation of Senescence-Associated Heterochromatin Foci (SAHF)
reactome:Pathway628,Transcriptional activation of p53 responsive genes
reactome:Pathway2344,L1CAM interactions
reactome:Pathway180,Synthesis of PS
reactome:Pathway1234,Defective SLC26A2 causes chondrodysplasias
reactome:Pathway366,Regulation of ornithine decarboxylase (ODC)
reactome:Pathway2567,Cellular responses to stimuli
reactome:Pathway33,Trafficking of GluR2-containing AMPA receptors
reactome:Pathway2206,Na+/Cl- dependent neurotransmitter transporters
reactome:Pathway161,Propionyl-CoA catabolism
reactome:Pathway1198,Defective ABCB6 causes MCOPCB7
reactome:Pathway1034,APC truncation mutants have impaired AXIN binding
reactome:Pathway596,Interleukin-23 signaling
reactome:Pathway944,rRNA processing
reactome:Pathway2523,RNA Polymerase II Promoter Escape
reactome:Pathway2501,Transcriptional Regulation by MECP2
reactome:Pathway213,Activation of gene expression by SREBF (SREBP)
reactome:Pathway948,rRNA processing in the mitochondrion
reactome:Pathway960,Disease
reactome:Pathway1976,Beta-catenin independent WNT signaling
reactome:Pathway413,Pyrophosphate hydrolysis
reactome:Pathway2036,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3"
reactome:Pathway1534,APOBEC3G mediated resistance to HIV-1 infection
reactome:Pathway539,FCERI mediated NF-kB activation
reactome:Pathway2184,SLC-mediated transmembrane transport
reactome:Pathway1056,Signaling by RAS mutants
reactome:Pathway2510,Regulation of FOXO transcriptional activity by acetylation
reactome:Pathway1785,Nuclear Events (kinase and transcription factor activation)
reactome:Pathway2250,Programmed Cell Death
reactome:Pathway2507,Transcriptional Regulation by E2F6
reactome:Pathway1518,Formation of HIV elongation complex in the absence of HIV Tat
reactome:Pathway816,Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding
reactome:Pathway153,Beta oxidation of palmitoyl-CoA to myristoyl-CoA
reactome:Pathway2175,Degradation of the extracellular matrix
reactome:Pathway1610,Maturation of protein 3a
reactome:Pathway582,Interleukin-15 signaling
reactome:Pathway617,Peroxisomal protein import
reactome:Pathway2546,PIWI-interacting RNA (piRNA) biogenesis
reactome:Pathway2318,Nervous system development
reactome:Pathway1752,FRS-mediated FGFR3 signaling
reactome:Pathway1498,Binding and entry of HIV virion
reactome:Pathway966,Constitutive Signaling by EGFRvIII
reactome:Pathway74,Tandem pore domain halothane-inhibited K+ channel (THIK)
reactome:Pathway1176,Defective NTHL1 substrate processing
reactome:Pathway1828,GRB2 events in ERBB2 signaling
reactome:Pathway388,FMO oxidises nucleophiles
reactome:Pathway2589,Cellular response to chemical stress
reactome:Pathway1256,Defective SLC40A1 causes hemochromatosis 4 (HFE4) (duodenum)
reactome:Pathway2264,Activation of BMF and translocation to mitochondria
reactome:Pathway1110,midostaurin-resistant FLT3 mutants
reactome:Pathway1215,Defective GCK causes maturity-onset diabetes of the young 2 (MODY2)
reactome:Pathway513,DDX58/IFIH1-mediated induction of interferon-alpha/beta
reactome:Pathway2558,Epigenetic regulation by WDR5-containing histone modifying complexes
reactome:Pathway1682,Loss of MECP2 binding ability to 5mC-DNA
reactome:Pathway2545,Transcriptional regulation by small RNAs
reactome:Pathway2593,GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2
reactome:Pathway2433,RNA Polymerase I Promoter Opening
reactome:Pathway2148,Scavenging of heme from plasma
reactome:Pathway1117,KW2449-resistant FLT3 mutants
reactome:Pathway1052,Hh mutants abrogate ligand secretion
reactome:Pathway480,Toll Like Receptor 9 (TLR9) Cascade
reactome:Pathway2372,Transcriptional regulation of testis differentiation
reactome:Pathway764,GPVI-mediated activation cascade
reactome:Pathway262,Glucagon signaling in metabolic regulation
reactome:Pathway1538,Nef and signal transduction
reactome:Pathway69,Tandem of pore domain in a weak inwardly rectifying K+ channels (TWIK)
reactome:Pathway217,Synthesis of bile acids and bile salts via 24-hydroxycholesterol
reactome:Pathway1685,Defective SERPING1 causes hereditary angioedema
reactome:Pathway2143,Translocation of SLC2A4 (GLUT4) to the plasma membrane
reactome:Pathway395,Phase II - Conjugation of compounds
reactome:Pathway1552,vRNP Assembly
reactome:Pathway409,Mitochondrial iron-sulfur cluster biogenesis
reactome:Pathway445,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
reactome:Pathway1864,Signaling by TGFB family members
reactome:Pathway453,IRAK1 recruits IKK complex
reactome:Pathway466,Toll Like Receptor 3 (TLR3) Cascade
reactome:Pathway1162,Diseases of DNA repair
reactome:Pathway2486,RUNX2 regulates osteoblast differentiation
reactome:Pathway1949,Signaling by NOTCH2
reactome:Pathway2117,Erythropoietin activates RAS
reactome:Pathway1950,NOTCH2 Activation and Transmission of Signal to the Nucleus
