pathway,id
reactome:Pathway2093,R-HSA-75893
reactome:Pathway192,R-HSA-1660510
reactome:Pathway1347,R-HSA-5579014
reactome:Pathway763,R-HSA-456926
reactome:Pathway612,R-HSA-9674555
reactome:Pathway89,R-HSA-5652084
reactome:Pathway1752,R-HSA-5654706
reactome:Pathway1689,R-HSA-9674519
reactome:Pathway1469,R-HSA-5210891
reactome:Pathway334,R-HSA-9859138
reactome:Pathway1897,R-HSA-375281
reactome:Pathway1948,R-HSA-2122947
reactome:Pathway1314,R-HSA-6791055
reactome:Pathway2584,R-HSA-2559584
reactome:Pathway1730,R-HSA-5654693
reactome:Pathway1034,R-HSA-5467337
reactome:Pathway1425,R-HSA-4755583
reactome:Pathway1316,R-HSA-2160456
reactome:Pathway1826,R-HSA-1227986
reactome:Pathway1620,R-HSA-9754678
reactome:Pathway2111,R-HSA-209563
reactome:Pathway945,R-HSA-8868773
reactome:Pathway1954,R-HSA-9017802
reactome:Pathway1775,R-HSA-171007
reactome:Pathway75,R-HSA-6794362
reactome:Pathway1083,R-HSA-9669926
reactome:Pathway1302,R-HSA-5357609
reactome:Pathway248,R-HSA-9025106
reactome:Pathway818,R-HSA-597592
reactome:Pathway825,R-HSA-5358493
reactome:Pathway468,R-HSA-9828211
reactome:Pathway1255,R-HSA-5619049
reactome:Pathway1614,R-HSA-9694322
reactome:Pathway2130,R-HSA-157858
reactome:Pathway690,R-HSA-8854521
reactome:Pathway1652,R-HSA-5602498
reactome:Pathway2392,R-HSA-9843743
reactome:Pathway1856,R-HSA-8875656
reactome:Pathway1006,R-HSA-5674400
reactome:Pathway1784,R-HSA-177504
reactome:Pathway1696,R-HSA-9673218
reactome:Pathway64,R-HSA-1296067
reactome:Pathway1989,R-HSA-5610780
reactome:Pathway174,R-HSA-1482839
reactome:Pathway1504,R-HSA-175567
reactome:Pathway1501,R-HSA-164516
reactome:Pathway2617,R-HSA-9840373
reactome:Pathway1985,R-HSA-5362798
reactome:Pathway676,R-HSA-453274
reactome:Pathway2482,R-HSA-8939243
reactome:Pathway2101,R-HSA-204998
reactome:Pathway127,R-HSA-1855215
reactome:Pathway2698,R-HSA-110373
reactome:Pathway1622,R-HSA-9679191
reactome:Pathway2544,R-HSA-426496
reactome:Pathway915,R-HSA-159236
reactome:Pathway1618,R-HSA-9705677
reactome:Pathway488,R-HSA-937041
reactome:Pathway2382,R-HSA-9824585
reactome:Pathway2398,R-HSA-9748784
reactome:Pathway2559,R-HSA-9772755
reactome:Pathway1861,R-HSA-9851151
reactome:Pathway1901,R-HSA-418038
reactome:Pathway506,R-HSA-168638
reactome:Pathway457,R-HSA-450294
reactome:Pathway2380,R-HSA-9856649
reactome:Pathway1714,R-HSA-162582
reactome:Pathway848,R-HSA-6807878
reactome:Pathway2002,R-HSA-9634638
reactome:Pathway689,R-HSA-8854050
reactome:Pathway1722,R-HSA-190236
reactome:Pathway458,R-HSA-450321
reactome:Pathway426,R-HSA-389513
reactome:Pathway47,R-HSA-9617324
reactome:Pathway158,R-HSA-77350
reactome:Pathway588,R-HSA-6783589
reactome:Pathway210,R-HSA-6807047
reactome:Pathway2146,R-HSA-8854214
reactome:Pathway1499,R-HSA-162585
reactome:Pathway2749,R-HSA-68616
reactome:Pathway1467,R-HSA-5250981
reactome:Pathway2060,R-HSA-195258
reactome:Pathway2412,R-HSA-418990
reactome:Pathway679,R-HSA-69273
reactome:Pathway897,R-HSA-400508
reactome:Pathway715,R-HSA-453276
reactome:Pathway2176,R-HSA-1592389
reactome:Pathway324,R-HSA-8877627
reactome:Pathway2137,R-HSA-190873
reactome:Pathway959,R-HSA-9837092
reactome:Pathway752,R-HSA-418360
reactome:Pathway1874,R-HSA-2473224
reactome:Pathway1020,R-HSA-3304347
reactome:Pathway285,R-HSA-9856872
reactome:Pathway2513,R-HSA-9615017
reactome:Pathway214,R-HSA-194068
reactome:Pathway924,R-HSA-75072
reactome:Pathway992,R-HSA-9665230
reactome:Pathway710,R-HSA-2995383
reactome:Pathway255,R-HSA-422356
reactome:Pathway523,R-HSA-1834941
reactome:Pathway2120,R-HSA-199991
reactome:Pathway546,R-HSA-5621480
reactome:Pathway2141,R-HSA-8856825
reactome:Pathway1108,R-HSA-9702632
reactome:Pathway1464,R-HSA-5250982
reactome:Pathway1116,R-HSA-9702596
reactome:Pathway2468,R-HSA-8869496
reactome:Pathway2052,R-HSA-9035034
reactome:Pathway1835,R-HSA-1358803
reactome:Pathway1118,R-HSA-9700206
reactome:Pathway2534,R-HSA-76066
reactome:Pathway302,R-HSA-73621
reactome:Pathway1537,R-HSA-164952
reactome:Pathway841,R-HSA-532668
reactome:Pathway600,R-HSA-8854691
reactome:Pathway1260,R-HSA-5658208
reactome:Pathway421,R-HSA-388841
reactome:Pathway1312,R-HSA-5659996
reactome:Pathway163,R-HSA-389599
reactome:Pathway2573,R-HSA-1234176
reactome:Pathway853,R-HSA-975578
reactome:Pathway866,R-HSA-3899300
reactome:Pathway2039,R-HSA-8980692
reactome:Pathway2090,R-HSA-380972
reactome:Pathway810,R-HSA-390466
reactome:Pathway1174,R-HSA-9616333
reactome:Pathway1959,R-HSA-9604323
reactome:Pathway358,R-HSA-6783984
reactome:Pathway2366,R-HSA-186712
reactome:Pathway1439,R-HSA-9734281
reactome:Pathway1300,R-HSA-3274531
reactome:Pathway33,R-HSA-416993
reactome:Pathway131,R-HSA-556833
reactome:Pathway2274,R-HSA-111469
reactome:Pathway415,R-HSA-1280218
reactome:Pathway1515,R-HSA-167200
reactome:Pathway1037,R-HSA-5467340
reactome:Pathway2289,R-HSA-5675482
reactome:Pathway720,R-HSA-176814
reactome:Pathway2298,R-HSA-9820865
reactome:Pathway2362,R-HSA-9830369
reactome:Pathway460,R-HSA-5684264
reactome:Pathway1983,R-HSA-5358351
reactome:Pathway2694,R-HSA-110357
reactome:Pathway1274,R-HSA-5619089
reactome:Pathway1925,R-HSA-163615
reactome:Pathway1636,R-HSA-9664417
reactome:Pathway203,R-HSA-1660661
reactome:Pathway2134,R-HSA-190704
reactome:Pathway2514,R-HSA-9634815
reactome:Pathway2076,R-HSA-9013419
reactome:Pathway718,R-HSA-176417
reactome:Pathway2413,R-HSA-420597
reactome:Pathway1586,R-HSA-9683686
reactome:Pathway352,R-HSA-5263617
reactome:Pathway121,R-HSA-1855191
reactome:Pathway97,R-HSA-2142845
reactome:Pathway519,R-HSA-1834949
reactome:Pathway2627,R-HSA-5205647
reactome:Pathway1454,R-HSA-9915355
reactome:Pathway262,R-HSA-163359
reactome:Pathway381,R-HSA-211981
reactome:Pathway440,R-HSA-1236973
reactome:Pathway1919,R-HSA-112043
reactome:Pathway1110,R-HSA-9702600
reactome:Pathway2015,R-HSA-5674135
reactome:Pathway193,R-HSA-1660499
reactome:Pathway1944,R-HSA-1912399
reactome:Pathway179,R-HSA-1483115
reactome:Pathway691,R-HSA-68886
reactome:Pathway961,R-HSA-5663202
reactome:Pathway2188,R-HSA-425986
reactome:Pathway151,R-HSA-77289
reactome:Pathway1237,R-HSA-5619108
reactome:Pathway398,R-HSA-156584
reactome:Pathway721,R-HSA-176412
reactome:Pathway1044,R-HSA-5358749
reactome:Pathway344,R-HSA-71240
reactome:Pathway1604,R-HSA-9694686
reactome:Pathway900,R-HSA-209952
reactome:Pathway2457,R-HSA-6804757
reactome:Pathway30,R-HSA-629594
reactome:Pathway2224,R-HSA-2672351
reactome:Pathway24,R-HSA-112314
reactome:Pathway2123,R-HSA-6811438
reactome:Pathway170,R-HSA-1483206
reactome:Pathway484,R-HSA-166166
reactome:Pathway2285,R-HSA-211733
reactome:Pathway749,R-HSA-392851
reactome:Pathway2067,R-HSA-5626467
reactome:Pathway1724,R-HSA-190242
reactome:Pathway2526,R-HSA-113418
reactome:Pathway202,R-HSA-428157
reactome:Pathway136,R-HSA-75105
reactome:Pathway2678,R-HSA-5620922
reactome:Pathway2664,R-HSA-9827857
reactome:Pathway2,R-HSA-112307
reactome:Pathway43,R-HSA-442720
reactome:Pathway1063,R-HSA-6802946
reactome:Pathway2339,R-HSA-428543
reactome:Pathway445,R-HSA-198933
reactome:Pathway2610,R-HSA-381183
reactome:Pathway1615,R-HSA-9733458
reactome:Pathway140,R-HSA-2142691
reactome:Pathway1645,R-HSA-9664323
reactome:Pathway1619,R-HSA-9754560
reactome:Pathway2319,R-HSA-422475
reactome:Pathway2036,R-HSA-9716542
reactome:Pathway1534,R-HSA-180689
reactome:Pathway1923,R-HSA-111933
reactome:Pathway539,R-HSA-2871837
reactome:Pathway2705,R-HSA-110320
reactome:Pathway824,R-HSA-204626
reactome:Pathway1677,R-HSA-9005895
reactome:Pathway964,R-HSA-1236382
reactome:Pathway1543,R-HSA-182218
reactome:Pathway2013,R-HSA-9648002
reactome:Pathway1600,R-HSA-9694676
reactome:Pathway2220,R-HSA-917937
reactome:Pathway111,R-HSA-2024101
reactome:Pathway536,R-HSA-2454202
reactome:Pathway2543,R-HSA-426486
reactome:Pathway1588,R-HSA-9683683
reactome:Pathway806,R-HSA-5368286
reactome:Pathway932,R-HSA-450385
reactome:Pathway1048,R-HSA-5339717
reactome:Pathway2259,R-HSA-114452
reactome:Pathway2750,R-HSA-68689
reactome:Pathway2402,R-HSA-2161522
reactome:Pathway148,R-HSA-2046106
reactome:Pathway2003,R-HSA-9024446
reactome:Pathway2106,R-HSA-193639
reactome:Pathway2088,R-HSA-165181
reactome:Pathway238,R-HSA-9018677
reactome:Pathway978,R-HSA-2033519
reactome:Pathway132,R-HSA-400206
reactome:Pathway1231,R-HSA-5619077
reactome:Pathway319,R-HSA-196757
reactome:Pathway568,R-HSA-9833482
reactome:Pathway1229,R-HSA-5619066
reactome:Pathway2098,R-HSA-75158
reactome:Pathway576,R-HSA-9014826
reactome:Pathway1074,R-HSA-9669935
reactome:Pathway2697,R-HSA-5649702
reactome:Pathway254,R-HSA-163685
reactome:Pathway438,R-HSA-983170
reactome:Pathway800,R-HSA-156827
reactome:Pathway1361,R-HSA-5579020
reactome:Pathway1629,R-HSA-9828806
reactome:Pathway2501,R-HSA-8986944
reactome:Pathway1649,R-HSA-5602358
reactome:Pathway499,R-HSA-2855086
reactome:Pathway1051,R-HSA-5340573
reactome:Pathway1225,R-HSA-5619067
reactome:Pathway1830,R-HSA-1251932
reactome:Pathway1463,R-HSA-5250992
reactome:Pathway1787,R-HSA-9006115
reactome:Pathway1186,R-HSA-9701190
reactome:Pathway2586,R-HSA-3371497
reactome:Pathway868,R-HSA-4551638
reactome:Pathway2498,R-HSA-8951936
reactome:Pathway295,R-HSA-499943
reactome:Pathway770,R-HSA-114508
reactome:Pathway504,R-HSA-977606
reactome:Pathway1764,R-HSA-5654720
reactome:Pathway2264,R-HSA-139910
reactome:Pathway149,R-HSA-2046105
reactome:Pathway1355,R-HSA-5579022
reactome:Pathway1143,R-HSA-9630747
reactome:Pathway1039,R-HSA-5467343
reactome:Pathway2256,R-HSA-418889
reactome:Pathway1093,R-HSA-9674396
reactome:Pathway2652,R-HSA-397014
reactome:Pathway1429,R-HSA-4717374
reactome:Pathway1111,R-HSA-9703009
reactome:Pathway260,R-HSA-434313
reactome:Pathway1169,R-HSA-9605308
reactome:Pathway2539,R-HSA-163282
reactome:Pathway2499,R-HSA-8952158
reactome:Pathway1735,R-HSA-1295596
reactome:Pathway1638,R-HSA-9664420
reactome:Pathway1261,R-HSA-5619096
reactome:Pathway401,R-HSA-156590
reactome:Pathway1601,R-HSA-9694301
reactome:Pathway1214,R-HSA-5619060
reactome:Pathway1434,R-HSA-9735804
reactome:Pathway2607,R-HSA-9639288
reactome:Pathway345,R-HSA-1614635
reactome:Pathway1718,R-HSA-179812
reactome:Pathway186,R-HSA-1483076
reactome:Pathway828,R-HSA-163125
reactome:Pathway1870,R-HSA-2173796
reactome:Pathway320,R-HSA-947581
reactome:Pathway392,R-HSA-141334
reactome:Pathway2031,R-HSA-8943723
reactome:Pathway2635,R-HSA-9709957
reactome:Pathway816,R-HSA-6814122
reactome:Pathway1332,R-HSA-3371598
reactome:Pathway2324,R-HSA-399955
reactome:Pathway77,R-HSA-388844
reactome:Pathway1232,R-HSA-5619055
reactome:Pathway230,R-HSA-74182
reactome:Pathway2175,R-HSA-1474228
reactome:Pathway2425,R-HSA-446343
reactome:Pathway1360,R-HSA-5579024
reactome:Pathway1013,R-HSA-2644602
reactome:Pathway913,R-HSA-72187
reactome:Pathway1777,R-HSA-169893
reactome:Pathway837,R-HSA-446205
reactome:Pathway1801,R-HSA-9034864
reactome:Pathway2191,R-HSA-427652
reactome:Pathway734,R-HSA-157579
reactome:Pathway1183,R-HSA-9663199
reactome:Pathway589,R-HSA-1059683
reactome:Pathway1153,R-HSA-9693928
reactome:Pathway2707,R-HSA-5656121
reactome:Pathway1519,R-HSA-167290
reactome:Pathway2549,R-HSA-212300
reactome:Pathway1279,R-HSA-5619110
reactome:Pathway2131,R-HSA-190828
reactome:Pathway2439,R-HSA-350054
reactome:Pathway2655,R-HSA-5576891
reactome:Pathway656,R-HSA-68962
reactome:Pathway128,R-HSA-1855156
reactome:Pathway1546,R-HSA-168275
reactome:Pathway2642,R-HSA-2485179
reactome:Pathway44,R-HSA-442729
reactome:Pathway843,R-HSA-901032
reactome:Pathway1069,R-HSA-9660537
reactome:Pathway1134,R-HSA-9661070
reactome:Pathway954,R-HSA-6785470
reactome:Pathway199,R-HSA-1660508
reactome:Pathway2434,R-HSA-73762
reactome:Pathway2331,R-HSA-418885
reactome:Pathway1402,R-HSA-4724325
reactome:Pathway1032,R-HSA-4839744
reactome:Pathway145,R-HSA-2142816
reactome:Pathway2660,R-HSA-5576890
reactome:Pathway2528,R-HSA-73856
reactome:Pathway766,R-HSA-354192
reactome:Pathway857,R-HSA-913709
reactome:Pathway476,R-HSA-975144
reactome:Pathway1421,R-HSA-5609978
reactome:Pathway587,R-HSA-6785807
reactome:Pathway435,R-HSA-5690714
reactome:Pathway272,R-HSA-203641
reactome:Pathway1746,R-HSA-5654727
reactome:Pathway2270,R-HSA-111461
reactome:Pathway1918,R-HSA-112040
reactome:Pathway101,R-HSA-1638074
reactome:Pathway1139,R-HSA-9670621
reactome:Pathway712,R-HSA-9668328
reactome:Pathway1106,R-HSA-9702614
reactome:Pathway1220,R-HSA-5619087
reactome:Pathway515,R-HSA-933543
reactome:Pathway1310,R-HSA-6791465
reactome:Pathway2355,R-HSA-3928665
reactome:Pathway1742,R-HSA-5654700
reactome:Pathway967,R-HSA-5638302
reactome:Pathway1545,R-HSA-168255
reactome:Pathway314,R-HSA-9758890
reactome:Pathway2690,R-HSA-110329
reactome:Pathway423,R-HSA-389357
reactome:Pathway1207,R-HSA-5684045
reactome:Pathway516,R-HSA-933541
reactome:Pathway1776,R-HSA-187706
reactome:Pathway1123,R-HSA-9717326
reactome:Pathway709,R-HSA-2995410
reactome:Pathway1313,R-HSA-6791462
reactome:Pathway950,R-HSA-72306
reactome:Pathway475,R-HSA-975138
reactome:Pathway2536,R-HSA-73780
reactome:Pathway771,R-HSA-426048
reactome:Pathway1768,R-HSA-167060
reactome:Pathway787,R-HSA-72766
reactome:Pathway693,R-HSA-162658
reactome:Pathway1804,R-HSA-74752
reactome:Pathway1374,R-HSA-3781865
reactome:Pathway2519,R-HSA-674695
reactome:Pathway831,R-HSA-162791
reactome:Pathway941,R-HSA-927802
reactome:Pathway1264,R-HSA-5619094
reactome:Pathway2507,R-HSA-8953750
reactome:Pathway786,R-HSA-392499
reactome:Pathway2440,R-HSA-383280
reactome:Pathway1268,R-HSA-5659735
reactome:Pathway322,R-HSA-6806664
reactome:Pathway317,R-HSA-196807
reactome:Pathway2213,R-HSA-727802
reactome:Pathway809,R-HSA-391251
reactome:Pathway1217,R-HSA-5619042
reactome:Pathway706,R-HSA-68881
reactome:Pathway2493,R-HSA-8941856
reactome:Pathway1270,R-HSA-5619101
reactome:Pathway633,R-HSA-69481
reactome:Pathway905,R-HSA-977225
reactome:Pathway1527,R-HSA-162588
reactome:Pathway283,R-HSA-9865881
reactome:Pathway1489,R-HSA-1222541
reactome:Pathway2212,R-HSA-83936
reactome:Pathway159,R-HSA-77352
reactome:Pathway1480,R-HSA-9636383
reactome:Pathway1195,R-HSA-5619084
reactome:Pathway67,R-HSA-1296072
reactome:Pathway664,R-HSA-69052
reactome:Pathway665,R-HSA-68949
reactome:Pathway2269,R-HSA-111457
reactome:Pathway1098,R-HSA-9703648
reactome:Pathway2186,R-HSA-425381
reactome:Pathway1321,R-HSA-3359463
reactome:Pathway669,R-HSA-69109
reactome:Pathway326,R-HSA-2142789
reactome:Pathway937,R-HSA-429914
reactome:Pathway1743,R-HSA-5654221
reactome:Pathway2221,R-HSA-917977
reactome:Pathway1833,R-HSA-8847993
reactome:Pathway129,R-HSA-1855192
reactome:Pathway1958,R-HSA-9013695
reactome:Pathway2356,R-HSA-8853659
reactome:Pathway2453,R-HSA-6796648
reactome:Pathway2080,R-HSA-8849474
reactome:Pathway1592,R-HSA-9692913
reactome:Pathway2218,R-HSA-432040
reactome:Pathway1244,R-HSA-5619040
reactome:Pathway1359,R-HSA-5579012
reactome:Pathway1517,R-HSA-167287
reactome:Pathway2190,R-HSA-427601
reactome:Pathway2521,R-HSA-76042
