O00159-3	R-HSA-5250924	B-WICH complex positively regulates rRNA expression
O00187-1	R-HSA-166662	Lectin pathway of complement activation
O00187-1	R-HSA-166663	Initial triggering of complement
O00187-1	R-HSA-2855086	Ficolins bind to repetitive carbohydrate structures on the target cell surface
O00187-1	R-HSA-9705671	SARS-CoV-2 activates/modulates innate and adaptive immune responses
O00204-1	R-HSA-156584	Cytosolic sulfonation of small molecules
O00204-2	R-HSA-156584	Cytosolic sulfonation of small molecules
O00476-2	R-HSA-2672351	Stimuli-sensing channels
O00482-1	R-HSA-210747	Regulation of gene expression in early pancreatic precursor cells
O00482-1	R-HSA-383280	Nuclear Receptor transcription pathway
O00482-2	R-HSA-383280	Nuclear Receptor transcription pathway
O00482-2	R-HSA-4090294	SUMOylation of intracellular receptors
O00482-3	R-HSA-383280	Nuclear Receptor transcription pathway
O14578-3	R-HSA-5625900	RHO GTPases activate CIT
O14578-3	R-HSA-8980692	RHOA GTPase cycle
O14578-3	R-HSA-9013026	RHOB GTPase cycle
O14578-3	R-HSA-9013106	RHOC GTPase cycle
O14578-3	R-HSA-9013149	RAC1 GTPase cycle
O14775-1	R-HSA-2514859	Inactivation, recovery and regulation of the phototransduction cascade
O15519-1	R-HSA-3371378	Regulation by c-FLIP
O15519-1	R-HSA-5213460	RIPK1-mediated regulated necrosis
O15519-1	R-HSA-5218900	CASP8 activity is inhibited
O15519-1	R-HSA-5357905	Regulation of TNFR1 signaling
O15519-2	R-HSA-5213460	RIPK1-mediated regulated necrosis
O15519-2	R-HSA-5218900	CASP8 activity is inhibited
O15519-2	R-HSA-69416	Dimerization of procaspase-8
O15527-4	R-HSA-110330	Recognition and association of DNA glycosylase with site containing an affected purine
O15527-4	R-HSA-9657050	Defective OGG1 Localization
O43236-6	R-HSA-111457	Release of apoptotic factors from the mitochondria
O43236-6	R-HSA-111469	SMAC, XIAP-regulated apoptotic response
O43561-2	R-HSA-2424491	DAP12 signaling
O43561-2	R-HSA-2454202	Fc epsilon receptor (FCERI) signaling
O43561-2	R-HSA-2871796	FCERI mediated MAPK activation
O43561-2	R-HSA-2871809	FCERI mediated Ca+2 mobilization
O43561-2	R-HSA-5673001	RAF/MAP kinase cascade
O60237-4	R-HSA-2565942	Regulation of PLK1 Activity at G2/M Transition
O60258-1	R-HSA-109704	PI3K Cascade
O60258-1	R-HSA-1257604	PIP3 activates AKT signaling
O60258-1	R-HSA-1839122	Signaling by activated point mutants of FGFR1
O60258-1	R-HSA-1839130	Signaling by activated point mutants of FGFR3
O60258-1	R-HSA-190322	FGFR4 ligand binding and activation
O60258-1	R-HSA-190371	FGFR3b ligand binding and activation
O60258-1	R-HSA-190372	FGFR3c ligand binding and activation
O60258-1	R-HSA-190373	FGFR1c ligand binding and activation
O60258-1	R-HSA-190375	FGFR2c ligand binding and activation
O60258-1	R-HSA-2033519	Activated point mutants of FGFR2
O60258-1	R-HSA-2219530	Constitutive Signaling by Aberrant PI3K in Cancer
O60258-1	R-HSA-5654219	Phospholipase C-mediated cascade: FGFR1
O60258-1	R-HSA-5654221	Phospholipase C-mediated cascade; FGFR2
O60258-1	R-HSA-5654227	Phospholipase C-mediated cascade; FGFR3
