Apoptosis	Intrinsic Pathway for Apoptosis
Apoptosis	Regulation of Apoptosis
Apoptosis	Caspase activation via extrinsic apoptotic signalling pathway
Apoptosis	Apoptotic execution phase
Hemostasis	Formation of Fibrin Clot (Clotting Cascade)
Hemostasis	Cell surface interactions at the vascular wall
Hemostasis	Platelet homeostasis
Hemostasis	Dissolution of Fibrin Clot
Hemostasis	Platelet Adhesion to exposed collagen
Hemostasis	Platelet activation, signaling and aggregation
Hemostasis	Factors involved in megakaryocyte development and platelet production
Intrinsic Pathway for Apoptosis	Activation and oligomerization of BAK protein
Intrinsic Pathway for Apoptosis	BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members
Intrinsic Pathway for Apoptosis	Apoptotic factor-mediated response
Intrinsic Pathway for Apoptosis	Activation, translocation and oligomerization of BAX
Intrinsic Pathway for Apoptosis	Activation of BH3-only proteins
Intrinsic Pathway for Apoptosis	Activation, myristolyation of BID and translocation to mitochondria
PKB-mediated events	PDE3B signalling
PI3K Cascade	PKB-mediated events
PI3K Cascade	Activation of AKT2
Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template	Translesion synthesis by REV1
Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template	Translesion Synthesis by POLH
Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template	Translesion synthesis by POLK
Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template	Translesion synthesis by POLI
Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template	Termination of translesion DNA synthesis
Resolution of AP sites via the multiple-nucleotide patch replacement pathway	POLB-Dependent Long Patch Base Excision Repair
Resolution of AP sites via the multiple-nucleotide patch replacement pathway	PCNA-Dependent Long Patch Base Excision Repair
Resolution of AP sites via the single-nucleotide replacement pathway	Abasic sugar-phosphate removal via the single-nucleotide replacement pathway
Formation of apoptosome	Regulation of the apoptosome activity
Cytochrome c-mediated apoptotic response	Formation of apoptosome
Cytochrome c-mediated apoptotic response	Activation of caspases through apoptosome-mediated cleavage
Apoptotic cleavage of cellular proteins	Caspase-mediated cleavage of cytoskeletal proteins
Apoptotic cleavage of cellular proteins	Apoptotic cleavage of cell adhesion  proteins
Apoptotic cleavage of cellular proteins	Breakdown of the nuclear lamina
SMAC, XIAP-regulated apoptotic response	SMAC (DIABLO) binds to IAPs 
SMAC, XIAP-regulated apoptotic response	SMAC(DIABLO)-mediated dissociation of IAP:caspase complexes 
Apoptotic factor-mediated response	Release of apoptotic factors from the mitochondria
Apoptotic factor-mediated response	Cytochrome c-mediated apoptotic response
Apoptotic factor-mediated response	SMAC, XIAP-regulated apoptotic response
Opioid Signalling	G-protein mediated events
Opioid Signalling	DARPP-32 events
Opioid Signalling	G-protein activation
PKA-mediated phosphorylation of CREB	PKA activation
Calmodulin induced events	PKA-mediated phosphorylation of CREB
Calmodulin induced events	CaMK IV-mediated phosphorylation of CREB
Calmodulin induced events	Cam-PDE 1 activation
Ca-dependent events	phospho-PLA2 pathway
Ca-dependent events	CaM pathway
CaM pathway	Calmodulin induced events
G-protein mediated events	PLC beta mediated events
G-protein mediated events	Adenylate cyclase activating pathway
G-protein mediated events	Adenylate cyclase inhibitory pathway
PLC beta mediated events	Ca-dependent events
Transmission across Electrical Synapses 	Electric Transmission Across Gap Junctions
Neurotransmitter release cycle	Serotonin Neurotransmitter Release Cycle
Neurotransmitter release cycle	Norepinephrine Neurotransmitter Release Cycle
Neurotransmitter release cycle	Glutamate Neurotransmitter Release Cycle
Neurotransmitter release cycle	Dopamine Neurotransmitter Release Cycle
Neurotransmitter release cycle	Acetylcholine Neurotransmitter Release Cycle
Neurotransmitter release cycle	GABA synthesis, release, reuptake and degradation
Neurotransmitter clearance	Dopamine clearance from the synaptic cleft
Neurotransmitter clearance	Serotonin clearance from the synaptic cleft
Neurotransmitter uptake and metabolism In glial cells	Astrocytic Glutamate-Glutamine Uptake And Metabolism
Neurotransmitter receptors and postsynaptic signal transmission	Acetylcholine binding and downstream events
Neurotransmitter receptors and postsynaptic signal transmission	Glutamate binding, activation of AMPA receptors and synaptic plasticity
Neurotransmitter receptors and postsynaptic signal transmission	Activation of NMDA receptors and postsynaptic events
Neurotransmitter receptors and postsynaptic signal transmission	Activation of kainate receptors upon glutamate binding
Neurotransmitter receptors and postsynaptic signal transmission	GABA receptor activation
Transmission across Chemical Synapses	Presynaptic depolarization and calcium channel opening
Transmission across Chemical Synapses	Neurotransmitter release cycle
Transmission across Chemical Synapses	Neurotransmitter clearance
Transmission across Chemical Synapses	Neurotransmitter uptake and metabolism In glial cells
Transmission across Chemical Synapses	Neurotransmitter receptors and postsynaptic signal transmission
Neuronal System	Transmission across Electrical Synapses 
Neuronal System	Transmission across Chemical Synapses
Neuronal System	Potassium Channels
Neuronal System	Protein-protein interactions at synapses
IRS-mediated signalling	PI3K Cascade
IRS-mediated signalling	SOS-mediated signalling
RAF-independent MAPK1/3 activation	MAPK3 (ERK1) activation
RAF-independent MAPK1/3 activation	MAPK1 (ERK2) activation
E2F mediated regulation of DNA replication	Inhibition of replication initiation of damaged DNA by RB1/E2F1
E2F mediated regulation of DNA replication	E2F-enabled inhibition of pre-replication complex formation
Activation of BH3-only proteins	Activation of BIM and translocation to mitochondria 
Activation of BH3-only proteins	Activation of BAD and translocation to mitochondria 
Activation of BH3-only proteins	Activation of NOXA and translocation to mitochondria
Activation of BH3-only proteins	Activation of BMF and translocation to mitochondria
Activation of BH3-only proteins	Activation of PUMA and translocation to mitochondria
Effects of PIP2 hydrolysis	Arachidonate production from DAG
Downstream signaling events of B Cell Receptor (BCR)	Activation of NF-kappaB in B cells
Downstream signaling events of B Cell Receptor (BCR)	Activation of RAS in B cells
Downstream signaling events of B Cell Receptor (BCR)	Calcineurin activates NFAT
Antiviral mechanism by IFN-stimulated genes	ISG15 antiviral mechanism
Antiviral mechanism by IFN-stimulated genes	OAS antiviral response
Antiviral mechanism by IFN-stimulated genes	PKR-mediated signaling
Signaling by NODAL	Regulation of signaling by NODAL
Fertilization	Sperm Motility And Taxes
Fertilization	Acrosome Reaction and Sperm:Oocyte Membrane Binding
Fertilization	Interaction With Cumulus Cells And The Zona Pellucida
Latent infection - Other responses of Mtb to phagocytosis	Tolerance of reactive oxygen produced by macrophages
Latent infection - Other responses of Mtb to phagocytosis	Mtb iron assimilation by chelation
Latent infection - Other responses of Mtb to phagocytosis	Tolerance by Mtb to nitric oxide produced by macrophages
