Source,Interaction,Target
reactome:Pathway170,abstraction:SuperPathwayOf,reactome:Pathway178
reactome:Pathway439,abstraction:SuperPathwayOf,reactome:Pathway442
reactome:Pathway2530,abstraction:SuperPathwayOf,reactome:Pathway2532
reactome:Pathway661,abstraction:SuperPathwayOf,reactome:Pathway653
reactome:Pathway505,abstraction:SuperPathwayOf,reactome:Pathway506
reactome:Pathway2147,abstraction:SuperPathwayOf,reactome:Pathway2151
reactome:Pathway2252,abstraction:SuperPathwayOf,reactome:Pathway2253
reactome:Pathway214,abstraction:SuperPathwayOf,reactome:Pathway215
reactome:Pathway2259,abstraction:SuperPathwayOf,reactome:Pathway2263
reactome:Pathway2270,abstraction:SuperPathwayOf,reactome:Pathway2271
reactome:Pathway1460,abstraction:SuperPathwayOf,reactome:Pathway1461
reactome:Pathway2390,abstraction:SuperPathwayOf,reactome:Pathway2391
reactome:Pathway152,abstraction:SuperPathwayOf,reactome:Pathway156
reactome:Pathway138,abstraction:SuperPathwayOf,reactome:Pathway139
reactome:Pathway2379,abstraction:SuperPathwayOf,reactome:Pathway2380
reactome:Pathway1760,abstraction:SuperPathwayOf,reactome:Pathway1761
reactome:Pathway1523,abstraction:SuperPathwayOf,reactome:Pathway1526
reactome:Pathway291,abstraction:SuperPathwayOf,reactome:Pathway295
reactome:Pathway1186,abstraction:SuperPathwayOf,reactome:Pathway1190
reactome:Pathway992,abstraction:SuperPathwayOf,reactome:Pathway993
reactome:Pathway2292,abstraction:SuperPathwayOf,reactome:Pathway2360
reactome:Pathway1163,abstraction:SuperPathwayOf,reactome:Pathway1164
reactome:Pathway715,abstraction:SuperPathwayOf,reactome:Pathway716
reactome:Pathway1960,abstraction:SuperPathwayOf,reactome:Pathway1965
reactome:Pathway2501,abstraction:SuperPathwayOf,reactome:Pathway2502
reactome:Pathway2160,abstraction:SuperPathwayOf,reactome:Pathway2175
reactome:Pathway2012,abstraction:SuperPathwayOf,reactome:Pathway2018
reactome:Pathway747,abstraction:SuperPathwayOf,reactome:Pathway780
reactome:Pathway2237,abstraction:SuperPathwayOf,reactome:Pathway2241
reactome:Pathway2665,abstraction:SuperPathwayOf,reactome:Pathway2667
reactome:Pathway1162,abstraction:SuperPathwayOf,reactome:Pathway1169
reactome:Pathway1333,abstraction:SuperPathwayOf,reactome:Pathway1341
reactome:Pathway376,abstraction:SuperPathwayOf,reactome:Pathway395
reactome:Pathway2120,abstraction:SuperPathwayOf,reactome:Pathway845
reactome:Pathway2101,abstraction:SuperPathwayOf,reactome:Pathway2104
reactome:Pathway1766,abstraction:SuperPathwayOf,reactome:Pathway1767
reactome:Pathway834,abstraction:SuperPathwayOf,reactome:Pathway838
reactome:Pathway1649,abstraction:SuperPathwayOf,reactome:Pathway1655
reactome:Pathway415,abstraction:SuperPathwayOf,reactome:Pathway421
reactome:Pathway950,abstraction:SuperPathwayOf,reactome:Pathway955
reactome:Pathway1437,abstraction:SuperPathwayOf,reactome:Pathway1440
reactome:Pathway1817,abstraction:SuperPathwayOf,reactome:Pathway1820
reactome:Pathway1715,abstraction:SuperPathwayOf,reactome:Pathway1826
reactome:Pathway1162,abstraction:SuperPathwayOf,reactome:Pathway1182
reactome:Pathway1375,abstraction:SuperPathwayOf,reactome:Pathway1378
reactome:Pathway1918,abstraction:SuperPathwayOf,reactome:Pathway1928
reactome:Pathway1333,abstraction:SuperPathwayOf,reactome:Pathway1364
reactome:Pathway1195,abstraction:SuperPathwayOf,reactome:Pathway1197
reactome:Pathway2725,abstraction:SuperPathwayOf,reactome:Pathway2726
reactome:Pathway2613,abstraction:SuperPathwayOf,reactome:Pathway2614
reactome:Pathway2292,abstraction:SuperPathwayOf,reactome:Pathway2299
reactome:Pathway519,abstraction:SuperPathwayOf,reactome:Pathway528
reactome:Pathway1283,abstraction:SuperPathwayOf,reactome:Pathway1434
reactome:Pathway1186,abstraction:SuperPathwayOf,reactome:Pathway1187
reactome:Pathway1333,abstraction:SuperPathwayOf,reactome:Pathway1350
reactome:Pathway135,abstraction:SuperPathwayOf,reactome:Pathway150
reactome:Pathway2024,abstraction:SuperPathwayOf,reactome:Pathway2026
reactome:Pathway2442,abstraction:SuperPathwayOf,reactome:Pathway2449
reactome:Pathway1837,abstraction:SuperPathwayOf,reactome:Pathway1839
reactome:Pathway2591,abstraction:SuperPathwayOf,reactome:Pathway2598
reactome:Pathway483,abstraction:SuperPathwayOf,reactome:Pathway453
reactome:Pathway2624,abstraction:SuperPathwayOf,reactome:Pathway2625
reactome:Pathway2060,abstraction:SuperPathwayOf,reactome:Pathway2069
reactome:Pathway2483,abstraction:SuperPathwayOf,reactome:Pathway2488
reactome:Pathway2319,abstraction:SuperPathwayOf,reactome:Pathway2356
reactome:Pathway570,abstraction:SuperPathwayOf,reactome:Pathway591
reactome:Pathway2490,abstraction:SuperPathwayOf,reactome:Pathway2493
reactome:Pathway1551,abstraction:SuperPathwayOf,reactome:Pathway1554
reactome:Pathway2037,abstraction:SuperPathwayOf,reactome:Pathway2038
reactome:Pathway621,abstraction:SuperPathwayOf,reactome:Pathway731
reactome:Pathway2665,abstraction:SuperPathwayOf,reactome:Pathway2666
reactome:Pathway457,abstraction:SuperPathwayOf,reactome:Pathway461
reactome:Pathway2208,abstraction:SuperPathwayOf,reactome:Pathway2210
reactome:Pathway80,abstraction:SuperPathwayOf,reactome:Pathway84
reactome:Pathway2121,abstraction:SuperPathwayOf,reactome:Pathway2124
reactome:Pathway2725,abstraction:SuperPathwayOf,reactome:Pathway2727
reactome:Pathway2302,abstraction:SuperPathwayOf,reactome:Pathway2307
reactome:Pathway220,abstraction:SuperPathwayOf,reactome:Pathway221
reactome:Pathway2558,abstraction:SuperPathwayOf,reactome:Pathway2559
reactome:Pathway368,abstraction:SuperPathwayOf,reactome:Pathway369
reactome:Pathway6,abstraction:SuperPathwayOf,reactome:Pathway8
reactome:Pathway2732,abstraction:SuperPathwayOf,reactome:Pathway2733
reactome:Pathway1757,abstraction:SuperPathwayOf,reactome:Pathway1758
reactome:Pathway2319,abstraction:SuperPathwayOf,reactome:Pathway2328
reactome:Pathway1333,abstraction:SuperPathwayOf,reactome:Pathway1334
reactome:Pathway2335,abstraction:SuperPathwayOf,reactome:Pathway2338
reactome:Pathway657,abstraction:SuperPathwayOf,reactome:Pathway658
