Source,Interaction,Target
reactome:Pathway390,abstraction:InnerNextStepPathway,reactome:Pathway393
reactome:Pathway78,abstraction:InnerNextStepPathway,reactome:Pathway87
reactome:Pathway315,abstraction:InnerNextStepPathway,reactome:Pathway308
reactome:Pathway78,abstraction:InnerNextStepPathway,reactome:Pathway85
reactome:Pathway107,abstraction:InnerNextStepPathway,reactome:Pathway3
reactome:Pathway361,abstraction:InnerNextStepPathway,reactome:Pathway358
reactome:Pathway205,abstraction:InnerNextStepPathway,reactome:Pathway227
reactome:Pathway29,abstraction:InnerNextStepPathway,reactome:Pathway32
reactome:Pathway75,abstraction:InnerNextStepPathway,reactome:Pathway76
reactome:Pathway375,abstraction:InnerNextStepPathway,reactome:Pathway123
reactome:Pathway160,abstraction:InnerNextStepPathway,reactome:Pathway161
reactome:Pathway203,abstraction:InnerNextStepPathway,reactome:Pathway205
reactome:Pathway78,abstraction:InnerNextStepPathway,reactome:Pathway81
reactome:Pathway203,abstraction:InnerNextStepPathway,reactome:Pathway221
reactome:Pathway221,abstraction:InnerNextStepPathway,reactome:Pathway203
reactome:Pathway17,abstraction:InnerNextStepPathway,reactome:Pathway20
reactome:Pathway391,abstraction:InnerNextStepPathway,reactome:Pathway393
reactome:Pathway156,abstraction:InnerNextStepPathway,reactome:Pathway158
reactome:Pathway361,abstraction:InnerNextStepPathway,reactome:Pathway359
reactome:Pathway48,abstraction:InnerNextStepPathway,reactome:Pathway51
reactome:Pathway123,abstraction:InnerNextStepPathway,reactome:Pathway376
reactome:Pathway205,abstraction:InnerNextStepPathway,reactome:Pathway221
reactome:Pathway167,abstraction:InnerNextStepPathway,reactome:Pathway169
reactome:Pathway112,abstraction:InnerNextStepPathway,reactome:Pathway111
reactome:Pathway237,abstraction:InnerNextStepPathway,reactome:Pathway238
reactome:Pathway139,abstraction:InnerNextStepPathway,reactome:Pathway140
reactome:Pathway78,abstraction:InnerNextStepPathway,reactome:Pathway84
reactome:Pathway79,abstraction:InnerNextStepPathway,reactome:Pathway82
reactome:Pathway137,abstraction:InnerNextStepPathway,reactome:Pathway145
reactome:Pathway123,abstraction:InnerNextStepPathway,reactome:Pathway377
reactome:Pathway235,abstraction:InnerNextStepPathway,reactome:Pathway237
reactome:Pathway89,abstraction:InnerNextStepPathway,reactome:Pathway90
reactome:Pathway308,abstraction:InnerNextStepPathway,reactome:Pathway315
reactome:Pathway96,abstraction:InnerNextStepPathway,reactome:Pathway97
reactome:Pathway254,abstraction:InnerNextStepPathway,reactome:Pathway258
reactome:Pathway310,abstraction:InnerNextStepPathway,reactome:Pathway311
reactome:Pathway279,abstraction:InnerNextStepPathway,reactome:Pathway283
reactome:Pathway261,abstraction:InnerNextStepPathway,reactome:Pathway263
reactome:Pathway205,abstraction:InnerNextStepPathway,reactome:Pathway203
reactome:Pathway123,abstraction:InnerNextStepPathway,reactome:Pathway382
reactome:Pathway78,abstraction:InnerNextStepPathway,reactome:Pathway83
