Source,Interaction,Target
reactome:Pathway230,abstraction:NextStepPathway,reactome:Pathway331
reactome:Pathway37,abstraction:NextStepPathway,reactome:Pathway39
reactome:Pathway225,abstraction:NextStepPathway,reactome:Pathway222
reactome:Pathway138,abstraction:NextStepPathway,reactome:Pathway308
reactome:Pathway396,abstraction:NextStepPathway,reactome:Pathway398
reactome:Pathway316,abstraction:NextStepPathway,reactome:Pathway65
reactome:Pathway96,abstraction:NextStepPathway,reactome:Pathway102
reactome:Pathway130,abstraction:NextStepPathway,reactome:Pathway295
reactome:Pathway376,abstraction:NextStepPathway,reactome:Pathway145
reactome:Pathway308,abstraction:NextStepPathway,reactome:Pathway225
reactome:Pathway186,abstraction:NextStepPathway,reactome:Pathway203
reactome:Pathway410,abstraction:NextStepPathway,reactome:Pathway413
reactome:Pathway389,abstraction:NextStepPathway,reactome:Pathway392
reactome:Pathway27,abstraction:NextStepPathway,reactome:Pathway31
reactome:Pathway378,abstraction:NextStepPathway,reactome:Pathway110
reactome:Pathway220,abstraction:NextStepPathway,reactome:Pathway204
reactome:Pathway173,abstraction:NextStepPathway,reactome:Pathway203
reactome:Pathway279,abstraction:NextStepPathway,reactome:Pathway281
reactome:Pathway183,abstraction:NextStepPathway,reactome:Pathway222
reactome:Pathway389,abstraction:NextStepPathway,reactome:Pathway390
reactome:Pathway254,abstraction:NextStepPathway,reactome:Pathway273
reactome:Pathway4,abstraction:NextStepPathway,reactome:Pathway331
reactome:Pathway114,abstraction:NextStepPathway,reactome:Pathway324
reactome:Pathway295,abstraction:NextStepPathway,reactome:Pathway130
reactome:Pathway118,abstraction:NextStepPathway,reactome:Pathway308
reactome:Pathway221,abstraction:NextStepPathway,reactome:Pathway220
reactome:Pathway27,abstraction:NextStepPathway,reactome:Pathway30
reactome:Pathway37,abstraction:NextStepPathway,reactome:Pathway41
reactome:Pathway139,abstraction:NextStepPathway,reactome:Pathway144
reactome:Pathway189,abstraction:NextStepPathway,reactome:Pathway203
reactome:Pathway48,abstraction:NextStepPathway,reactome:Pathway52
reactome:Pathway18,abstraction:NextStepPathway,reactome:Pathway112
reactome:Pathway12,abstraction:NextStepPathway,reactome:Pathway16
reactome:Pathway174,abstraction:NextStepPathway,reactome:Pathway205
reactome:Pathway204,abstraction:NextStepPathway,reactome:Pathway203
reactome:Pathway254,abstraction:NextStepPathway,reactome:Pathway270
reactome:Pathway215,abstraction:NextStepPathway,reactome:Pathway217
reactome:Pathway222,abstraction:NextStepPathway,reactome:Pathway231
reactome:Pathway68,abstraction:NextStepPathway,reactome:Pathway320
reactome:Pathway92,abstraction:NextStepPathway,reactome:Pathway324
reactome:Pathway203,abstraction:NextStepPathway,reactome:Pathway220
reactome:Pathway5,abstraction:NextStepPathway,reactome:Pathway61
reactome:Pathway196,abstraction:NextStepPathway,reactome:Pathway205
reactome:Pathway65,abstraction:NextStepPathway,reactome:Pathway73
reactome:Pathway46,abstraction:NextStepPathway,reactome:Pathway48
reactome:Pathway111,abstraction:NextStepPathway,reactome:Pathway125
reactome:Pathway212,abstraction:NextStepPathway,reactome:Pathway111
reactome:Pathway174,abstraction:NextStepPathway,reactome:Pathway222
reactome:Pathway163,abstraction:NextStepPathway,reactome:Pathway161
reactome:Pathway212,abstraction:NextStepPathway,reactome:Pathway274
reactome:Pathway318,abstraction:NextStepPathway,reactome:Pathway358
reactome:Pathway311,abstraction:NextStepPathway,reactome:Pathway65
reactome:Pathway308,abstraction:NextStepPathway,reactome:Pathway43
reactome:Pathway218,abstraction:NextStepPathway,reactome:Pathway220
reactome:Pathway227,abstraction:NextStepPathway,reactome:Pathway231
reactome:Pathway70,abstraction:NextStepPathway,reactome:Pathway73
reactome:Pathway7,abstraction:NextStepPathway,reactome:Pathway42
reactome:Pathway205,abstraction:NextStepPathway,reactome:Pathway220
reactome:Pathway76,abstraction:NextStepPathway,reactome:Pathway214
reactome:Pathway65,abstraction:NextStepPathway,reactome:Pathway312
reactome:Pathway110,abstraction:NextStepPathway,reactome:Pathway368
reactome:Pathway386,abstraction:NextStepPathway,reactome:Pathway383
reactome:Pathway68,abstraction:NextStepPathway,reactome:Pathway229
reactome:Pathway209,abstraction:NextStepPathway,reactome:Pathway331
reactome:Pathway322,abstraction:NextStepPathway,reactome:Pathway76
reactome:Pathway29,abstraction:NextStepPathway,reactome:Pathway33
reactome:Pathway186,abstraction:NextStepPathway,reactome:Pathway222
reactome:Pathway14,abstraction:NextStepPathway,reactome:Pathway16
reactome:Pathway29,abstraction:NextStepPathway,reactome:Pathway308
reactome:Pathway201,abstraction:NextStepPathway,reactome:Pathway222
reactome:Pathway173,abstraction:NextStepPathway,reactome:Pathway222
reactome:Pathway58,abstraction:NextStepPathway,reactome:Pathway61
reactome:Pathway119,abstraction:NextStepPathway,reactome:Pathway320
reactome:Pathway222,abstraction:NextStepPathway,reactome:Pathway229
reactome:Pathway41,abstraction:NextStepPathway,reactome:Pathway308
reactome:Pathway368,abstraction:NextStepPathway,reactome:Pathway110
reactome:Pathway182,abstraction:NextStepPathway,reactome:Pathway205
reactome:Pathway112,abstraction:NextStepPathway,reactome:Pathway213
reactome:Pathway42,abstraction:NextStepPathway,reactome:Pathway20
reactome:Pathway274,abstraction:NextStepPathway,reactome:Pathway112
reactome:Pathway283,abstraction:NextStepPathway,reactome:Pathway286
reactome:Pathway5,abstraction:NextStepPathway,reactome:Pathway95
reactome:Pathway13,abstraction:NextStepPathway,reactome:Pathway16
reactome:Pathway274,abstraction:NextStepPathway,reactome:Pathway231
reactome:Pathway180,abstraction:NextStepPathway,reactome:Pathway205
reactome:Pathway230,abstraction:NextStepPathway,reactome:Pathway209
reactome:Pathway65,abstraction:NextStepPathway,reactome:Pathway52
reactome:Pathway111,abstraction:NextStepPathway,reactome:Pathway330
reactome:Pathway320,abstraction:NextStepPathway,reactome:Pathway323
reactome:Pathway194,abstraction:NextStepPathway,reactome:Pathway205
reactome:Pathway182,abstraction:NextStepPathway,reactome:Pathway222
reactome:Pathway389,abstraction:NextStepPathway,reactome:Pathway393
reactome:Pathway221,abstraction:NextStepPathway,reactome:Pathway232
reactome:Pathway106,abstraction:NextStepPathway,reactome:Pathway320
reactome:Pathway112,abstraction:NextStepPathway,reactome:Pathway223
reactome:Pathway73,abstraction:NextStepPathway,reactome:Pathway225
reactome:Pathway65,abstraction:NextStepPathway,reactome:Pathway21
reactome:Pathway324,abstraction:NextStepPathway,reactome:Pathway111
reactome:Pathway317,abstraction:NextStepPathway,reactome:Pathway308
reactome:Pathway39,abstraction:NextStepPathway,reactome:Pathway43
reactome:Pathway156,abstraction:NextStepPathway,reactome:Pathway157
reactome:Pathway12,abstraction:NextStepPathway,reactome:Pathway19
reactome:Pathway331,abstraction:NextStepPathway,reactome:Pathway223
reactome:Pathway227,abstraction:NextStepPathway,reactome:Pathway357
reactome:Pathway3,abstraction:NextStepPathway,reactome:Pathway6
reactome:Pathway76,abstraction:NextStepPathway,reactome:Pathway216
reactome:Pathway216,abstraction:NextStepPathway,reactome:Pathway298
reactome:Pathway308,abstraction:NextStepPathway,reactome:Pathway298
reactome:Pathway223,abstraction:NextStepPathway,reactome:Pathway212
reactome:Pathway298,abstraction:NextStepPathway,reactome:Pathway76
reactome:Pathway283,abstraction:NextStepPathway,reactome:Pathway282
reactome:Pathway254,abstraction:NextStepPathway,reactome:Pathway272
reactome:Pathway65,abstraction:NextStepPathway,reactome:Pathway225
reactome:Pathway3,abstraction:NextStepPathway,reactome:Pathway246
reactome:Pathway58,abstraction:NextStepPathway,reactome:Pathway63
reactome:Pathway40,abstraction:NextStepPathway,reactome:Pathway331
reactome:Pathway327,abstraction:NextStepPathway,reactome:Pathway323
reactome:Pathway200,abstraction:NextStepPathway,reactome:Pathway222
reactome:Pathway248,abstraction:NextStepPathway,reactome:Pathway235
reactome:Pathway109,abstraction:NextStepPathway,reactome:Pathway110
reactome:Pathway315,abstraction:NextStepPathway,reactome:Pathway33
reactome:Pathway221,abstraction:NextStepPathway,reactome:Pathway274
reactome:Pathway70,abstraction:NextStepPathway,reactome:Pathway225
reactome:Pathway129,abstraction:NextStepPathway,reactome:Pathway324
reactome:Pathway102,abstraction:NextStepPathway,reactome:Pathway103
reactome:Pathway95,abstraction:NextStepPathway,reactome:Pathway308
reactome:Pathway177,abstraction:NextStepPathway,reactome:Pathway222
reactome:Pathway112,abstraction:NextStepPathway,reactome:Pathway216
reactome:Pathway261,abstraction:NextStepPathway,reactome:Pathway274
reactome:Pathway203,abstraction:NextStepPathway,reactome:Pathway274
reactome:Pathway225,abstraction:NextStepPathway,reactome:Pathway76
reactome:Pathway204,abstraction:NextStepPathway,reactome:Pathway221
reactome:Pathway344,abstraction:NextStepPathway,reactome:Pathway364
reactome:Pathway36,abstraction:NextStepPathway,reactome:Pathway40
reactome:Pathway308,abstraction:NextStepPathway,reactome:Pathway33
reactome:Pathway316,abstraction:NextStepPathway,reactome:Pathway308
reactome:Pathway221,abstraction:NextStepPathway,reactome:Pathway230
reactome:Pathway197,abstraction:NextStepPathway,reactome:Pathway205
reactome:Pathway221,abstraction:NextStepPathway,reactome:Pathway204
reactome:Pathway45,abstraction:NextStepPathway,reactome:Pathway49
reactome:Pathway221,abstraction:NextStepPathway,reactome:Pathway215
reactome:Pathway14,abstraction:NextStepPathway,reactome:Pathway19
reactome:Pathway95,abstraction:NextStepPathway,reactome:Pathway6
reactome:Pathway85,abstraction:NextStepPathway,reactome:Pathway86
reactome:Pathway222,abstraction:NextStepPathway,reactome:Pathway224
reactome:Pathway184,abstraction:NextStepPathway,reactome:Pathway203
reactome:Pathway132,abstraction:NextStepPathway,reactome:Pathway134
reactome:Pathway254,abstraction:NextStepPathway,reactome:Pathway267
reactome:Pathway112,abstraction:NextStepPathway,reactome:Pathway209
reactome:Pathway205,abstraction:NextStepPathway,reactome:Pathway274
reactome:Pathway236,abstraction:NextStepPathway,reactome:Pathway243
reactome:Pathway204,abstraction:NextStepPathway,reactome:Pathway296
reactome:Pathway65,abstraction:NextStepPathway,reactome:Pathway43
reactome:Pathway112,abstraction:NextStepPathway,reactome:Pathway217
reactome:Pathway13,abstraction:NextStepPathway,reactome:Pathway19
reactome:Pathway203,abstraction:NextStepPathway,reactome:Pathway230
