Source,Interaction,Target
reactome:Pathway88,abstraction:InnerNextStepPathway,reactome:Pathway89
reactome:Pathway77,abstraction:InnerNextStepPathway,reactome:Pathway84
reactome:Pathway74,abstraction:InnerNextStepPathway,reactome:Pathway75
reactome:Pathway136,abstraction:InnerNextStepPathway,reactome:Pathway138
reactome:Pathway4,abstraction:InnerNextStepPathway,reactome:Pathway5
reactome:Pathway77,abstraction:InnerNextStepPathway,reactome:Pathway80
reactome:Pathway77,abstraction:InnerNextStepPathway,reactome:Pathway82
reactome:Pathway88,abstraction:InnerNextStepPathway,reactome:Pathway90
reactome:Pathway2,abstraction:InnerNextStepPathway,reactome:Pathway115
reactome:Pathway53,abstraction:InnerNextStepPathway,reactome:Pathway55
reactome:Pathway126,abstraction:InnerNextStepPathway,reactome:Pathway115
reactome:Pathway79,abstraction:InnerNextStepPathway,reactome:Pathway82
reactome:Pathway79,abstraction:InnerNextStepPathway,reactome:Pathway80
reactome:Pathway38,abstraction:InnerNextStepPathway,reactome:Pathway41
reactome:Pathway72,abstraction:InnerNextStepPathway,reactome:Pathway74
reactome:Pathway77,abstraction:InnerNextStepPathway,reactome:Pathway81
reactome:Pathway77,abstraction:InnerNextStepPathway,reactome:Pathway86
reactome:Pathway95,abstraction:InnerNextStepPathway,reactome:Pathway96
reactome:Pathway111,abstraction:InnerNextStepPathway,reactome:Pathway110
reactome:Pathway79,abstraction:InnerNextStepPathway,reactome:Pathway81
reactome:Pathway77,abstraction:InnerNextStepPathway,reactome:Pathway83
reactome:Pathway16,abstraction:InnerNextStepPathway,reactome:Pathway19
reactome:Pathway95,abstraction:InnerNextStepPathway,reactome:Pathway102
reactome:Pathway79,abstraction:InnerNextStepPathway,reactome:Pathway83
reactome:Pathway136,abstraction:InnerNextStepPathway,reactome:Pathway144
reactome:Pathway2,abstraction:InnerNextStepPathway,reactome:Pathway126
reactome:Pathway47,abstraction:InnerNextStepPathway,reactome:Pathway50
reactome:Pathway88,abstraction:InnerNextStepPathway,reactome:Pathway91
reactome:Pathway138,abstraction:InnerNextStepPathway,reactome:Pathway139
reactome:Pathway78,abstraction:InnerNextStepPathway,reactome:Pathway81
reactome:Pathway115,abstraction:InnerNextStepPathway,reactome:Pathway126
reactome:Pathway136,abstraction:InnerNextStepPathway,reactome:Pathway146
reactome:Pathway106,abstraction:InnerNextStepPathway,reactome:Pathway2
reactome:Pathway136,abstraction:InnerNextStepPathway,reactome:Pathway137
reactome:Pathway28,abstraction:InnerNextStepPathway,reactome:Pathway31
