Source,Interaction,Target
reactome:Pathway93,abstraction:NextStepPathway,reactome:Pathway103
reactome:Pathway41,abstraction:NextStepPathway,reactome:Pathway19
reactome:Pathway13,abstraction:NextStepPathway,reactome:Pathway17
reactome:Pathway136,abstraction:NextStepPathway,reactome:Pathway142
reactome:Pathway107,abstraction:NextStepPathway,reactome:Pathway108
reactome:Pathway38,abstraction:NextStepPathway,reactome:Pathway42
reactome:Pathway11,abstraction:NextStepPathway,reactome:Pathway17
reactome:Pathway35,abstraction:NextStepPathway,reactome:Pathway39
reactome:Pathway109,abstraction:NextStepPathway,reactome:Pathway110
reactome:Pathway131,abstraction:NextStepPathway,reactome:Pathway133
reactome:Pathway50,abstraction:NextStepPathway,reactome:Pathway31
reactome:Pathway35,abstraction:NextStepPathway,reactome:Pathway38
reactome:Pathway57,abstraction:NextStepPathway,reactome:Pathway65
reactome:Pathway103,abstraction:NextStepPathway,reactome:Pathway93
reactome:Pathway115,abstraction:NextStepPathway,reactome:Pathway118
reactome:Pathway44,abstraction:NextStepPathway,reactome:Pathway47
reactome:Pathway39,abstraction:NextStepPathway,reactome:Pathway111
reactome:Pathway94,abstraction:NextStepPathway,reactome:Pathway60
reactome:Pathway57,abstraction:NextStepPathway,reactome:Pathway66
reactome:Pathway115,abstraction:NextStepPathway,reactome:Pathway117
reactome:Pathway44,abstraction:NextStepPathway,reactome:Pathway49
reactome:Pathway104,abstraction:NextStepPathway,reactome:Pathway105
reactome:Pathway115,abstraction:NextStepPathway,reactome:Pathway119
reactome:Pathway94,abstraction:NextStepPathway,reactome:Pathway101
reactome:Pathway26,abstraction:NextStepPathway,reactome:Pathway29
reactome:Pathway67,abstraction:NextStepPathway,reactome:Pathway110
reactome:Pathway94,abstraction:NextStepPathway,reactome:Pathway133
reactome:Pathway149,abstraction:NextStepPathway,reactome:Pathway151
reactome:Pathway109,abstraction:NextStepPathway,reactome:Pathway61
reactome:Pathway107,abstraction:NextStepPathway,reactome:Pathway106
reactome:Pathway12,abstraction:NextStepPathway,reactome:Pathway15
reactome:Pathway31,abstraction:NextStepPathway,reactome:Pathway41
reactome:Pathway11,abstraction:NextStepPathway,reactome:Pathway15
reactome:Pathway3,abstraction:NextStepPathway,reactome:Pathway111
reactome:Pathway16,abstraction:NextStepPathway,reactome:Pathway20
reactome:Pathway110,abstraction:NextStepPathway,reactome:Pathway124
reactome:Pathway12,abstraction:NextStepPathway,reactome:Pathway16
reactome:Pathway57,abstraction:NextStepPathway,reactome:Pathway59
reactome:Pathway19,abstraction:NextStepPathway,reactome:Pathway31
reactome:Pathway13,abstraction:NextStepPathway,reactome:Pathway16
reactome:Pathway66,abstraction:NextStepPathway,reactome:Pathway111
reactome:Pathway11,abstraction:NextStepPathway,reactome:Pathway16
reactome:Pathway50,abstraction:NextStepPathway,reactome:Pathway19
reactome:Pathway6,abstraction:NextStepPathway,reactome:Pathway31
reactome:Pathway35,abstraction:NextStepPathway,reactome:Pathway40
reactome:Pathway115,abstraction:NextStepPathway,reactome:Pathway121
reactome:Pathway64,abstraction:NextStepPathway,reactome:Pathway72
reactome:Pathway12,abstraction:NextStepPathway,reactome:Pathway18
reactome:Pathway94,abstraction:NextStepPathway,reactome:Pathway5
reactome:Pathway94,abstraction:NextStepPathway,reactome:Pathway4
reactome:Pathway25,abstraction:NextStepPathway,reactome:Pathway28
reactome:Pathway115,abstraction:NextStepPathway,reactome:Pathway124
reactome:Pathway11,abstraction:NextStepPathway,reactome:Pathway18
reactome:Pathway149,abstraction:NextStepPathway,reactome:Pathway150
reactome:Pathway57,abstraction:NextStepPathway,reactome:Pathway64
reactome:Pathway50,abstraction:NextStepPathway,reactome:Pathway41
reactome:Pathway44,abstraction:NextStepPathway,reactome:Pathway48
reactome:Pathway143,abstraction:NextStepPathway,reactome:Pathway145
reactome:Pathway109,abstraction:NextStepPathway,reactome:Pathway111
reactome:Pathway69,abstraction:NextStepPathway,reactome:Pathway72
reactome:Pathway93,abstraction:NextStepPathway,reactome:Pathway94
reactome:Pathway31,abstraction:NextStepPathway,reactome:Pathway50
reactome:Pathway2,abstraction:NextStepPathway,reactome:Pathway5
reactome:Pathway45,abstraction:NextStepPathway,reactome:Pathway47
reactome:Pathway25,abstraction:NextStepPathway,reactome:Pathway30
reactome:Pathway115,abstraction:NextStepPathway,reactome:Pathway116
reactome:Pathway4,abstraction:NextStepPathway,reactome:Pathway60
reactome:Pathway61,abstraction:NextStepPathway,reactome:Pathway109
reactome:Pathway97,abstraction:NextStepPathway,reactome:Pathway98
reactome:Pathway13,abstraction:NextStepPathway,reactome:Pathway15
reactome:Pathway60,abstraction:NextStepPathway,reactome:Pathway61
reactome:Pathway45,abstraction:NextStepPathway,reactome:Pathway49
reactome:Pathway57,abstraction:NextStepPathway,reactome:Pathway68
reactome:Pathway115,abstraction:NextStepPathway,reactome:Pathway123
reactome:Pathway45,abstraction:NextStepPathway,reactome:Pathway48
reactome:Pathway131,abstraction:NextStepPathway,reactome:Pathway134
reactome:Pathway126,abstraction:NextStepPathway,reactome:Pathway129
reactome:Pathway136,abstraction:NextStepPathway,reactome:Pathway141
reactome:Pathway36,abstraction:NextStepPathway,reactome:Pathway39
reactome:Pathway41,abstraction:NextStepPathway,reactome:Pathway50
reactome:Pathway93,abstraction:NextStepPathway,reactome:Pathway95
reactome:Pathway36,abstraction:NextStepPathway,reactome:Pathway38
reactome:Pathway126,abstraction:NextStepPathway,reactome:Pathway127
reactome:Pathway57,abstraction:NextStepPathway,reactome:Pathway67
reactome:Pathway93,abstraction:NextStepPathway,reactome:Pathway102
reactome:Pathway94,abstraction:NextStepPathway,reactome:Pathway61
reactome:Pathway6,abstraction:NextStepPathway,reactome:Pathway19
reactome:Pathway115,abstraction:NextStepPathway,reactome:Pathway122
reactome:Pathway4,abstraction:NextStepPathway,reactome:Pathway133
reactome:Pathway138,abstraction:NextStepPathway,reactome:Pathway143
reactome:Pathway13,abstraction:NextStepPathway,reactome:Pathway18
reactome:Pathway28,abstraction:NextStepPathway,reactome:Pathway32
reactome:Pathway88,abstraction:NextStepPathway,reactome:Pathway87
reactome:Pathway94,abstraction:NextStepPathway,reactome:Pathway102
reactome:Pathway19,abstraction:NextStepPathway,reactome:Pathway41
reactome:Pathway84,abstraction:NextStepPathway,reactome:Pathway85
reactome:Pathway57,abstraction:NextStepPathway,reactome:Pathway62
reactome:Pathway26,abstraction:NextStepPathway,reactome:Pathway28
reactome:Pathway6,abstraction:NextStepPathway,reactome:Pathway41
reactome:Pathway150,abstraction:NextStepPathway,reactome:Pathway149
reactome:Pathway64,abstraction:NextStepPathway,reactome:Pathway20
reactome:Pathway96,abstraction:NextStepPathway,reactome:Pathway97
reactome:Pathway2,abstraction:NextStepPathway,reactome:Pathway4
reactome:Pathway101,abstraction:NextStepPathway,reactome:Pathway102
reactome:Pathway2,abstraction:NextStepPathway,reactome:Pathway6
reactome:Pathway64,abstraction:NextStepPathway,reactome:Pathway32
reactome:Pathway2,abstraction:NextStepPathway,reactome:Pathway3
reactome:Pathway57,abstraction:NextStepPathway,reactome:Pathway70
reactome:Pathway134,abstraction:NextStepPathway,reactome:Pathway96
reactome:Pathway26,abstraction:NextStepPathway,reactome:Pathway30
reactome:Pathway64,abstraction:NextStepPathway,reactome:Pathway51
reactome:Pathway4,abstraction:NextStepPathway,reactome:Pathway101
reactome:Pathway98,abstraction:NextStepPathway,reactome:Pathway100
reactome:Pathway25,abstraction:NextStepPathway,reactome:Pathway29
reactome:Pathway108,abstraction:NextStepPathway,reactome:Pathway109
reactome:Pathway2,abstraction:NextStepPathway,reactome:Pathway7
reactome:Pathway31,abstraction:NextStepPathway,reactome:Pathway19
reactome:Pathway4,abstraction:NextStepPathway,reactome:Pathway94
reactome:Pathway48,abstraction:NextStepPathway,reactome:Pathway111
reactome:Pathway95,abstraction:NextStepPathway,reactome:Pathway101
reactome:Pathway57,abstraction:NextStepPathway,reactome:Pathway60
reactome:Pathway64,abstraction:NextStepPathway,reactome:Pathway73
reactome:Pathway36,abstraction:NextStepPathway,reactome:Pathway40
reactome:Pathway64,abstraction:NextStepPathway,reactome:Pathway42
reactome:Pathway19,abstraction:NextStepPathway,reactome:Pathway50
reactome:Pathway115,abstraction:NextStepPathway,reactome:Pathway120
