subject,predicate,object
reactome:Pathway160,abstraction:HasComponent,reactome:Pathway161
reactome:Pathway160,abstraction:HasComponent,reactome:Pathway163
reactome:Pathway1430,abstraction:HasComponent,reactome:Pathway1431
reactome:Pathway1430,abstraction:HasComponent,reactome:Pathway1433
reactome:Pathway1430,abstraction:HasComponent,reactome:Pathway1438
reactome:Pathway26,abstraction:HasComponent,reactome:Pathway32
reactome:Pathway26,abstraction:HasComponent,reactome:Pathway27
reactome:Pathway26,abstraction:HasComponent,reactome:Pathway28
reactome:Pathway2612,abstraction:HasComponent,reactome:Pathway2613
reactome:Pathway2612,abstraction:HasComponent,reactome:Pathway2614
reactome:Pathway1637,abstraction:HasComponent,reactome:Pathway1639
reactome:Pathway1637,abstraction:HasComponent,reactome:Pathway1638
reactome:Pathway192,abstraction:HasComponent,reactome:Pathway194
reactome:Pathway192,abstraction:HasComponent,reactome:Pathway193
reactome:Pathway146,abstraction:HasComponent,reactome:Pathway147
reactome:Pathway58,abstraction:HasComponent,reactome:Pathway59
reactome:Pathway58,abstraction:HasComponent,reactome:Pathway60
reactome:Pathway1494,abstraction:HasComponent,reactome:Pathway1495
reactome:Pathway1992,abstraction:HasComponent,reactome:Pathway1993
reactome:Pathway1992,abstraction:HasComponent,reactome:Pathway1994
reactome:Pathway1992,abstraction:HasComponent,reactome:Pathway1995
reactome:Pathway178,abstraction:HasComponent,reactome:Pathway179
reactome:Pathway178,abstraction:HasComponent,reactome:Pathway180
reactome:Pathway1273,abstraction:HasComponent,reactome:Pathway1274
reactome:Pathway676,abstraction:HasComponent,reactome:Pathway680
reactome:Pathway676,abstraction:HasComponent,reactome:Pathway677
reactome:Pathway1227,abstraction:HasComponent,reactome:Pathway1228
reactome:Pathway1227,abstraction:HasComponent,reactome:Pathway1245
reactome:Pathway1052,abstraction:HasComponent,reactome:Pathway1061
reactome:Pathway1052,abstraction:HasComponent,reactome:Pathway1053
reactome:Pathway1052,abstraction:HasComponent,reactome:Pathway1054
reactome:Pathway1052,abstraction:HasComponent,reactome:Pathway1063
reactome:Pathway1052,abstraction:HasComponent,reactome:Pathway1064
reactome:Pathway1052,abstraction:HasComponent,reactome:Pathway1055
reactome:Pathway1052,abstraction:HasComponent,reactome:Pathway1065
reactome:Pathway1052,abstraction:HasComponent,reactome:Pathway1062
reactome:Pathway1052,abstraction:HasComponent,reactome:Pathway1056
reactome:Pathway1978,abstraction:HasComponent,reactome:Pathway1979
reactome:Pathway700,abstraction:HasComponent,reactome:Pathway702
reactome:Pathway700,abstraction:HasComponent,reactome:Pathway704
reactome:Pathway700,abstraction:HasComponent,reactome:Pathway701
reactome:Pathway2487,abstraction:HasComponent,reactome:Pathway2488
reactome:Pathway1038,abstraction:HasComponent,reactome:Pathway1116
reactome:Pathway1038,abstraction:HasComponent,reactome:Pathway1039
reactome:Pathway1038,abstraction:HasComponent,reactome:Pathway1167
reactome:Pathway1038,abstraction:HasComponent,reactome:Pathway1089
reactome:Pathway1038,abstraction:HasComponent,reactome:Pathway1119
reactome:Pathway2266,abstraction:HasComponent,reactome:Pathway2274
reactome:Pathway2266,abstraction:HasComponent,reactome:Pathway2278
reactome:Pathway2266,abstraction:HasComponent,reactome:Pathway2267
reactome:Pathway2266,abstraction:HasComponent,reactome:Pathway2271
reactome:Pathway2266,abstraction:HasComponent,reactome:Pathway2270
reactome:Pathway985,abstraction:HasComponent,reactome:Pathway986
reactome:Pathway1536,abstraction:HasComponent,reactome:Pathway1537
reactome:Pathway1536,abstraction:HasComponent,reactome:Pathway1538
reactome:Pathway1789,abstraction:HasComponent,reactome:Pathway1790
reactome:Pathway1789,abstraction:HasComponent,reactome:Pathway1792
reactome:Pathway1789,abstraction:HasComponent,reactome:Pathway1793
reactome:Pathway1789,abstraction:HasComponent,reactome:Pathway1791
reactome:Pathway511,abstraction:HasComponent,reactome:Pathway512
reactome:Pathway2718,abstraction:HasComponent,reactome:Pathway2719
reactome:Pathway718,abstraction:HasComponent,reactome:Pathway719
reactome:Pathway718,abstraction:HasComponent,reactome:Pathway720
reactome:Pathway2077,abstraction:HasComponent,reactome:Pathway2080
reactome:Pathway2077,abstraction:HasComponent,reactome:Pathway2081
reactome:Pathway2077,abstraction:HasComponent,reactome:Pathway2079
reactome:Pathway2077,abstraction:HasComponent,reactome:Pathway2078
reactome:Pathway1813,abstraction:HasComponent,reactome:Pathway1815
reactome:Pathway1813,abstraction:HasComponent,reactome:Pathway1814
reactome:Pathway1813,abstraction:HasComponent,reactome:Pathway1816
reactome:Pathway2322,abstraction:HasComponent,reactome:Pathway2328
reactome:Pathway2322,abstraction:HasComponent,reactome:Pathway2325
reactome:Pathway2322,abstraction:HasComponent,reactome:Pathway2324
reactome:Pathway2322,abstraction:HasComponent,reactome:Pathway2329
reactome:Pathway2322,abstraction:HasComponent,reactome:Pathway2327
reactome:Pathway2322,abstraction:HasComponent,reactome:Pathway2326
reactome:Pathway2322,abstraction:HasComponent,reactome:Pathway2323
reactome:Pathway575,abstraction:HasComponent,reactome:Pathway593
reactome:Pathway575,abstraction:HasComponent,reactome:Pathway594
reactome:Pathway575,abstraction:HasComponent,reactome:Pathway591
reactome:Pathway575,abstraction:HasComponent,reactome:Pathway595
reactome:Pathway575,abstraction:HasComponent,reactome:Pathway592
reactome:Pathway575,abstraction:HasComponent,reactome:Pathway576
reactome:Pathway575,abstraction:HasComponent,reactome:Pathway585
reactome:Pathway575,abstraction:HasComponent,reactome:Pathway582
reactome:Pathway575,abstraction:HasComponent,reactome:Pathway590
reactome:Pathway575,abstraction:HasComponent,reactome:Pathway579
reactome:Pathway1670,abstraction:HasComponent,reactome:Pathway1673
reactome:Pathway1670,abstraction:HasComponent,reactome:Pathway1671
reactome:Pathway1670,abstraction:HasComponent,reactome:Pathway1678
reactome:Pathway2101,abstraction:HasComponent,reactome:Pathway2093
reactome:Pathway2101,abstraction:HasComponent,reactome:Pathway2104
reactome:Pathway2101,abstraction:HasComponent,reactome:Pathway2106
reactome:Pathway2101,abstraction:HasComponent,reactome:Pathway2105
reactome:Pathway2101,abstraction:HasComponent,reactome:Pathway2102
reactome:Pathway2101,abstraction:HasComponent,reactome:Pathway2095
reactome:Pathway1624,abstraction:HasComponent,reactome:Pathway1625
reactome:Pathway1624,abstraction:HasComponent,reactome:Pathway1626
reactome:Pathway2308,abstraction:HasComponent,reactome:Pathway2316
reactome:Pathway2308,abstraction:HasComponent,reactome:Pathway2311
reactome:Pathway2308,abstraction:HasComponent,reactome:Pathway2312
reactome:Pathway2308,abstraction:HasComponent,reactome:Pathway2315
reactome:Pathway2308,abstraction:HasComponent,reactome:Pathway2309
reactome:Pathway2308,abstraction:HasComponent,reactome:Pathway2310
reactome:Pathway2308,abstraction:HasComponent,reactome:Pathway2314
reactome:Pathway2308,abstraction:HasComponent,reactome:Pathway2313
reactome:Pathway2133,abstraction:HasComponent,reactome:Pathway2134
reactome:Pathway133,abstraction:HasComponent,reactome:Pathway135
reactome:Pathway133,abstraction:HasComponent,reactome:Pathway138
reactome:Pathway133,abstraction:HasComponent,reactome:Pathway137
reactome:Pathway133,abstraction:HasComponent,reactome:Pathway134
reactome:Pathway45,abstraction:HasComponent,reactome:Pathway49
reactome:Pathway45,abstraction:HasComponent,reactome:Pathway46
reactome:Pathway386,abstraction:HasComponent,reactome:Pathway387
reactome:Pathway386,abstraction:HasComponent,reactome:Pathway388
reactome:Pathway386,abstraction:HasComponent,reactome:Pathway389
reactome:Pathway1481,abstraction:HasComponent,reactome:Pathway1482
reactome:Pathway1481,abstraction:HasComponent,reactome:Pathway1489
reactome:Pathway1481,abstraction:HasComponent,reactome:Pathway1483
reactome:Pathway2165,abstraction:HasComponent,reactome:Pathway2167
reactome:Pathway2165,abstraction:HasComponent,reactome:Pathway2166
reactome:Pathway2165,abstraction:HasComponent,reactome:Pathway2168
reactome:Pathway165,abstraction:HasComponent,reactome:Pathway181
reactome:Pathway165,abstraction:HasComponent,reactome:Pathway200
reactome:Pathway165,abstraction:HasComponent,reactome:Pathway166
reactome:Pathway165,abstraction:HasComponent,reactome:Pathway224
reactome:Pathway165,abstraction:HasComponent,reactome:Pathway185
reactome:Pathway77,abstraction:HasComponent,reactome:Pathway82
reactome:Pathway77,abstraction:HasComponent,reactome:Pathway78
reactome:Pathway2119,abstraction:HasComponent,reactome:Pathway2120
reactome:Pathway1260,abstraction:HasComponent,reactome:Pathway1262
reactome:Pathway1260,abstraction:HasComponent,reactome:Pathway1261
reactome:Pathway1933,abstraction:HasComponent,reactome:Pathway1935
reactome:Pathway1933,abstraction:HasComponent,reactome:Pathway1934
reactome:Pathway663,abstraction:HasComponent,reactome:Pathway664
reactome:Pathway2197,abstraction:HasComponent,reactome:Pathway2199
reactome:Pathway2197,abstraction:HasComponent,reactome:Pathway2198
reactome:Pathway1712,abstraction:HasComponent,reactome:Pathway1735
reactome:Pathway1712,abstraction:HasComponent,reactome:Pathway1713
reactome:Pathway442,abstraction:HasComponent,reactome:Pathway450
reactome:Pathway442,abstraction:HasComponent,reactome:Pathway446
reactome:Pathway442,abstraction:HasComponent,reactome:Pathway443
reactome:Pathway442,abstraction:HasComponent,reactome:Pathway449
reactome:Pathway1965,abstraction:HasComponent,reactome:Pathway1968
reactome:Pathway1965,abstraction:HasComponent,reactome:Pathway1967
reactome:Pathway1965,abstraction:HasComponent,reactome:Pathway1966
reactome:Pathway2474,abstraction:HasComponent,reactome:Pathway2475
reactome:Pathway2474,abstraction:HasComponent,reactome:Pathway2491
reactome:Pathway2474,abstraction:HasComponent,reactome:Pathway2494
reactome:Pathway474,abstraction:HasComponent,reactome:Pathway475
reactome:Pathway474,abstraction:HasComponent,reactome:Pathway476
